X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
551.71	713.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	285.05	577.41	NaN	276.37	464.9	NaN	NaN	NaN	NaN
552.03	713.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	287.67	584.79	NaN	278.18	465.26	NaN	NaN	NaN	NaN
552	713.68	NaN	NaN	NaN	NaN	NaN	NaN	NaN	291.64	591.37	NaN	275.89	468.79	NaN	NaN	NaN	NaN
551.71	713.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	306.47	608.46	NaN	272.85	474.3	NaN	NaN	NaN	NaN
552.04	713.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	323.38	622.22	NaN	275.91	486.72	NaN	NaN	NaN	NaN
552.04	713.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	336.5	634.21	NaN	279.72	498.46	NaN	NaN	NaN	NaN
551.74	713.78	NaN	NaN	NaN	NaN	NaN	NaN	NaN	345.52	644.14	NaN	282.43	511.1	NaN	NaN	NaN	NaN
552.04	713.71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	351.94	651.74	NaN	287	528.9	NaN	NaN	NaN	NaN
552	713.68	NaN	NaN	NaN	NaN	381.5	698.54	NaN	357.88	657.26	NaN	292.39	546.22	NaN	NaN	NaN	NaN
551.71	713.75	NaN	NaN	NaN	NaN	392.09	702.51	NaN	362.32	661.06	NaN	299.15	560.45	NaN	NaN	NaN	NaN
552	713.68	NaN	NaN	NaN	NaN	401.32	705.7	NaN	NaN	NaN	NaN	304.19	572.33	NaN	NaN	NaN	NaN
552	713.68	NaN	NaN	NaN	NaN	409.54	708.74	NaN	NaN	NaN	NaN	310.21	598.4	NaN	NaN	NaN	NaN
551.91	713.72	NaN	NaN	NaN	NaN	415.41	711.07	NaN	NaN	NaN	NaN	317.66	623	NaN	NaN	NaN	NaN
551.76	713.78	NaN	NaN	NaN	NaN	422.08	713.64	NaN	NaN	NaN	NaN	325.31	643.44	NaN	NaN	NaN	NaN
552.04	713.71	NaN	NaN	NaN	NaN	428.13	716.28	NaN	379.58	676.86	NaN	NaN	NaN	NaN	NaN	NaN	NaN
551.71	713.75	NaN	NaN	NaN	NaN	433.46	718.74	NaN	383.38	682.24	NaN	NaN	NaN	NaN	NaN	NaN	NaN
552	713.68	NaN	NaN	NaN	NaN	437.61	720.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
552	713.68	NaN	NaN	NaN	NaN	441.39	722.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
