X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
496.31	722.57	0.97317	NaN	NaN	NaN	478.69	667.36	0.75757	377.28	685.72	1	NaN	NaN	NaN	NaN	NaN	NaN
503.14	729.11	0.97317	NaN	NaN	NaN	490.35	670.42	0.75757	375.97	684.64	1	NaN	NaN	NaN	NaN	NaN	NaN
504.21	730.18	0.97317	NaN	NaN	NaN	497.38	671.69	0.75757	374.82	683.69	1	NaN	NaN	NaN	NaN	NaN	NaN
512.16	737.76	0.97317	NaN	NaN	NaN	505.89	673.77	0.75757	373.59	682.38	1	NaN	NaN	NaN	NaN	NaN	NaN
519.11	739.29	0.97317	NaN	NaN	NaN	512.11	675.22	0.75757	371.95	680.91	1	NaN	NaN	NaN	NaN	NaN	NaN
525.11	739.4	0.97317	NaN	NaN	NaN	517.54	676.7	0.75757	370.59	679.51	1	NaN	NaN	NaN	NaN	NaN	NaN
540.88	740.47	0.97317	NaN	NaN	NaN	522.5	678.34	0.75757	370.03	678.79	1	NaN	NaN	NaN	NaN	NaN	NaN
544.52	740.52	0.97317	NaN	NaN	NaN	526.31	682.07	0.75757	369.62	678.37	1	NaN	NaN	NaN	NaN	NaN	NaN
552.29	739.42	0.97317	NaN	NaN	NaN	522.9	687.19	0.75757	368.69	677.33	1	NaN	NaN	NaN	NaN	NaN	NaN
558.99	738.58	0.97317	NaN	NaN	NaN	NaN	NaN	NaN	367.02	675.33	1	NaN	NaN	NaN	NaN	NaN	NaN
569.75	733.03	0.97317	NaN	NaN	NaN	NaN	NaN	NaN	366.68	675.07	1	NaN	NaN	NaN	NaN	NaN	NaN
577.03	728.54	0.97317	NaN	NaN	NaN	NaN	NaN	NaN	365.04	673	1	NaN	NaN	NaN	NaN	NaN	NaN
583.5	724.05	0.97317	NaN	NaN	NaN	507.76	697.45	0.86898	364.61	672.44	1	NaN	NaN	NaN	NaN	NaN	NaN
591.02	720	0.97317	NaN	NaN	NaN	505.62	701.49	0.86898	364.84	672.85	1	NaN	NaN	NaN	NaN	NaN	NaN
597.43	714.26	0.97317	NaN	NaN	NaN	502.85	705.87	0.86898	363.71	670.6	1	NaN	NaN	NaN	NaN	NaN	NaN
598.28	713.19	0.97317	NaN	NaN	NaN	500.72	709.15	0.86898	363.13	669.23	1	NaN	NaN	NaN	NaN	NaN	NaN
598.44	713.09	0.97317	NaN	NaN	NaN	498.76	713.06	0.86898	362.89	668.84	1	NaN	NaN	NaN	NaN	NaN	NaN
597.75	709.94	0.97317	NaN	NaN	NaN	498.46	715.75	0.86898	362.89	668.78	1	NaN	NaN	NaN	NaN	NaN	NaN
597.45	708.06	0.97317	NaN	NaN	NaN	503.47	719.83	0.86898	362.7	668.26	1	NaN	NaN	NaN	NaN	NaN	NaN
601.25	709.46	0.97317	NaN	NaN	NaN	513.85	719.07	0.86898	362.32	667.28	1	NaN	NaN	NaN	NaN	NaN	NaN
604.46	708.25	0.97317	NaN	NaN	NaN	523.51	718.27	0.86898	361.87	666.21	1	NaN	NaN	NaN	NaN	NaN	NaN
614.1	705.35	0.97317	NaN	NaN	NaN	540.26	726.48	0.86898	361.51	665.08	1	NaN	NaN	NaN	NaN	NaN	NaN
616.19	704	0.97317	NaN	NaN	NaN	558.18	730.11	0.86898	361.3	664.49	1	NaN	NaN	NaN	NaN	NaN	NaN
622.14	704.06	0.97317	NaN	NaN	NaN	NaN	NaN	NaN	361.12	664.24	1	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	360.49	662.35	1	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	360.76	661.02	1	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	604.56	725.58	1	361.58	659.29	1	NaN	NaN	NaN	NaN	NaN	NaN
653.46	694.77	0.9843	NaN	NaN	NaN	613.1	720.43	1	362.34	656.58	1	NaN	NaN	NaN	NaN	NaN	NaN
664.62	686.5	0.9843	NaN	NaN	NaN	620.37	716.67	1	363.27	653.18	1	NaN	NaN	NaN	NaN	NaN	NaN
