X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
361.64	315.31	NaN	NaN	NaN	NaN	339.48	355.79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	331.15	324.53	NaN
345.49	327.34	NaN	515.68	303.13	NaN	345.02	347.16	NaN	322.41	361.11	NaN	NaN	NaN	NaN	322.92	333.5	NaN
333.59	337.55	NaN	516.24	302.85	NaN	358.77	336.6	NaN	302.77	367.83	NaN	NaN	NaN	NaN	318.28	340.65	NaN
328.41	346.42	NaN	518.67	297.6	NaN	360.65	329.54	NaN	292.91	380.86	NaN	NaN	NaN	NaN	314.3	347.2	NaN
323.07	358.24	NaN	519.88	296.02	NaN	346.96	329.36	NaN	287.56	395.17	NaN	584.16	720.79	NaN	310.53	355.87	NaN
307.8	377.18	NaN	519.49	293.9	NaN	335.62	327.23	NaN	284.17	406.85	NaN	555.86	736.29	NaN	303.08	366.43	NaN
NaN	NaN	NaN	518.67	282.59	NaN	328.31	328.28	NaN	NaN	NaN	NaN	532.81	748.15	NaN	NaN	NaN	NaN
NaN	NaN	NaN	518.74	282.31	NaN	319.92	337.19	NaN	305.82	392.54	NaN	514.1	742.79	NaN	NaN	NaN	NaN
NaN	NaN	NaN	518.05	281.76	NaN	314.58	344.31	NaN	318.4	379.43	NaN	495.93	736.52	NaN	NaN	NaN	NaN
277.22	424.88	NaN	513.89	282.29	NaN	311.8	348.18	NaN	339.7	363.85	NaN	483.19	733.11	NaN	287.71	399.29	NaN
276.05	432.4	NaN	510.1	280.57	NaN	309.61	351.61	NaN	350.48	345.77	NaN	471.84	730.42	NaN	287.35	407.2	NaN
286.08	439	NaN	503	274.67	NaN	307.67	354.75	NaN	349.07	326.61	NaN	463.56	728.65	NaN	286.96	414.44	NaN
300.9	432.67	NaN	499.51	272.12	NaN	306.6	356.99	NaN	351.15	313.32	NaN	454.91	726.59	NaN	285.85	419.95	NaN
315.22	420.4	NaN	499.72	272.16	NaN	305.92	358.69	NaN	363.48	293.2	NaN	447.64	724.84	NaN	285.06	424.88	NaN
333.38	395.39	NaN	497.08	272.95	NaN	305.12	360.49	NaN	381.18	274.51	NaN	441.64	723.52	NaN	284.94	428.51	NaN
350.23	374.97	NaN	494.87	274.19	NaN	304.64	361.72	NaN	395.59	266.27	NaN	435.02	722.09	NaN	284.83	430.81	NaN
365.75	358.71	NaN	494.22	274.59	NaN	304.07	363.29	NaN	407.18	263.18	NaN	429.34	721.09	NaN	285.49	434.36	NaN
375.17	338.15	NaN	494.27	274.61	NaN	303.63	364.08	NaN	412.88	262.27	NaN	424.76	720.27	NaN	292.68	428.93	NaN
380.59	319.82	NaN	494.15	274.58	NaN	303.37	365.13	NaN	421.45	259.06	NaN	419.84	719.46	NaN	302.64	419.14	NaN
385.8	303.18	NaN	492.17	274.64	NaN	302.96	366.38	NaN	442.69	251.07	NaN	415.92	718.45	NaN	315	407.08	NaN
390	289.57	NaN	491.3	274.74	NaN	302.75	366.96	NaN	454.78	259.02	NaN	411.58	716.9	NaN	328.93	393.27	NaN
394.66	276.81	NaN	490.39	276.42	NaN	302.51	368.09	NaN	445.85	271.37	NaN	407.88	715.51	NaN	344.79	378.84	NaN
405.09	267.04	NaN	489.46	277.41	NaN	302.28	368.86	NaN	437.09	279.54	NaN	405.15	714.24	NaN	365.4	365.67	NaN
417.64	258.93	NaN	488.43	278.54	NaN	302.07	369.81	NaN	421.53	290.37	NaN	401.68	712.62	NaN	388	354.89	NaN
433.26	250.96	NaN	484.96	283.96	NaN	301.91	370.53	NaN	408.93	306.76	NaN	400.97	707.04	NaN	409.41	343.59	NaN
448.17	245.58	NaN	484.92	283.86	NaN	301.78	371.3	NaN	401.48	320.2	NaN	402.52	707.08	NaN	431.31	331.9	NaN
461.55	241.77	NaN	484.77	284.03	NaN	301.59	371.84	NaN	406.55	329.61	NaN	406.88	708.38	NaN	447.27	318	NaN
