X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
596.81	741.76	NaN	582.96	710.22	NaN	312.52	604.23	NaN	302.78	613.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	582.76	710.21	NaN	341.22	634.51	NaN	507.75	734.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	582.76	710.21	NaN	341.22	634.51	NaN	507.75	734.27	NaN	NaN	NaN	NaN	NaN	NaN	NaN
596.81	741.76	NaN	582.96	710.22	NaN	312.52	604.23	NaN	302.78	613.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN
596.81	741.76	NaN	582.96	710.22	NaN	312.52	604.23	NaN	302.78	613.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN
596.81	741.76	NaN	582.96	710.22	NaN	312.52	604.23	NaN	302.78	613.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN
623.35	733.88	NaN	582.96	710.22	NaN	301.42	576.28	NaN	280.69	575.67	NaN	NaN	NaN	NaN	313.33	637.2	NaN
626.78	732.61	NaN	582.79	710.34	NaN	301.16	572.32	NaN	279.36	571.22	NaN	NaN	NaN	NaN	NaN	NaN	NaN
630.16	731.16	NaN	582.9	710.19	NaN	300.93	569.93	NaN	278.14	566.92	NaN	NaN	NaN	NaN	NaN	NaN	NaN
632.31	730.21	NaN	582.73	710.27	NaN	300.7	567.76	NaN	277.09	563.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN
635.45	728.66	NaN	582.83	710.24	NaN	300.23	562.67	NaN	276.19	559.58	NaN	NaN	NaN	NaN	NaN	NaN	NaN
637.62	727.8	NaN	582.91	710.29	NaN	300.02	560.4	NaN	275.31	555.78	NaN	NaN	NaN	NaN	NaN	NaN	NaN
639.22	726.94	NaN	582.96	710.22	NaN	299.81	558.59	NaN	274.58	552.36	NaN	NaN	NaN	NaN	NaN	NaN	NaN
640.43	726.25	NaN	582.91	710.29	NaN	299.47	556.61	NaN	274.08	549.85	NaN	NaN	NaN	NaN	NaN	NaN	NaN
647.36	722.3	NaN	583.27	710.22	NaN	299.27	554.95	NaN	273.45	546.84	NaN	NaN	NaN	NaN	NaN	NaN	NaN
651.57	719.54	NaN	582.88	710.3	NaN	299.24	553.33	NaN	273.18	544.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN
653.94	718.01	NaN	583.03	710.27	NaN	298.97	550.49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
658.51	715.12	NaN	582.78	710.31	NaN	298.71	548.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
661.67	713.07	NaN	583.13	710.24	NaN	298.49	547.03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
664.19	711.55	NaN	582.97	710.36	NaN	298.35	545.43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
666.91	709.7	NaN	583.13	710.24	NaN	298.27	544.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
669.52	708	NaN	582.94	710.34	NaN	298.28	543.16	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
671.88	706.47	NaN	583.09	710.21	NaN	298.27	542.32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
673.24	705.53	NaN	582.6	710.29	NaN	298.24	541.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
675.68	703.9	NaN	582.96	710.22	NaN	298.03	538.77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
677.57	702.65	NaN	582.83	710.24	NaN	298	537.63	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
679.2	701.31	NaN	582.85	710.26	NaN	297.85	536.76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
681.17	700.07	NaN	582.96	710.22	NaN	297.89	536.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
682.28	699.21	NaN	582.96	710.22	NaN	297.89	535.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
683.88	698	NaN	583.02	710.26	NaN	297.79	535.39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
685.25	696.87	NaN	583.14	710.24	NaN	297.76	533.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
686.69	695.8	NaN	582.96	710.22	NaN	297.71	532	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
687.33	695.38	NaN	583.14	710.24	NaN	297.51	531.31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
688.59	694.44	NaN	582.85	710.26	NaN	297.42	530.35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
