X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
596.81	741.76	0.35294	582.96	710.22	1	312.52	604.23	0.35294	302.78	613.17	0.35294	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	582.76	710.21	1	341.22	634.51	0.35122	507.75	734.27	0.30303	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	582.76	710.21	1	341.22	634.51	0.35122	507.75	734.27	0.30303	NaN	NaN	NaN	NaN	NaN	NaN
596.81	741.76	0.99987	582.96	710.22	1	312.52	604.23	0.41373	302.78	613.17	0.41374	NaN	NaN	NaN	NaN	NaN	NaN
596.81	741.76	0.99987	582.96	710.22	1	312.52	604.23	0.41373	302.78	613.17	0.41374	NaN	NaN	NaN	NaN	NaN	NaN
596.81	741.76	0.99987	582.96	710.22	1	312.52	604.23	0.41373	302.78	613.17	0.41374	NaN	NaN	NaN	NaN	NaN	NaN
623.35	733.88	0.99987	582.96	710.22	1	301.42	576.28	0.98861	280.69	575.67	0.5162	NaN	NaN	NaN	313.33	637.2	0.5162
626.78	732.61	0.99987	582.79	710.34	1	301.16	572.32	0.98861	279.36	571.22	0.5162	NaN	NaN	NaN	NaN	NaN	NaN
630.16	731.16	0.99987	582.9	710.19	1	300.93	569.93	0.98861	278.14	566.92	0.5162	NaN	NaN	NaN	NaN	NaN	NaN
632.31	730.21	0.99987	582.73	710.27	1	300.7	567.76	0.98861	277.09	563.08	0.5162	NaN	NaN	NaN	NaN	NaN	NaN
635.45	728.66	0.99987	582.83	710.24	1	300.23	562.67	0.98861	276.19	559.58	0.5162	NaN	NaN	NaN	NaN	NaN	NaN
637.62	727.8	0.99987	582.91	710.29	1	300.02	560.4	0.98861	275.31	555.78	0.5162	NaN	NaN	NaN	NaN	NaN	NaN
639.22	726.94	0.99987	582.96	710.22	1	299.81	558.59	0.98861	274.58	552.36	0.5162	NaN	NaN	NaN	NaN	NaN	NaN
640.43	726.25	0.99987	582.91	710.29	1	299.47	556.61	0.98861	274.08	549.85	0.5162	NaN	NaN	NaN	NaN	NaN	NaN
647.36	722.3	0.99987	583.27	710.22	1	299.27	554.95	0.98861	273.45	546.84	0.5162	NaN	NaN	NaN	NaN	NaN	NaN
651.57	719.54	0.99987	582.88	710.3	1	299.24	553.33	0.98861	273.18	544.67	0.5162	NaN	NaN	NaN	NaN	NaN	NaN
653.94	718.01	0.99987	583.03	710.27	1	298.97	550.49	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
658.51	715.12	0.99987	582.78	710.31	1	298.71	548.39	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
661.67	713.07	0.99987	583.13	710.24	1	298.49	547.03	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
664.19	711.55	0.99987	582.97	710.36	1	298.35	545.43	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
666.91	709.7	0.99987	583.13	710.24	1	298.27	544.23	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
669.52	708	0.99987	582.94	710.34	1	298.28	543.16	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
671.88	706.47	0.99987	583.09	710.21	1	298.27	542.32	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
673.24	705.53	0.99987	582.6	710.29	1	298.24	541.33	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
675.68	703.9	0.99987	582.96	710.22	1	298.03	538.77	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
677.57	702.65	0.99987	582.83	710.24	1	298	537.63	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
679.2	701.31	0.99987	582.85	710.26	1	297.85	536.76	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
681.17	700.07	0.99987	582.96	710.22	1	297.89	536.06	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
682.28	699.21	0.99987	582.96	710.22	1	297.89	535.39	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
683.88	698	0.99987	583.02	710.26	1	297.79	535.39	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
685.25	696.87	0.99987	583.14	710.24	1	297.76	533.51	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
686.69	695.8	0.99987	582.96	710.22	1	297.71	532	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
687.33	695.38	0.99987	583.14	710.24	1	297.51	531.31	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
688.59	694.44	0.99987	582.85	710.26	1	297.42	530.35	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
693.07	691.09	0.99987	582.9	710.3	1	297.26	529.55	0.98861	277.83	482.51	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
696.83	687.96	0.99987	582.83	710.24	1	297.06	528.5	0.98861	276.67	477.34	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
698.88	686.17	0.99987	582.96	710.22	1	297	527.81	0.98861	275.74	473.19	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
701.27	683.89	0.99987	582.91	710.29	1	296.97	527.57	0.98861	274.83	469.31	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
704.22	681.22	0.99987	582.73	710.27	1	296.94	526.06	0.98861	274.04	466.24	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
706.35	679.37	0.99987	582.83	710.24	1	296.89	525.17	0.98861	273.12	462.63	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
708.21	677.48	0.99987	582.75	710.28	1	296.85	524.56	0.98861	272.63	460.15	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
709.53	676.24	0.99987	582.96	710.22	1	296.84	523.89	0.98861	271.71	456.82	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
711.73	674.1	0.99987	582.72	710.25	1	296.73	523.46	0.98861	270.94	454.7	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
713.17	672.65	0.99987	582.96	710.22	1	296.74	523.51	0.98861	271.28	451.13	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
714.32	671.49	0.99987	582.72	710.25	1	297.63	521.67	0.98861	273.26	445.56	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
717.5	667.39	0.99987	582.72	710.28	1	298.3	519.26	0.98861	274.5	441.99	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
719.4	664.72	0.99987	582.85	710.26	1	298.98	516.23	0.98861	275.44	438.99	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
721.96	661.47	0.99987	582.83	710.24	1	299.48	513.98	0.98861	276.78	435.46	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
723.91	658.98	0.99987	583.03	710.28	1	300.02	512.05	0.98861	277.71	432.45	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
725.8	656.51	0.99987	582.96	710.22	1	300.51	510.44	0.98861	282.05	432.62	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
727.49	654.23	0.99987	582.91	710.29	1	300.98	509	0.98861	284.61	441.39	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
728.68	652.37	0.99987	583.03	710.28	1	301.46	507.37	0.98861	285.78	450.42	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
730.32	650	0.99987	583.01	710.25	1	302.05	505.43	0.98861	286.65	457.18	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
731.7	648.04	0.99987	582.6	710.29	1	302.42	504.32	0.98861	286.84	462.57	0.85592	NaN	NaN	NaN	NaN	NaN	NaN
733.04	645.96	0.99987	583.14	710.24	1	302.84	502.89	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
733.9	643.85	0.99987	582.84	710.24	1	303.46	501.59	0.98861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
