X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
332.5	322.91	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	660.94	355.86	0.79786	294.72	372.46	0.7028
325.16	330.11	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	650.76	345.13	0.79786	290.27	382.03	0.7028
318.06	338.56	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	643.11	337.92	0.79786	286.21	394.37	0.7028
311.72	345.17	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	634.41	333.37	0.79786	282.58	404.46	0.7028
307.29	353.73	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	626.18	329.28	0.79786	279.79	412.66	0.7028
302.75	363.87	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	619.08	325.48	0.79786	276.79	420.79	0.7028
299.35	372.13	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	612.49	321.84	0.79786	273.82	429.24	0.7028
293.88	382.28	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	606.46	318	0.79786	271.59	435.28	0.7028
290.25	392.55	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	602.36	315.59	0.79786	270.97	441.45	0.7028
286.52	403.2	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	597.68	312.27	0.79786	269.68	453.93	0.7028
284.1	411.54	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	593.86	309.42	0.79786	268.06	463.81	0.7028
281.87	420.07	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	588.96	307.78	0.79786	267.12	470.99	0.7028
280.01	427.45	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	586.86	307.45	0.79786	267.33	477.6	0.7028
279.25	434.07	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	585.03	307.24	0.79786	269.48	488.61	0.7028
278.4	444.08	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	583.22	308.47	0.79786	270.63	497.25	0.7028
277.01	453.17	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	581.13	310.77	0.79786	271.59	505.83	0.7028
276.17	461.09	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	582.17	308.2	0.79786	272.25	513.15	0.7028
275.25	468.68	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	272.53	519.53	0.7028
274.03	474.99	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	320.22	587.31	0.32445	NaN	NaN	NaN	273.54	526.59	0.7028
272.28	481.4	0.94401	NaN	NaN	NaN	NaN	NaN	NaN	320.45	589.76	0.32445	NaN	NaN	NaN	274.23	533.23	0.7028
