X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
NaN	NaN	NaN	783.23	567.06	NaN	754.92	628.98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	782.39	573.56	NaN	753.91	629.97	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	781.19	579.32	NaN	752.25	632.19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	780.1	583.36	NaN	750.51	634.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	777.13	590.51	NaN	746.62	634.03	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	775.88	595.19	NaN	739.56	623.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	772.88	600.88	NaN	733.9	613.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	767.15	606.97	NaN	728.73	604.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	764.1	609.35	NaN	724.35	596.18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	759.74	613.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	755.43	617.09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	751.93	619.84	NaN	714.62	577.28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	748.86	622.16	NaN	712.5	572.46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	744.3	622.46	NaN	710.34	567.68	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	737.27	619.78	NaN	708.8	563.83	NaN	NaN	NaN	NaN	672.43	613.57	NaN	NaN	NaN	NaN
NaN	NaN	NaN	729.44	616.82	NaN	707.02	559.88	NaN	NaN	NaN	NaN	671.17	616.28	NaN	NaN	NaN	NaN
NaN	NaN	NaN	720.79	608.29	NaN	708.88	550.09	NaN	725.84	515.06	NaN	670.29	618	NaN	739.4	611.6	NaN
NaN	NaN	NaN	714.22	602.72	NaN	712.81	540.08	NaN	722.97	512.11	NaN	669.52	620.39	NaN	735.79	615.95	NaN
NaN	NaN	NaN	707.4	596.8	NaN	716.27	532.72	NaN	721.22	510	NaN	668.98	621.98	NaN	732.61	619.63	NaN
NaN	NaN	NaN	704.17	593.67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	668.8	622.97	NaN	731.07	621.55	NaN
NaN	NaN	NaN	699.51	589.36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	667.95	625.29	NaN	728.48	624.13	NaN
NaN	NaN	NaN	696.62	586.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	667.13	627.99	NaN	719.98	623.04	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	666.67	629.69	NaN	708.69	614.5	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	665.87	632.07	NaN	699.42	607.36	NaN
NaN	NaN	NaN	NaN	NaN	NaN	712.63	523.79	NaN	NaN	NaN	NaN	664.01	634.69	NaN	690.6	599	NaN
NaN	NaN	NaN	NaN	NaN	NaN	711.37	533.46	NaN	NaN	NaN	NaN	660.94	630.4	NaN	688.8	598.5	NaN
NaN	NaN	NaN	NaN	NaN	NaN	708.81	548.78	NaN	NaN	NaN	NaN	661.38	626.35	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	710.54	553.95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	715.7	565.97	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	738.27	465.21	NaN	717.88	576.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	743.52	455.97	NaN	719	583.36	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	748.95	447.25	NaN	719.51	590.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	754	439.69	NaN	719.81	597.26	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	758.16	433.43	NaN	718.56	601.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	762.16	427.31	NaN	713.05	604.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	765.98	421.59	NaN	705.79	605.97	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	769.02	416.85	NaN	701.02	606.81	NaN	NaN	NaN	NaN	NaN	NaN	NaN
730.03	549.56	NaN	732.23	511.87	NaN	772.21	412.25	NaN	695.35	607.62	NaN	NaN	NaN	NaN	717.14	528.35	NaN
736.32	555.38	NaN	732.27	507.94	NaN	774.8	408.32	NaN	691.29	607.62	NaN	NaN	NaN	NaN	717.18	529.59	NaN
739.73	557.67	NaN	731.82	499.82	NaN	776.16	401.85	NaN	685.97	604.92	NaN	NaN	NaN	NaN	716.61	532.85	NaN
743.45	553.4	NaN	731.49	495.97	NaN	774.25	394.16	NaN	683.16	602.9	NaN	NaN	NaN	NaN	716.48	534.01	NaN
742.56	546.86	NaN	731.03	492.31	NaN	772.3	388.37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	716.33	535.68	NaN
741.65	541.26	NaN	730.49	489	NaN	770.07	382.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	716.08	536.89	NaN
740.95	536.05	NaN	729.94	485.82	NaN	768.33	377.17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	718.44	538.83	NaN
740.49	531.86	NaN	729.49	483	NaN	766.57	372.56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	724.15	533.95	NaN
740.19	527.28	NaN	729	480.09	NaN	762.96	369.6	NaN	707.21	557.74	NaN	NaN	NaN	NaN	727.51	528.13	NaN
741.11	523.53	NaN	728.65	478	NaN	756.57	375.31	NaN	707.98	557.12	NaN	NaN	NaN	NaN	729.14	523.97	NaN
743.49	515.94	NaN	728.3	475.72	NaN	756.37	382.86	NaN	708.62	556.53	NaN	NaN	NaN	NaN	729.22	519.38	NaN
745.59	508.65	NaN	728.05	474.27	NaN	757.95	391	NaN	709.45	555.84	NaN	NaN	NaN	NaN	728.82	513.94	NaN
746.98	503.76	NaN	729.42	472.26	NaN	759.57	397.89	NaN	709.9	555.31	NaN	NaN	NaN	NaN	728.59	509.95	NaN
748.37	498.62	NaN	733.12	470.49	NaN	761.26	403.75	NaN	709.77	554.9	NaN	NaN	NaN	NaN	727.31	505.03	NaN
749.5	493.39	NaN	738.74	469.63	NaN	763.22	409.03	NaN	710.86	552.01	NaN	NaN	NaN	NaN	725.4	500.51	NaN
750.27	490.05	NaN	744.59	468.53	NaN	773.12	416.18	NaN	713.53	548.19	NaN	NaN	NaN	NaN	723.96	496.77	NaN
751.12	484.93	NaN	748.13	468.26	NaN	783.8	422.84	NaN	NaN	NaN	NaN	716.75	549.75	NaN	722.7	493.63	NaN
NaN	NaN	NaN	NaN	NaN	NaN	789.61	430.44	NaN	NaN	NaN	NaN	720.95	546.66	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	794.09	442.46	NaN	NaN	NaN	NaN	724.37	543.87	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	793.94	456.49	NaN	NaN	NaN	NaN	727.94	541.11	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	795.22	469.26	NaN	NaN	NaN	NaN	730.62	539.38	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	795.98	480.14	NaN	NaN	NaN	NaN	736.91	533.49	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	796.83	491.15	NaN	NaN	NaN	NaN	742.07	528.93	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	797.32	499.54	NaN	NaN	NaN	NaN	747.94	523.81	NaN	NaN	NaN	NaN
NaN	NaN	NaN	769.96	464.63	NaN	796.84	506.53	NaN	758.8	447.31	NaN	753.55	517.92	NaN	NaN	NaN	NaN
NaN	NaN	NaN	776.92	463.56	NaN	794.81	516.53	NaN	765.26	446.66	NaN	757.53	513.72	NaN	NaN	NaN	NaN
752.28	470.33	NaN	779.1	463.45	NaN	793.9	526.67	NaN	770.21	446.4	NaN	759.92	511.31	NaN	738.93	451.31	NaN
761.08	474.61	NaN	782.57	463.2	NaN	793.61	534.05	NaN	777.09	445.85	NaN	764.06	506.75	NaN	744.16	446.46	NaN
769.06	479.08	NaN	783.08	463	NaN	793.6	540.95	NaN	782.16	445.52	NaN	769.46	505.43	NaN	751.35	443.23	NaN
777.39	482.96	NaN	785.8	463	NaN	791.8	549.52	NaN	784.9	445.45	NaN	776.35	504.86	NaN	757.22	443.27	NaN
784.67	485.74	NaN	787.22	462.94	NaN	790.09	559.5	NaN	788.08	448.97	NaN	781.66	505.81	NaN	764.29	444.18	NaN
790.43	488.12	NaN	NaN	NaN	NaN	787.02	569.06	NaN	NaN	NaN	NaN	786.36	509.08	NaN	768.93	445.43	NaN
793.33	490.6	NaN	NaN	NaN	NaN	783.92	578.49	NaN	NaN	NaN	NaN	791.37	513.53	NaN	774.5	447.2	NaN
