X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
660.85	341.5	NaN	609.88	301.67	NaN	648.23	263.04	NaN	322.26	366.54	NaN	600.72	310.79	NaN	449.31	245.17	NaN
646.53	334.62	NaN	593.92	286.99	NaN	652.08	265.02	NaN	332.46	346.58	NaN	584.39	302.88	NaN	436.21	251.44	NaN
627.39	325.9	NaN	579.39	275.93	NaN	655.42	266.71	NaN	340.28	329.52	NaN	571	300.24	NaN	425.25	256.14	NaN
606.71	317.13	NaN	565.35	267.11	NaN	658.6	268.34	NaN	348.23	315.59	NaN	556.9	297.36	NaN	415.55	259.93	NaN
587.15	308.94	NaN	553.4	259.17	NaN	660.46	269.62	NaN	361.06	303.26	NaN	545.12	295.25	NaN	406.9	263.04	NaN
568.74	302.58	NaN	532.74	249.07	NaN	662.01	270.82	NaN	376.49	293.77	NaN	534.08	293.66	NaN	400.53	267.98	NaN
553.15	298.77	NaN	506.71	241.04	NaN	665.31	272.81	NaN	NaN	NaN	NaN	522.91	291.77	NaN	NaN	NaN	NaN
538.78	300.25	NaN	485.78	238.25	NaN	666.71	274.05	NaN	NaN	NaN	NaN	515.09	290.54	NaN	NaN	NaN	NaN
528.51	301.44	NaN	468.06	239.91	NaN	667.34	277.89	NaN	405.85	286.28	NaN	505.56	288.93	NaN	392.49	305.75	NaN
517.2	301.65	NaN	453.19	244.93	NaN	655.78	280.36	NaN	411.52	283.67	NaN	497.98	287.75	NaN	380.38	307.28	NaN
507.7	303.15	NaN	439.61	249.5	NaN	639.76	281.57	NaN	416.82	280.77	NaN	491.39	286.59	NaN	368.67	306.57	NaN
487.76	304.95	NaN	427.33	253.8	NaN	622.48	280.78	NaN	421.55	278.22	NaN	483.41	282.04	NaN	365.51	302.38	NaN
466.95	304.87	NaN	417.16	257.09	NaN	605.4	279.88	NaN	425.83	276.36	NaN	470.42	271.56	NaN	372.97	298.11	NaN
447.51	305.32	NaN	408.07	259.77	NaN	591.48	278.95	NaN	429.54	274.72	NaN	459.66	264.14	NaN	380.36	295.15	NaN
431.21	305.13	NaN	401.29	261.94	NaN	578.28	278.07	NaN	433.55	273.08	NaN	449.95	257.31	NaN	387.5	291.65	NaN
418.36	304.32	NaN	395.77	264.47	NaN	568.46	277.6	NaN	436.46	272.14	NaN	441.84	250.85	NaN	397.51	287.03	NaN
408.22	302.87	NaN	392.27	266.81	NaN	557.67	276.98	NaN	438.85	270.68	NaN	429.54	247.19	NaN	409.26	280.73	NaN
