X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	538.86	725.95	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	527.68	724	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	527.68	724	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	538.86	725.95	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	538.86	725.95	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	527.68	724	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	431.62	724.35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	532.81	738.41	NaN
NaN	NaN	NaN	NaN	NaN	NaN	423.41	720.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	528.12	739.05	NaN
NaN	NaN	NaN	NaN	NaN	NaN	417.31	717.57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	523.89	739.88	NaN
NaN	NaN	NaN	NaN	NaN	NaN	411.36	714.79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	520.43	740.61	NaN
NaN	NaN	NaN	NaN	NaN	NaN	407.66	713.09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	515.71	741.66	NaN
NaN	NaN	NaN	NaN	NaN	NaN	401.53	710.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	514.29	741.73	NaN
NaN	NaN	NaN	NaN	NaN	NaN	395.86	707.88	NaN	NaN	NaN	NaN	NaN	NaN	NaN	512.05	742.08	NaN
NaN	NaN	NaN	NaN	NaN	NaN	390.6	701.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	507.02	740.86	NaN
NaN	NaN	NaN	NaN	NaN	NaN	385.33	695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	498.13	739.82	NaN
NaN	NaN	NaN	NaN	NaN	NaN	381.02	689.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	489.84	741.53	NaN
NaN	NaN	NaN	NaN	NaN	NaN	377.55	685.43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	481.91	741.7	NaN
NaN	NaN	NaN	NaN	NaN	NaN	374.7	682.21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	473.6	740.57	NaN
NaN	NaN	NaN	NaN	NaN	NaN	368.68	679.51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	462.8	737.07	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	453.62	735.26	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	412.75	687.71	NaN	NaN	NaN	NaN	446.68	733.66	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	409.07	683.8	NaN	NaN	NaN	NaN	440.78	729.88	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	406.3	680.75	NaN	NaN	NaN	NaN	432.49	724.51	NaN
