X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
439.88	734.38	0.32212	411.63	701.83	0.34555	305.62	612.17	0.18058	NaN	NaN	NaN	344.42	633.63	0.84358	468.04	707.96	0.28655
427.07	729.95	0.32212	393.9	699.92	0.34555	302.04	603.26	0.18058	NaN	NaN	NaN	336.97	625.76	0.84358	459.73	709.85	0.28655
413.8	722.32	0.32212	380.61	699.52	0.34555	298.87	594.95	0.18058	NaN	NaN	NaN	329.95	619.62	0.84358	452.04	710.29	0.28655
403.44	717.27	0.32212	371.18	695.59	0.34555	296.33	587.81	0.18058	NaN	NaN	NaN	324.8	615.9	0.84358	442.22	711.6	0.28655
394.7	713.26	0.32212	363.25	687.68	0.34555	294.19	581.34	0.18058	NaN	NaN	NaN	319.08	612.67	0.84358	430.94	712.34	0.28655
NaN	NaN	NaN	357.24	681.88	0.33262	289	573.67	0.18058	NaN	NaN	NaN	313.7	609.86	0.84358	419.45	712.18	0.28655
NaN	NaN	NaN	NaN	NaN	NaN	283.77	563.64	0.18058	385.7	708.14	0.19474	308.81	607.5	0.84358	407.88	709.94	0.28655
NaN	NaN	NaN	NaN	NaN	NaN	281.44	553.5	0.18058	382.39	706.23	0.19474	303.62	604.85	0.84358	398.27	706.61	0.28655
NaN	NaN	NaN	NaN	NaN	NaN	280.16	544.63	0.18058	NaN	NaN	NaN	300.84	602.45	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	279.14	536.67	0.18058	NaN	NaN	NaN	295.47	592.77	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	277.99	529.01	0.18058	NaN	NaN	NaN	290.44	583.25	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	277.13	523.14	0.18058	370.1	687.25	0.4245	286.86	575.67	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	276.22	517.3	0.18058	363.51	677.94	0.4245	283.92	565.33	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	275.25	511.58	0.18058	357.79	671.12	0.4245	282.23	556.69	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	274.28	505.85	0.18058	352.04	664.61	0.4245	280.61	548.5	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	273.51	500.89	0.18058	346.85	658.65	0.4245	279.52	542.13	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	272.93	496.65	0.18058	342.19	653.74	0.4245	278.6	535.99	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	272.91	491.1	0.18058	337.84	649.3	0.4245	277.68	530.36	0.84358	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	280.76	491.02	0.18058	333.17	644.93	0.4245	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	285.43	501.96	0.18058	326.8	639.44	0.4245	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	320.9	633.12	0.4245	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	314.51	624.44	0.4245	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	309.39	615.16	0.4245	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	302.46	605.44	0.4245	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	302.9	543.43	0.32102	NaN	NaN	NaN	296.12	594.51	0.4245	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	307.43	535.37	0.32102	NaN	NaN	NaN	NaN	NaN	NaN	295.45	511.59	0.29268	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
275.71	486.14	0.75511	314.55	520.29	0.42564	NaN	NaN	NaN	288.34	504.07	0.87551	308.21	558.39	0.69962	NaN	NaN	NaN
277.4	465.46	0.75511	315.73	518.08	0.42564	NaN	NaN	NaN	290.26	501.19	0.87551	310.83	569.6	0.69962	NaN	NaN	NaN
279.15	446.22	0.75511	321.32	522.11	0.42564	NaN	NaN	NaN	294.98	505.6	0.87551	312.67	580.19	0.69962	NaN	NaN	NaN
282.88	418.59	0.75511	320.12	538.74	0.42564	NaN	NaN	NaN	299.07	514.51	0.87551	317.1	589.97	0.69962	NaN	NaN	NaN
292.38	390.15	0.75511	NaN	NaN	NaN	NaN	NaN	NaN	303.3	523.98	0.87551	325.17	609.38	0.69962	NaN	NaN	NaN
305.25	367.49	0.75511	NaN	NaN	NaN	NaN	NaN	NaN	305.85	531.34	0.87551	318.67	613.78	0.69962	NaN	NaN	NaN
317.13	350.21	0.75511	NaN	NaN	NaN	NaN	NaN	NaN	308.55	538.16	0.87551	314.35	603.73	0.69962	NaN	NaN	NaN
327.61	335.6	0.75511	NaN	NaN	NaN	NaN	NaN	NaN	310.95	544.37	0.87551	NaN	NaN	NaN	NaN	NaN	NaN
336.31	322.05	0.75511	NaN	NaN	NaN	NaN	NaN	NaN	311.53	551.43	0.87551	NaN	NaN	NaN	NaN	NaN	NaN
346.83	311.41	0.75511	NaN	NaN	NaN	NaN	NaN	NaN	310.85	559.21	0.87551	NaN	NaN	NaN	NaN	NaN	NaN
357.98	302.25	0.75511	333.19	652.36	0.44757	359.81	682.9	0.41024	311.69	564.35	0.87551	299.91	580.13	0.41458	314.03	612.45	0.25872
369.08	301.62	0.75511	337.22	658.9	0.44757	366.93	686.55	0.41024	316.09	570.81	0.87551	297.83	585.08	0.41458	320.31	620.28	0.25872
368.65	313.65	0.75511	340.86	664.42	0.44757	369.75	673.88	0.41024	319.27	577.96	0.87551	301.07	597.31	0.41458	326.83	626.95	0.25872
361.62	327.43	0.75511	345.81	668.35	0.44757	367.1	655.73	0.41024	320.53	585.07	0.87551	304.17	606.3	0.41458	332.46	632.46	0.25872
346	342.22	0.75511	351.13	670.17	0.44757	362.04	639.77	0.41024	320.77	590.33	0.87551	308.3	615.36	0.41458	337.78	637.91	0.25872
334.57	358	0.75511	355.86	671.41	0.44757	356.47	622.18	0.41024	321.28	595.84	0.87551	313.77	627.27	0.41458	342.02	642.24	0.25872
