X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	467.98	715.44	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	467.98	715.44	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
607.05	695.65	NaN	591.26	668.38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
607.99	687.72	NaN	594.89	667.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
607.05	695.65	NaN	591.26	668.38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	604.09	667.24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	607.84	664.42	NaN	NaN	NaN	NaN	557.6	745.31	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	610.59	661.85	NaN	NaN	NaN	NaN	573.3	742.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	614.38	659.64	NaN	NaN	NaN	NaN	586.92	741.26	NaN	634.93	707.15	NaN	NaN	NaN	NaN
NaN	NaN	NaN	618.11	658.76	NaN	NaN	NaN	NaN	600.56	738.34	NaN	642.44	703.26	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	614.16	733.6	NaN	647.75	700.5	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	624.84	727.93	NaN	652.08	697.75	NaN	NaN	NaN	NaN
NaN	NaN	NaN	671.36	618.33	NaN	NaN	NaN	NaN	633.63	723.05	NaN	656.27	693.04	NaN	NaN	NaN	NaN
NaN	NaN	NaN	677.53	613.16	NaN	NaN	NaN	NaN	641.49	718.38	NaN	662	684.95	NaN	NaN	NaN	NaN
NaN	NaN	NaN	684.55	607.47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	668.67	673.51	NaN	NaN	NaN	NaN
NaN	NaN	NaN	688.62	600.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	675.96	662.44	NaN	NaN	NaN	NaN
NaN	NaN	NaN	691.09	594.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	683.32	650.92	NaN	NaN	NaN	NaN
NaN	NaN	NaN	693.83	587.98	NaN	NaN	NaN	NaN	NaN	NaN	NaN	690.54	640.69	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	697.19	629.97	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	703.15	620.88	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	708.64	609.61	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	723.49	543.09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	726.88	532.21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	726.02	387.59	NaN
NaN	NaN	NaN	727.32	521.08	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	724.64	382.19	NaN
NaN	NaN	NaN	728.2	510.11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	723.26	376.56	NaN
NaN	NaN	NaN	728.36	499.72	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	721.96	371.89	NaN
NaN	NaN	NaN	729.34	489.91	NaN	NaN	NaN	NaN	717.88	405.39	NaN	696.06	394.58	NaN	721.19	367.79	NaN
NaN	NaN	NaN	730.28	479.76	NaN	NaN	NaN	NaN	712.57	398.36	NaN	690.25	387.34	NaN	720.36	363.36	NaN
NaN	NaN	NaN	729.77	468.08	NaN	NaN	NaN	NaN	708.26	392.72	NaN	685.92	380.68	NaN	719.78	361.04	NaN
NaN	NaN	NaN	729.84	458.31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	690.58	366.01	NaN	721.12	351.67	NaN
NaN	NaN	NaN	730	448.79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	695.02	348.98	NaN	719.39	335.33	NaN
NaN	NaN	NaN	724.51	438.05	NaN	NaN	NaN	NaN	713.69	405.77	NaN	697	334.33	NaN	717.13	319.26	NaN
NaN	NaN	NaN	713.12	421.74	NaN	NaN	NaN	NaN	708.78	399.82	NaN	699.31	321.1	NaN	713.02	308.28	NaN
NaN	NaN	NaN	703.18	410.41	NaN	NaN	NaN	NaN	702.64	388.06	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	696.19	401.19	NaN	NaN	NaN	NaN	697.52	376.61	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	690.45	392.88	NaN	NaN	NaN	NaN	693.31	365.64	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	684.8	384.29	NaN	NaN	NaN	NaN	688.02	350.87	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	681.15	379.51	NaN	NaN	NaN	NaN	681.62	334.02	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	676.96	374.02	NaN	NaN	NaN	NaN	676.46	320	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	672.27	364.53	NaN	NaN	NaN	NaN	702.35	353.48	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	670.79	354.32	NaN	NaN	NaN	NaN	682.79	338.03	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	667.12	340.5	NaN	NaN	NaN	NaN	667.57	323.88	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	627.76	307.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	623.96	306.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	622.14	306.45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	613.94	276.4	NaN
NaN	NaN	NaN	620.2	308.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	611.98	279	NaN
NaN	NaN	NaN	648.93	270.43	NaN	NaN	NaN	NaN	617.31	323.7	NaN	NaN	NaN	NaN	608.67	284.84	NaN
NaN	NaN	NaN	643.95	269.28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	627.85	327.33	NaN	606.73	289.78	NaN
646.76	289.31	NaN	639.19	267.69	NaN	NaN	NaN	NaN	NaN	NaN	NaN	636.48	329.44	NaN	605.9	293.08	NaN
647.23	290.4	NaN	633.29	268.74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	644.87	331.21	NaN	604.74	295.74	NaN
649.38	288.45	NaN	626.86	271.86	NaN	NaN	NaN	NaN	NaN	NaN	NaN	651.2	332.25	NaN	NaN	NaN	NaN
653.02	286.69	NaN	622.97	273.65	NaN	NaN	NaN	NaN	629.13	313.46	NaN	659.22	331.17	NaN	NaN	NaN	NaN
657.22	285.52	NaN	619.28	280.66	NaN	NaN	NaN	NaN	629.72	316.08	NaN	670.38	321.4	NaN	NaN	NaN	NaN
661.37	284.59	NaN	615.78	289.16	NaN	NaN	NaN	NaN	630.4	316.86	NaN	678.94	312.35	NaN	NaN	NaN	NaN
663.31	284	NaN	NaN	NaN	NaN	NaN	NaN	NaN	632.2	318.14	NaN	686.01	303.64	NaN	NaN	NaN	NaN
664.92	284.28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	638.41	318.92	NaN	689.61	299.36	NaN	NaN	NaN	NaN
666.33	287.59	NaN	NaN	NaN	NaN	NaN	NaN	NaN	644.31	319.2	NaN	688.86	300.15	NaN	NaN	NaN	NaN
665.12	291.84	NaN	NaN	NaN	NaN	NaN	NaN	NaN	648.82	319.26	NaN	689.21	299.68	NaN	NaN	NaN	NaN
664.01	294.99	NaN	NaN	NaN	NaN	NaN	NaN	NaN	653.46	319.23	NaN	691.4	296.86	NaN	NaN	NaN	NaN
662.77	296.48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	657.46	319.19	NaN	684.65	294.06	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	661.22	318.47	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	664.07	317.42	NaN	669.83	293.87	NaN	641.91	298.84	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	668.06	314.93	NaN	662.98	293.32	NaN	629.08	299.32	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	666.16	312.54	NaN	651.93	289.16	NaN	617.38	300.94	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	658.44	312.97	NaN	640.94	286.64	NaN	605.79	302.32	NaN
NaN	NaN	NaN	551.73	299.34	NaN	NaN	NaN	NaN	649.97	314.36	NaN	629.29	282.79	NaN	595.83	303.83	NaN
NaN	NaN	NaN	545.94	296.78	NaN	NaN	NaN	NaN	642.05	313.85	NaN	619.06	280.89	NaN	587.68	305.09	NaN
NaN	NaN	NaN	543.24	294.81	NaN	NaN	NaN	NaN	627.71	306.97	NaN	608.33	279.27	NaN	579.84	306.4	NaN
NaN	NaN	NaN	537.38	290.32	NaN	525.88	258.61	NaN	613.03	301.62	NaN	600.06	278.2	NaN	574.18	306.98	NaN
NaN	NaN	NaN	539.52	279.94	NaN	513.73	236.75	NaN	599.38	295.6	NaN	589.75	272.75	NaN	567.09	307.7	NaN
NaN	NaN	NaN	545.44	268.83	NaN	502.45	235.3	NaN	587.26	290.33	NaN	566.9	257.97	NaN	563.41	307.73	NaN
NaN	NaN	NaN	546.35	258.44	NaN	492.66	244.25	NaN	578.26	285.93	NaN	547.38	247.58	NaN	559.03	307.88	NaN
NaN	NaN	NaN	535.2	251.26	NaN	484.35	252.82	NaN	568.86	270.95	NaN	531.25	239.01	NaN	549.33	307.94	NaN
516.52	229.5	NaN	525.43	246.33	NaN	477	259.98	NaN	558.53	258.59	NaN	NaN	NaN	NaN	539.02	301.14	NaN
504.45	230.81	NaN	517.57	241.8	NaN	NaN	NaN	NaN	548.41	249.15	NaN	NaN	NaN	NaN	530.08	293.77	NaN
487.62	237.26	NaN	510.95	239.61	NaN	NaN	NaN	NaN	537.1	240.69	NaN	NaN	NaN	NaN	521.54	286.11	NaN
469.69	244.57	NaN	510.55	251.47	NaN	NaN	NaN	NaN	529.48	234.92	NaN	NaN	NaN	NaN	514.08	278.81	NaN
438.83	268.55	NaN	515.58	266.54	NaN	NaN	NaN	NaN	523.76	231.95	NaN	NaN	NaN	NaN	506.5	271.79	NaN
NaN	NaN	NaN	518.38	276.48	NaN	NaN	NaN	NaN	516.39	232.15	NaN	NaN	NaN	NaN	501.05	266.38	NaN
NaN	NaN	NaN	518.44	284.71	NaN	NaN	NaN	NaN	508.33	235.54	NaN	NaN	NaN	NaN	493.31	269.15	NaN
NaN	NaN	NaN	517.57	292.27	NaN	NaN	NaN	NaN	498.18	238.54	NaN	NaN	NaN	NaN	485.18	277.93	NaN
NaN	NaN	NaN	519.44	300.24	NaN	NaN	NaN	NaN	488	246.32	NaN	NaN	NaN	NaN	478.29	285.21	NaN
NaN	NaN	NaN	522.88	303.09	NaN	NaN	NaN	NaN	476.43	253.49	NaN	NaN	NaN	NaN	471.87	292.08	NaN
NaN	NaN	NaN	508.71	306.93	NaN	NaN	NaN	NaN	466.24	260.22	NaN	NaN	NaN	NaN	461.74	307.06	NaN
NaN	NaN	NaN	490.4	310.24	NaN	NaN	NaN	NaN	454.62	268.16	NaN	NaN	NaN	NaN	444.76	325.67	NaN
NaN	NaN	NaN	470.3	316.89	NaN	NaN	NaN	NaN	438.76	279.76	NaN	NaN	NaN	NaN	425.35	341.47	NaN
392.33	362.15	NaN	447.81	325	NaN	NaN	NaN	NaN	421.15	293.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN
399.82	344.8	NaN	430.13	332.55	NaN	NaN	NaN	NaN	400.52	306.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN
409.24	330.56	NaN	415.05	341.52	NaN	369.96	392.6	NaN	377.27	323.15	NaN	NaN	NaN	NaN	512.56	304.56	NaN
