X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
319.38	473.38	NaN	301.29	464.63	NaN	494.37	740.66	NaN	312.4	581.51	NaN	413.26	711.06	NaN	345.07	630.17	NaN
322.13	492.26	NaN	297.98	464.68	NaN	500.56	742.57	NaN	318.1	597.73	NaN	426.71	716.75	NaN	352.41	647.97	NaN
NaN	NaN	NaN	294.19	464.93	NaN	506.48	744.65	NaN	325.17	610.98	NaN	437.16	722.02	NaN	358.62	664.29	NaN
309.81	547.79	NaN	290.4	468.07	NaN	517.84	747.34	NaN	336.85	628.5	NaN	446.47	727.49	NaN	364.72	677.2	NaN
305.7	573.6	NaN	286.55	472.52	NaN	530.22	747.25	NaN	349.17	644.65	NaN	454.27	732.58	NaN	375.41	688.71	NaN
304.96	594.64	NaN	290.53	483.76	NaN	539.62	746.75	NaN	358.95	659.6	NaN	461.02	736.98	NaN	389.62	695.9	NaN
308.72	611.8	NaN	295.69	499.19	NaN	549.26	745.47	NaN	366.13	674.57	NaN	472.14	740.47	NaN	402.29	701.97	NaN
320.04	625.53	NaN	299.04	511.62	NaN	557.3	743.94	NaN	373.88	687.08	NaN	484.98	743.86	NaN	413.3	707.49	NaN
332.33	637.6	NaN	301.98	522	NaN	564.44	742.38	NaN	384.56	694.98	NaN	496.26	746.05	NaN	422.75	712.6	NaN
345.49	651.34	NaN	306.65	537.58	NaN	571.36	740.38	NaN	398.95	702.63	NaN	509.12	747.9	NaN	430.83	717.04	NaN
359.27	667.82	NaN	314.04	556.78	NaN	578.17	738.24	NaN	NaN	NaN	NaN	523	747.49	NaN	438.56	721.76	NaN
371.79	681.65	NaN	322.04	576.28	NaN	583.92	736.23	NaN	NaN	NaN	NaN	533.19	747.05	NaN	451.34	730.38	NaN
383.73	693.8	NaN	331.51	596.04	NaN	589.33	734.41	NaN	429.94	720.92	NaN	542.76	746.84	NaN	465.33	737.41	NaN
396.3	701.45	NaN	339.38	613.04	NaN	594.27	732.69	NaN	NaN	NaN	NaN	553.2	746.41	NaN	478.02	742.26	NaN
410.54	709.46	NaN	349.49	628.67	NaN	598.57	731.34	NaN	NaN	NaN	NaN	561.7	746.34	NaN	489.1	745.24	NaN
421.91	716.02	NaN	361.71	644.38	NaN	603.18	729.74	NaN	NaN	NaN	NaN	568.87	745.91	NaN	502.6	744.98	NaN
434.55	722.16	NaN	373.5	656.93	NaN	607.26	728.43	NaN	NaN	NaN	NaN	576.4	745.72	NaN	515	744.95	NaN
NaN	NaN	NaN	387.92	667.2	NaN	611.06	727.22	NaN	NaN	NaN	NaN	585.65	743.71	NaN	523.73	744.91	NaN
