X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	
472.67	264.98	NaN	450.05	252.41	NaN	NaN	NaN	NaN	437.44	270.18	NaN	NaN	NaN	NaN	544.44	246.58	NaN
485.71	265.03	NaN	447.83	252.73	NaN	536.33	244.22	NaN	446.74	276.61	NaN	NaN	NaN	NaN	569.04	241.66	NaN
510.34	265.54	NaN	478.54	248.69	NaN	560	255.73	NaN	465.81	275.65	NaN	448.34	253.06	NaN	588.6	251.11	NaN
534.4	265.74	NaN	472.65	250.97	NaN	580.23	260.98	NaN	483.14	273.79	NaN	443.82	255.03	NaN	603.12	258.62	NaN
555.27	249.91	NaN	470.83	251.62	NaN	605.42	264.17	NaN	500.15	261.57	NaN	441.5	258.5	NaN	NaN	NaN	NaN
574.55	241.35	NaN	NaN	NaN	NaN	619.65	269.14	NaN	516.65	246.48	NaN	NaN	NaN	NaN	NaN	NaN	NaN
586.19	243.55	NaN	NaN	NaN	NaN	624.18	266.05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	531.24	237.52	NaN
595.26	247.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	546.57	239.06	NaN
603.89	251.09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	565.61	250.17	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	582.09	258.04	NaN
NaN	NaN	NaN	NaN	NaN	NaN	658.41	276.74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	596.02	263.47	NaN
NaN	NaN	NaN	503.48	245.85	NaN	665.07	283.22	NaN	NaN	NaN	NaN	528.78	249.04	NaN	609.85	271.37	NaN
NaN	NaN	NaN	513.53	243.93	NaN	670.32	288.1	NaN	NaN	NaN	NaN	552.86	243.7	NaN	622.45	281.88	NaN
NaN	NaN	NaN	519.98	242.95	NaN	675.43	292.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	527.58	243.35	NaN	679.95	296.79	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	533.15	244	NaN	685.19	295.56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	680.12	287.36	NaN	NaN	NaN	NaN	597.65	253.02	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	606.94	261.93	NaN	NaN	NaN	NaN
NaN	NaN	NaN	554.27	260.02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	615.22	268.62	NaN	540.29	246.72	NaN
NaN	NaN	NaN	561.1	264.46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	536.45	246.04	NaN
668.07	286.63	NaN	575.36	267.89	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	531.23	245.36	NaN
673.72	291.21	NaN	589.02	272.24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	528.26	244.76	NaN
677.87	287.21	NaN	601.84	276.45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	524.57	243.98	NaN
673.78	280.1	NaN	610.59	281.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	522.4	243.47	NaN
666.15	276.22	NaN	618.59	284.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	519.15	243	NaN
NaN	NaN	NaN	621.06	278.88	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	516.14	242.45	NaN
NaN	NaN	NaN	618.53	271.96	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	514.58	242.06	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	510.88	242.77	NaN
NaN	NaN	NaN	NaN	NaN	NaN	567.36	247.61	NaN	NaN	NaN	NaN	NaN	NaN	NaN	503.37	244.71	NaN
NaN	NaN	NaN	NaN	NaN	NaN	558	244.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	497.14	245.84	NaN
NaN	NaN	NaN	NaN	NaN	NaN	546.4	240.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	491.1	246.92	NaN
NaN	NaN	NaN	NaN	NaN	NaN	535.88	237.62	NaN	NaN	NaN	NaN	NaN	NaN	NaN	485.9	247.8	NaN
NaN	NaN	NaN	NaN	NaN	NaN	524.86	238.14	NaN	NaN	NaN	NaN	NaN	NaN	NaN	480.94	248.62	NaN
NaN	NaN	NaN	NaN	NaN	NaN	515.07	238.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	476.23	249.23	NaN
NaN	NaN	NaN	NaN	NaN	NaN	505.19	239.37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	471.54	249.96	NaN
NaN	NaN	NaN	NaN	NaN	NaN	495.84	240.04	NaN	NaN	NaN	NaN	NaN	NaN	NaN	468.12	250.53	NaN
NaN	NaN	NaN	NaN	NaN	NaN	486.2	241.49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	461.09	253.82	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	451.04	257.47	NaN
