X1	Y1	ProbId1	X2	Y2	ProbId2	
811.33	363.4	NaN	820.4	387.53	NaN
816.58	360.92	NaN	818.2	389.36	NaN
819.47	360.41	NaN	816.64	390.71	NaN
819.79	361.67	NaN	815.24	391.91	NaN
824.85	359.36	NaN	814.29	392.97	NaN
825.32	360.55	NaN	814.69	393.49	NaN
829.57	358.4	NaN	814.58	394.23	NaN
831.45	358.33	NaN	814.26	394.99	NaN
833.87	357.88	NaN	808.12	398.38	NaN
836.01	357.32	NaN	799.01	398.98	NaN
835.77	358.54	NaN	792.07	399.36	NaN
839.35	356.78	NaN	784.86	400	NaN
841.23	356.19	NaN	779.16	400.74	NaN
842.57	355.75	NaN	773.34	401.31	NaN
844.34	354.88	NaN	768	401.83	NaN
845.49	354.42	NaN	763.44	402.22	NaN
846.12	354.25	NaN	758.43	402.52	NaN
846.79	353.91	NaN	754.44	402.66	NaN
846.97	353.82	NaN	750.84	402.72	NaN
847.41	353.41	NaN	746.85	402.83	NaN
847.98	353.66	NaN	743.81	402.89	NaN
848.47	354.66	NaN	741.26	402.95	NaN
849.29	355.98	NaN	738.82	402.51	NaN
851.54	357.15	NaN	736.21	400.64	NaN
853.66	358.78	NaN	735.29	395.41	NaN
856.66	360.95	NaN	737.12	388.41	NaN
858.06	362.06	NaN	738.81	384.45	NaN
862.29	364.59	NaN	740.76	380.35	NaN
864.52	365.5	NaN	742.98	375.89	NaN
867.19	366.95	NaN	744.9	372.54	NaN
869.72	368.57	NaN	746.79	369.3	NaN
871.89	370.4	NaN	748.78	366.02	NaN
874.15	373.48	NaN	750.62	363	NaN
875.88	376.32	NaN	752.43	360.12	NaN
878.1	379.64	NaN	754.08	357.7	NaN
879.78	381.73	NaN	755.49	355.66	NaN
881.58	384.35	NaN	757.15	353.9	NaN
882.96	385.77	NaN	759.93	352.05	NaN
884.72	388.61	NaN	762.72	349.49	NaN
885.35	388.53	NaN	767.22	345.09	NaN
887.65	392.35	NaN	769.65	343.37	NaN
888.4	392.64	NaN	774.84	342.01	NaN
889.5	393.74	NaN	780.27	342.22	NaN
890.98	396.01	NaN	785.69	342.59	NaN
891.89	396.74	NaN	790.42	343.47	NaN
893.08	398.37	NaN	795.02	344.38	NaN
894	399.31	NaN	798.77	344.78	NaN
895.19	401.2	NaN	802.4	345.32	NaN
896.33	402.9	NaN	804.8	345.37	NaN
896.84	403.49	NaN	806	344.96	NaN
897.76	405.33	NaN	809.01	345.25	NaN
898.52	406.77	NaN	810.92	345.67	NaN
898.94	407.33	NaN	812.32	345.56	NaN
899.4	408.16	NaN	814.22	345.7	NaN
900.26	409.5	NaN	815.69	346.12	NaN
900.61	409.91	NaN	817.54	347.19	NaN
899.62	413.09	NaN	820.21	348.86	NaN
896.24	414.47	NaN	822.96	350.28	NaN
893.81	413.75	NaN	826.17	351.83	NaN
890.16	414.08	NaN	829.01	352.96	NaN
886.55	414.84	NaN	831.52	353.98	NaN
880.93	416.37	NaN	833.83	354.85	NaN
877.74	417.5	NaN	835.99	355.42	NaN
874.91	418.55	NaN	838.08	356.21	NaN
872.5	419.5	NaN	840.26	356.81	NaN
869.39	420.44	NaN	842.39	357.72	NaN
865.76	421.22	NaN	845.01	358.45	NaN
865.14	421.59	NaN	849.89	359.79	NaN
861.95	422.5	NaN	855.23	361.54	NaN
860.54	423.18	NaN	859	363.02	NaN
858.22	423.7	NaN	862.23	364.19	NaN
857.09	424.19	NaN	865.31	365.28	NaN
854.9	424.55	NaN	867.91	366.14	NaN
852.91	424.94	NaN	871.11	367.59	NaN
850.45	424.99	NaN	873.64	368.82	NaN
847.47	423.29	NaN	876.08	369.73	NaN
841.96	418.37	NaN	877.63	370.12	NaN
835.37	413.28	NaN	879.33	370.79	NaN
830	408.87	NaN	880.54	371.28	NaN
826.29	405.55	NaN	881.77	371.83	NaN
822.39	401.18	NaN	883.55	373.93	NaN
819.05	397.13	NaN	886.88	377.14	NaN
815.71	392.56	NaN	891.99	381.18	NaN
812.91	388.56	NaN	896.65	384.62	NaN
810.43	384.96	NaN	900.14	387.8	NaN
808.36	381.96	NaN	903.25	390.64	NaN
806.96	379.55	NaN	905.46	392.46	NaN
805.64	377.14	NaN	908.48	395.19	NaN
804.18	374.49	NaN	911.08	397.12	NaN
802.86	371.7	NaN	913.96	399.52	NaN
801.95	369.32	NaN	916.57	401.41	NaN
800.94	366.98	NaN	918.66	402.89	NaN
800.39	365.15	NaN	921.21	404.95	NaN
