X1	Y1	ProbId1	X2	Y2	ProbId2	
876.8	1051.1	NaN	1002	575.83	NaN
877.66	1054.6	NaN	1001.6	577.21	NaN
878.44	1057.9	NaN	1001.6	577.54	NaN
879.32	1061.1	NaN	1001.5	578.33	NaN
880.05	1063.9	NaN	1001.5	578.54	NaN
880.93	1067.3	NaN	1001.3	579.2	NaN
881.7	1070.3	NaN	1001.2	579.51	NaN
880.9	1075.2	NaN	1001.3	579.53	NaN
878.27	1075.8	NaN	1001.1	580.11	NaN
869.55	1072.5	NaN	1000.8	580.94	NaN
862.1	1068.6	NaN	1000.8	580.85	NaN
856.14	1065.7	NaN	1010	596.08	NaN
850.8	1063.1	NaN	1026.8	624.06	NaN
846.4	1061.1	NaN	1041.2	637.21	NaN
841.34	1059.1	NaN	1055.8	641.18	NaN
837.65	1057.5	NaN	1069	642.2	NaN
832.08	1048.4	NaN	1079.9	642.58	NaN
828.35	1033.1	NaN	1089.7	643.07	NaN
824.68	1018.7	NaN	1098	643.55	NaN
822.23	1006.4	NaN	1106	644.1	NaN
820.05	993.27	NaN	1113.2	644.68	NaN
818.43	983.3	NaN	1120.2	645.54	NaN
815.88	975.06	NaN	1126.3	646.32	NaN
808.02	973.96	NaN	1132.5	647.05	NaN
797.68	979.56	NaN	1137.6	647.64	NaN
787.56	986.46	NaN	1142.4	648.41	NaN
779.22	991.83	NaN	1149.5	651.04	NaN
771.17	996.52	NaN	1150.8	657.57	NaN
763.97	1000.6	NaN	1149.1	668.55	NaN
756.78	1004.3	NaN	1147.3	676.78	NaN
750.72	1007.3	NaN	1145.7	684.99	NaN
744.68	1010.2	NaN	1144.1	692.39	NaN
737.77	1013.3	NaN	1142.7	698.53	NaN
733.23	1015.2	NaN	1141.2	704.43	NaN
727.62	1017.8	NaN	1139.8	710.05	NaN
721.89	1018.1	NaN	1138.6	714.98	NaN
699.96	1011.5	NaN	1137.3	719.66	NaN
681.44	1001.7	NaN	1136.2	724.29	NaN
665.39	991.24	NaN	1135.2	728.14	NaN
650.23	981.36	NaN	1134.3	731.9	NaN
636.79	972.83	NaN	1133.5	735.32	NaN
624.09	965.25	NaN	1133.2	736.82	NaN
612.75	958.71	NaN	1131.8	741.74	NaN
602.07	952.83	NaN	1131.2	744.4	NaN
592.12	947.65	NaN	1130.5	747.56	NaN
582.36	942.62	NaN	1130	749.9	NaN
573.94	939.8	NaN	1130.2	750.62	NaN
558.81	963.94	NaN	1130.7	759.65	NaN
545.44	982.15	NaN	1130.2	772.03	NaN
531.08	994.96	NaN	1129	779.42	NaN
520.98	977.78	NaN	1127.3	786.9	NaN
514.28	955.65	NaN	1125.8	793.31	NaN
514.48	934.56	NaN	1124.3	798.93	NaN
517.25	917.61	NaN	1122.7	804.58	NaN
519.96	903.5	NaN	1121.5	809.19	NaN
521.93	892.84	NaN	1120.1	813.92	NaN
523.88	879.51	NaN	1118.9	817.84	NaN
525.44	867.98	NaN	1117.9	821.53	NaN
526.37	858.73	NaN	1116.9	825.06	NaN
502.8	837.27	NaN	1115.8	828.61	NaN
481.36	810.43	NaN	1115	831.56	NaN
460.06	794.62	NaN	1114.2	834.5	NaN
442.02	784.28	NaN	1113.5	837.11	NaN
428.13	775.17	NaN	1112.7	839.94	NaN
414.97	764.91	NaN	1112.3	841.89	NaN
405.13	756.46	NaN	1111.7	844.22	NaN
399.19	745.09	NaN	1111.5	845.93	NaN
398.21	733.04	NaN	1109.6	848.31	NaN
398.07	719.35	NaN	1102	855.9	NaN
397.63	709.27	NaN	1095.4	863.15	NaN
403.47	699.9	NaN	1089.2	869.94	NaN
420.6	693.87	NaN	1083.7	875.86	NaN
437.9	691.11	NaN	1078.9	880.86	NaN
453.21	689.97	NaN	1074.7	885.29	NaN
468.15	689.89	NaN	1070.3	889.77	NaN
480.75	690.13	NaN	1066.4	893.66	NaN
491.07	690.17	NaN	1063	897.01	NaN
501	689.86	NaN	1059.5	900.44	NaN
509.95	689.53	NaN	1056.2	903.65	NaN
518.64	688.74	NaN	1053.5	906.2	NaN
528.73	687.69	NaN	1050.8	908.65	NaN
536.17	686.78	NaN	1048.2	910.99	NaN
542.93	685.76	NaN	1045.7	913.3	NaN
549.7	684.68	NaN	1044.1	914.68	NaN
555.28	683.86	NaN	1032.3	918.97	NaN
560.65	683.03	NaN	1016.3	928.55	NaN
566.2	682.18	NaN	1003.3	937.88	NaN
579	660.88	NaN	991.91	945.83	NaN
589.85	625.92	NaN	982.36	952.25	NaN
587.31	592.24	NaN	972.52	958.43	NaN
584.46	565.47	NaN	964.16	963.5	NaN
582.71	542.62	NaN	956.24	968.31	NaN
581.77	521.68	NaN	949.28	972.28	NaN
581.27	503.88	NaN	942.4	976.28	NaN
581.16	487.39	NaN	936.22	979.76	NaN
581.27	472.43	NaN	930.42	982.93	NaN
582.12	456.89	NaN	924.93	985.98	NaN
592.11	433.87	NaN	921.17	987.97	NaN
603.12	410.02	NaN	916.73	990.38	NaN
614.71	390.8	NaN	912.3	992.73	NaN
627.61	376.62	NaN	908.06	994.98	NaN
640.87	369.2	NaN	904.39	996.96	NaN
653.36	364.07	NaN	900.76	998.73	NaN
665.46	359.22	NaN	897.21	1000.6	NaN
675.03	354.99	NaN	894.42	1002	NaN
683.43	351.03	NaN	891.58	1003.5	NaN
691.79	347.7	NaN	889.04	1004.8	NaN
703.2	353.34	NaN	886.17	1006.3	NaN
713.79	365.09	NaN	884.07	1007.4	NaN
722.16	376.08	NaN	881.76	1008.5	NaN
729.69	386.46	NaN	879.75	1009.5	NaN
735.76	395.02	NaN	877.95	1010.4	NaN
741.62	403.29	NaN	876.06	1011.4	NaN
744.68	413.11	NaN	874.34	1012.2	NaN
734.13	427.4	NaN	873.51	1012.6	NaN
720.72	442.47	NaN	872.46	1013.2	NaN
707.04	454.58	NaN	871.17	1013.9	NaN
694.19	465.01	NaN	870.35	1014.4	NaN
683.87	473.57	NaN	870.03	1014.9	NaN
673.88	482.3	NaN	869.33	1015.4	NaN
665.81	489.98	NaN	868.89	1016	NaN
657.89	497.84	NaN	865.92	1019.8	NaN
650.94	505.1	NaN	852.5	1035.1	NaN
635.43	512.49	NaN	840.46	1044.8	NaN
602.15	525.32	NaN	827.92	1052.4	NaN
573.81	533.16	NaN	817	1057.8	NaN
546.06	541.27	NaN	807.02	1062.1	NaN
524.1	548.82	NaN	797.7	1066	NaN
504.4	555.78	NaN	789.32	1069.3	NaN
486.97	561.9	NaN	781.94	1072.3	NaN
470.59	567.75	NaN	775.28	1074.9	NaN
455.36	573.2	NaN	768.32	1077.6	NaN
442.63	577.89	NaN	762.68	1079.8	NaN
430.68	582.14	NaN	757.16	1082.1	NaN
426.24	597.59	NaN	752.16	1084.3	NaN
429.28	616.4	NaN	747.81	1086.3	NaN
432.27	631.79	NaN	742.91	1088.5	NaN
434.73	645.09	NaN	737.75	1091.1	NaN
436.94	658.14	NaN	733.36	1089.5	NaN
438.46	668.34	NaN	724.02	1083.2	NaN
439.8	677.36	NaN	714.3	1076.6	NaN
440.81	686.08	NaN	706.83	1071.4	NaN
441.7	694.29	NaN	699.81	1066.6	NaN
442.39	702.38	NaN	694.19	1062.9	NaN
442.97	709.12	NaN	688.88	1059.8	NaN
443.85	715.75	NaN	683.93	1056.8	NaN
444.73	722.72	NaN	678.75	1053.8	NaN
445.28	728.33	NaN	674.21	1051.5	NaN
446.12	733.41	NaN	669.64	1048.9	NaN
446.87	738.86	NaN	665.55	1046.7	NaN
447.35	744.3	NaN	661.88	1044.9	NaN
442.67	757.61	NaN	658.43	1043	NaN
437.72	776.04	NaN	654.94	1041.1	NaN
431.81	792.44	NaN	652.23	1039.7	NaN
426.93	807.57	NaN	649.35	1038.2	NaN
423.5	820.54	NaN	646.69	1036.7	NaN
420.98	831.07	NaN	644.21	1035.6	NaN
420.19	838.57	NaN	633.86	1032.5	NaN
422.71	847.78	NaN	620.68	1026.2	NaN
426.96	855.61	NaN	609.6	1020.7	NaN
431.93	862.89	NaN	599.35	1015.6	NaN
435.56	867.87	NaN	590.08	1011	NaN
441.76	875.14	NaN	581.54	1007	NaN
446.23	881.18	NaN	573.84	1003.2	NaN
450.38	887.26	NaN	567.35	999.99	NaN
453.87	891.94	NaN	560.58	996.58	NaN
457.28	897.18	NaN	554.21	993.31	NaN
459.9	901.33	NaN	548.54	990.38	NaN
462.78	905.49	NaN	543.27	987.49	NaN
463.82	907.53	NaN	538.48	984.79	NaN
466.81	916.63	NaN	533.67	982.48	NaN
471.23	929.31	NaN	523.34	982.87	NaN
474.61	939.29	NaN	515.79	984.12	NaN
478.25	948.54	NaN	511.21	982.83	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
500.83	960.14	NaN	518.51	930.97	NaN
503.63	959.61	NaN	518.8	924.28	NaN
507.63	959.51	NaN	518.85	916.35	NaN
511.24	959.65	NaN	518.11	911.6	NaN
515.73	960.34	NaN	511.99	907.26	NaN
519.23	961.08	NaN	503.84	907.37	NaN
522.54	961.72	NaN	494.48	908.79	NaN
524.76	962.13	NaN	486.6	910.3	NaN
527.33	962.7	NaN	480.88	911.26	NaN
529.56	963.07	NaN	474.86	912.5	NaN
531.03	963.3	NaN	469.6	913.6	NaN
532.68	963.48	NaN	464.82	914.61	NaN
533.81	963.51	NaN	461.79	914.13	NaN
535.96	964.12	NaN	460.28	910.42	NaN
537.27	964.19	NaN	460.14	904.83	NaN
538.96	964.69	NaN	460.27	896.49	NaN
542.83	966.89	NaN	460.57	887.86	NaN
548.92	974.18	NaN	460.92	880.11	NaN
556.32	980.59	NaN	461.07	873.57	NaN
564.18	985.71	NaN	461.46	866.7	NaN
571	989.16	NaN	461.84	860.9	NaN
576.51	991.8	NaN	461.96	855.28	NaN
580.5	992.04	NaN	462.43	850.58	NaN
583.03	987.94	NaN	462.59	846	NaN
581.08	980.18	NaN	462.7	841.92	NaN
578.13	974.66	NaN	462.94	837.72	NaN
575.1	969.05	NaN	463.35	832.71	NaN
572.31	964.09	NaN	463.69	828.35	NaN
569.79	959.69	NaN	463.8	825.37	NaN
567.64	955.75	NaN	463.9	822.11	NaN
565.53	951.95	NaN	463.9	819.01	NaN
563.76	948.45	NaN	460.67	811.78	NaN
562.18	945.19	NaN	456.42	805.53	NaN
560.65	942.1	NaN	451.71	798.57	NaN
559.16	938.79	NaN	447.81	792.8	NaN
557.72	935.58	NaN	443.92	786.87	NaN
556.35	932.28	NaN	439.88	780.89	NaN
554.86	929.99	NaN	437.09	776.56	NaN
543.78	922.31	NaN	434.31	772.25	NaN
532.38	910.71	NaN	431.94	768.06	NaN
522.04	899.54	NaN	429.68	764.39	NaN
511.83	888.71	NaN	427.68	761.17	NaN
503.08	879.18	NaN	425.65	757.61	NaN
494.68	869.8	NaN	423.96	754.56	NaN
486.79	861	NaN	422.18	751.25	NaN
479.63	852.93	NaN	420.78	748.38	NaN
473.6	845.69	NaN	419.4	745.66	NaN
467.79	838.42	NaN	418.67	744.13	NaN
462.68	831.98	NaN	417.47	741.81	NaN
458.1	825.64	NaN	416.32	739.34	NaN
453.37	819.47	NaN	415.65	735.73	NaN
450.02	813.79	NaN	416.33	728.58	NaN
445.22	804.29	NaN	417.38	720.79	NaN
438.85	793.64	NaN	418.41	713.97	NaN
433.38	785.6	NaN	419.36	708.42	NaN
428.33	778.65	NaN	419.73	704.76	NaN
423.92	772.38	NaN	420.56	699.69	NaN
420.04	766.77	NaN	421.19	694.73	NaN
416.1	761.04	NaN	421.52	691.72	NaN
412.1	755.81	NaN	422.14	687.4	NaN
408.72	751.49	NaN	422.55	684.4	NaN
405.97	747.32	NaN	422.99	680.98	NaN
403.68	742.67	NaN	423.6	677.66	NaN
402.08	738.18	NaN	423.95	675.34	NaN
401.32	729.04	NaN	424.42	672.47	NaN
402.1	720.68	NaN	424.82	670.12	NaN
403.34	713.95	NaN	425.12	668.12	NaN
404.13	709.13	NaN	425.5	666.05	NaN
404.9	705.46	NaN	426.04	663.24	NaN
406.13	702.59	NaN	426.29	661.33	NaN
408.63	696.53	NaN	425.93	657.83	NaN
409.78	692.47	NaN	425.25	647.76	NaN
411.88	687.36	NaN	425.63	640.36	NaN
413.66	683.21	NaN	426.07	631.72	NaN
414.61	679.71	NaN	426.6	624.63	NaN
416.02	675.6	NaN	426.97	618.79	NaN
417.04	672.46	NaN	427.42	612.66	NaN
