X1	Y1	ProbId1	X2	Y2	ProbId2	
665.31	365.61	NaN	569.32	401.56	NaN
666.02	369.15	NaN	563.33	412.35	NaN
665.08	370.79	NaN	536.36	433.48	NaN
662.3	370.89	NaN	519.01	448.16	NaN
658.04	370.02	NaN	501.86	467.46	NaN
652.68	371.23	NaN	497.99	480.02	NaN
648.18	372.79	NaN	501.36	480.43	NaN
645.2	373.81	NaN	509.23	466.83	NaN
641.76	375.03	NaN	515.05	455.77	NaN
637.84	376.47	NaN	518.36	446.97	NaN
634.53	377.88	NaN	520.59	443.16	NaN
631.5	379.29	NaN	523.46	439.62	NaN
628.85	380.52	NaN	527.12	435.83	NaN
626.14	381.52	NaN	530.16	432.87	NaN
622.95	384.65	NaN	532.88	430.55	NaN
617.9	390.48	NaN	535.75	427.86	NaN
612.09	396.23	NaN	538.15	425.87	NaN
606.85	401.44	NaN	540.84	423.68	NaN
601.8	406.61	NaN	543.18	421.88	NaN
597.85	410.75	NaN	545.81	419.71	NaN
593.79	414.95	NaN	547.24	418.52	NaN
589.76	419.2	NaN	549.62	416.7	NaN
585.95	423.1	NaN	550.68	415.87	NaN
582.66	426.62	NaN	552.25	414.81	NaN
579.42	429.82	NaN	553.05	414.28	NaN
576.35	433.07	NaN	554.92	413.05	NaN
573.77	435.55	NaN	562.98	407.6	NaN
571.43	437.71	NaN	568.99	403.92	NaN
568.97	439.9	NaN	577.64	398.08	NaN
566.41	441.95	NaN	585.17	392.65	NaN
564.63	443.3	NaN	591.44	388.38	NaN
561.18	445.15	NaN	597.36	384.45	NaN
558.24	443.37	NaN	602.66	380.93	NaN
557.31	437.73	NaN	607.79	377.67	NaN
557.85	431.58	NaN	612.23	375.22	NaN
558.56	425.23	NaN	616.66	372.96	NaN
559.07	419.6	NaN	620.48	371.17	NaN
560.55	413.61	NaN	624.5	369.35	NaN
562.29	410.16	NaN	628.15	367.81	NaN
564.65	406.57	NaN	631.54	366.29	NaN
567.77	402.9	NaN	634.34	365.19	NaN
570.51	400.37	NaN	637.45	363.87	NaN
575.43	397.73	NaN	644.33	362.78	NaN
579.76	396.32	NaN	661.38	357.78	NaN
583.91	394.35	NaN	679.7	349.95	NaN
588.17	392.12	NaN	694.86	345.02	NaN
591.1	390.72	NaN	707.23	342.6	NaN
595.2	388.4	NaN	719.01	340.67	NaN
597.74	387.23	NaN	729.01	339.33	NaN
600.84	385.41	NaN	738.06	338.32	NaN
604.86	383.39	NaN	744.75	337.81	NaN
610.17	381.18	NaN	752.35	337.32	NaN
616.78	377.11	NaN	758.86	337.02	NaN
622.44	373.78	NaN	765.13	336.84	NaN
627.53	371.01	NaN	771.15	336.75	NaN
632.1	368.53	NaN	776.15	336.75	NaN
637.49	365.13	NaN	780.75	336.85	NaN
644.32	361.63	NaN	785.5	336.92	NaN
651.73	358.42	NaN	787.3	337.65	NaN
658.08	355.74	NaN	786.63	342.78	NaN
665.47	353.45	NaN	789.9	347.32	NaN
672.31	352.13	NaN	789.27	345.43	NaN
678.93	350.56	NaN	782.21	339.67	NaN
685.38	348.44	NaN	776.36	338.13	NaN
691.27	346.54	NaN	768.59	339.11	NaN
696.33	345.15	NaN	757.39	341.51	NaN
701.93	343.9	NaN	746.72	342.94	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
714.02	341.45	NaN	685.33	349.84	NaN
716.84	340.93	NaN	671.59	349.38	NaN
721.01	340.26	NaN	659.82	352.33	NaN
725.8	342.51	NaN	654.73	354.87	NaN
726.75	354.8	NaN	647.4	358.59	NaN
718.53	365.3	NaN	644.55	362.09	NaN
706.43	372.74	NaN	634.82	366.66	NaN
694.83	378.93	NaN	628.56	370.76	NaN
685.55	384.34	NaN	621.05	376.65	NaN
676.48	389.53	NaN	614.57	380.08	NaN
670.43	392.86	NaN	607.49	382.34	NaN
663.36	396.38	NaN	605	384.13	NaN
657.68	399.15	NaN	601.85	385.9	NaN
651.64	402.02	NaN	600.11	387.2	NaN
647.75	404	NaN	597.65	388.78	NaN
642.86	406.52	NaN	596.67	389.83	NaN
638.81	408.7	NaN	595.27	390.97	NaN
634.11	412.43	NaN	594.66	391.95	NaN
624.43	419.34	NaN	593.79	392.85	NaN
615.73	422.83	NaN	589.4	394.85	NaN
607.26	425.76	NaN	581.12	398.55	NaN
600.04	427.88	NaN	574.64	401.08	NaN
592.73	428.89	NaN	563.51	406.94	NaN
586.5	429.58	NaN	554.68	413.44	NaN
580.89	429.56	NaN	548.41	417.76	NaN
574.4	429.48	NaN	541.02	423.5	NaN
570.19	429.43	NaN	537.14	434.52	NaN
565.86	429.62	NaN	541.36	442.52	NaN
561.43	430.22	NaN	551.74	447.99	NaN
559.13	430.69	NaN	562.88	448.55	NaN
555.78	430.91	NaN	569.91	447.74	NaN
552.72	431.32	NaN	575.97	446.84	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
530.63	436.69	NaN	568.57	435.34	NaN
528.83	440.76	NaN	567.06	433.3	NaN
527.51	444.33	NaN	565.92	431.87	NaN
526.74	447.86	NaN	564.89	430.94	NaN
526.26	451.51	NaN	564.35	430.41	NaN
526.06	453.59	NaN	561.72	425.32	NaN
525.51	458.22	NaN	562.64	422.31	NaN
526.3	459.78	NaN	562.24	419.49	NaN
531.33	456.01	NaN	558.25	417.67	NaN
533.99	451.13	NaN	554.21	418.07	NaN
536.76	445.47	NaN	551.17	419.68	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
576.22	398.05	NaN	531.97	435.94	NaN
579.59	394.46	NaN	530.85	436.84	NaN
582.95	393.17	NaN	530.49	437.49	NaN
587.96	391.67	NaN	529.67	438.37	NaN
593.28	390.35	NaN	528.85	439.8	NaN
596.94	389.3	NaN	528.95	439.85	NaN
601.08	389.18	NaN	528.68	441.14	NaN
604.86	388.58	NaN	527.95	441.99	NaN
608.44	392.59	NaN	527.4	442.71	NaN
606.86	397.3	NaN	527.75	442.28	NaN
601.44	402.89	NaN	527.6	442.48	NaN
595.38	406.73	NaN	526.98	442.67	NaN
589.34	410.09	NaN	526.89	442.73	NaN
584.17	412.88	NaN	526.38	442.99	NaN
578.8	415.72	NaN	525.49	443.54	NaN
574.35	418.09	NaN	526.14	443.14	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
549.15	419.68	NaN	528.82	453.16	NaN
550.25	416.94	NaN	528.58	454.51	NaN
550.91	416.98	NaN	528.31	452.08	NaN
551.9	415.75	NaN	529.43	449.07	NaN
552.75	415.1	NaN	530.2	446.15	NaN
553.44	414.52	NaN	530.64	444.58	NaN
553.98	413.89	NaN	530.55	442.82	NaN
554.23	413.92	NaN	531.16	442.62	NaN
555.11	412.79	NaN	531.41	441.17	NaN
555.27	413.08	NaN	532.32	438.4	NaN
555.73	412.59	NaN	532.8	437.03	NaN
559.26	411.73	NaN	533.16	438.7	NaN
564.88	414.88	NaN	532.46	438.58	NaN
567.05	416.91	NaN	533.07	436.45	NaN
567.48	419.54	NaN	533.67	436.63	NaN
567.3	421.77	NaN	534.58	435.92	NaN
565.04	422.99	NaN	535.21	435.44	NaN
563.58	424.66	NaN	535.37	435.76	NaN
561.7	427.43	NaN	536.15	434.81	NaN
560.33	430.11	NaN	536.31	435.18	NaN
558.65	432.8	NaN	536.62	435.16	NaN
557.31	435.07	NaN	537.15	434.73	NaN
556.16	437.12	NaN	537.86	433.56	NaN
554.78	439.15	NaN	537.42	436.76	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
532.39	472.79	NaN	539	439.21	NaN
530.03	475.51	NaN	538.98	439.17	NaN
528.56	477.39	NaN	539.13	438.86	NaN
526.32	479.91	NaN	539.28	438.42	NaN
