X1	Y1	ProbId1	X2	Y2	ProbId2	
665.31	365.61	1	569.32	401.56	1
666.02	369.15	1	563.33	412.35	1
665.08	370.79	1	536.36	433.48	1
662.3	370.89	1	519.01	448.16	1
658.04	370.02	1	501.86	467.46	1
652.68	371.23	1	497.99	480.02	1
648.18	372.79	1	501.36	480.43	1
645.2	373.81	1	509.23	466.83	1
641.76	375.03	1	515.05	455.77	1
637.84	376.47	1	518.36	446.97	1
634.53	377.88	1	520.59	443.16	1
631.5	379.29	1	523.46	439.62	1
628.85	380.52	1	527.12	435.83	1
626.14	381.52	1	530.16	432.87	1
622.95	384.65	1	532.88	430.55	1
617.9	390.48	1	535.75	427.86	1
612.09	396.23	1	538.15	425.87	1
606.85	401.44	1	540.84	423.68	1
601.8	406.61	1	543.18	421.88	1
597.85	410.75	1	545.81	419.71	1
593.79	414.95	1	547.24	418.52	1
589.76	419.2	1	549.62	416.7	1
585.95	423.1	1	550.68	415.87	1
582.66	426.62	1	552.25	414.81	1
579.42	429.82	1	553.05	414.28	1
576.35	433.07	1	554.92	413.05	1
573.77	435.55	1	562.98	407.6	1
571.43	437.71	1	568.99	403.92	1
568.97	439.9	1	577.64	398.08	1
566.41	441.95	1	585.17	392.65	1
564.63	443.3	1	591.44	388.38	1
561.18	445.15	1	597.36	384.45	1
558.24	443.37	1	602.66	380.93	1
557.31	437.73	1	607.79	377.67	1
557.85	431.58	1	612.23	375.22	1
558.56	425.23	1	616.66	372.96	1
559.07	419.6	1	620.48	371.17	1
560.55	413.61	1	624.5	369.35	1
562.29	410.16	1	628.15	367.81	1
564.65	406.57	1	631.54	366.29	1
567.77	402.9	1	634.34	365.19	1
570.51	400.37	1	637.45	363.87	1
575.43	397.73	1	644.33	362.78	1
579.76	396.32	1	661.38	357.78	1
583.91	394.35	1	679.7	349.95	1
588.17	392.12	1	694.86	345.02	1
591.1	390.72	1	707.23	342.6	1
595.2	388.4	1	719.01	340.67	1
597.74	387.23	1	729.01	339.33	1
600.84	385.41	1	738.06	338.32	1
604.86	383.39	1	744.75	337.81	1
610.17	381.18	1	752.35	337.32	1
616.78	377.11	1	758.86	337.02	1
622.44	373.78	1	765.13	336.84	1
627.53	371.01	1	771.15	336.75	1
632.1	368.53	1	776.15	336.75	1
637.49	365.13	1	780.75	336.85	1
644.32	361.63	1	785.5	336.92	1
651.73	358.42	1	787.3	337.65	1
658.08	355.74	1	786.63	342.78	1
665.47	353.45	1	789.9	347.32	1
672.31	352.13	1	789.27	345.43	1
678.93	350.56	1	782.21	339.67	1
685.38	348.44	1	776.36	338.13	1
