X1	Y1	ProbId1	X2	Y2	ProbId2	
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
864.14	900.17	NaN	849.11	947.09	NaN
864.14	900.17	NaN	849.11	947.09	NaN
874.85	885.67	NaN	860.25	942.63	NaN
874.85	885.67	NaN	860.25	942.63	NaN
874.85	885.67	NaN	860.25	942.63	NaN
897.39	856.39	NaN	874.54	936.3	NaN
905.41	847.89	NaN	878.56	934.67	NaN
911.72	840.83	NaN	883.12	930.17	NaN
919.84	832.48	NaN	889.66	921.27	NaN
924.72	826.96	NaN	895.61	913.44	NaN
931.11	820.45	NaN	900.58	906.21	NaN
936.5	814.91	NaN	905.52	898.74	NaN
941.9	809.39	NaN	909.58	892.35	NaN
948.4	802.85	NaN	913.75	885.67	NaN
952.79	797.98	NaN	917.16	880.16	NaN
956.4	794.24	NaN	920.71	874.29	NaN
961.73	788.91	NaN	923.77	869.17	NaN
965.97	784.62	NaN	926.98	863.88	NaN
969.57	780.97	NaN	929.84	859.02	NaN
972.63	777.82	NaN	932.51	854.63	NaN
976.15	774.27	NaN	935.36	850.01	NaN
980.34	770.02	NaN	937.68	846.14	NaN
983.57	766.34	NaN	939.92	842.53	NaN
985.8	763.93	NaN	942.26	838.66	NaN
988.65	760.95	NaN	944.31	835.26	NaN
992.27	756.97	NaN	946.46	831.83	NaN
995.4	753.37	NaN	948.62	828.22	NaN
996.8	751.87	NaN	950.58	825.17	NaN
998.95	749.32	NaN	952.34	822.2	NaN
1002.5	745.32	NaN	954.27	819.19	NaN
1003.8	743.83	NaN	955.87	816.53	NaN
1005.9	741.38	NaN	957.58	813.86	NaN
1009.2	737.65	NaN	959.13	811.46	NaN
1010.1	736.66	NaN	960.6	809.03	NaN
1013.3	733.06	NaN	962.02	806.92	NaN
1015.1	730.89	NaN	963.53	804.66	NaN
1015.9	729.88	NaN	964.85	802.58	NaN
1018.4	726.92	NaN	966.39	800.39	NaN
1020.3	724.71	NaN	967.45	798.68	NaN
1020.9	723.88	NaN	968.77	796.68	NaN
1022.6	721.75	NaN	969.89	795	NaN
1025	718.85	NaN	971.32	792.86	NaN
1026.2	717.33	NaN	972.15	791.55	NaN
1027.9	715.19	NaN	973.57	789.49	NaN
1028.2	714.56	NaN	974.2	788.55	NaN
1029.3	713.01	NaN	975.32	786.82	NaN
1031.3	710.41	NaN	977.65	785.53	NaN
1031.8	709.62	NaN	983.55	782.86	NaN
1034.2	706.63	NaN	989.26	780.23	NaN
1034.3	706.1	NaN	994.25	778	NaN
1036.2	703.73	NaN	999	775.99	NaN
1036.3	703.21	NaN	1003.3	774.08	NaN
1037.8	701.03	NaN	1008.6	767.95	NaN
1038	700.14	NaN	1012.5	761.43	NaN
1038.5	699.26	NaN	1016	755.1	NaN
1039.2	697.92	NaN	1019.1	749.35	NaN
1039	697.71	NaN	1022	743.65	NaN
1039.8	696.29	NaN	1024.6	738.49	NaN
1039.9	695.63	NaN	1026.9	733.53	NaN
1040.4	694.57	NaN	1029	729.21	NaN
1040.7	693.69	NaN	1031.1	724.8	NaN
1041.4	692.25	NaN	1033.2	720.67	NaN
1041.5	691.67	NaN	1035.6	717.1	NaN
1042.2	690.17	NaN	1037.5	714.36	NaN
1042.1	689.75	NaN	1039.7	711.17	NaN
1042.7	688.46	NaN	1041.3	708.69	NaN
1043	687.56	NaN	1042.9	706.39	NaN
1043.1	686.82	NaN	1044.6	703.68	NaN
1043.7	685.36	NaN	1046.1	701.57	NaN
1043.7	684.56	NaN	1049.9	698.88	NaN
1043.9	683.52	NaN	1053.3	696.57	NaN
1043.8	683.07	NaN	1056.1	694.63	NaN
1044.1	681.99	NaN	1059.2	692.57	NaN
1044.4	681.16	NaN	1061.5	691	NaN
1044.3	680.72	NaN	1063.9	689.3	NaN
1044.6	679.7	NaN	1065.9	687.95	NaN
1044.9	678.93	NaN	1068.3	686.29	NaN
1045.3	677.65	NaN	1070.1	684.91	NaN
1045.3	677.25	NaN	1070.8	684.27	NaN
1045.4	676.84	NaN	1072.2	683.07	NaN
1045.6	676.14	NaN	1073.2	682.08	NaN
