X1	Y1	ProbId1	X2	Y2	ProbId2	
896.6	568.69	NaN	951.31	541.79	NaN
896.43	568.6	NaN	951.15	541.62	NaN
896.2	568.5	NaN	950.89	541.58	NaN
896.21	568.47	NaN	951.16	542.08	NaN
895.5	568.18	NaN	951.49	542.47	NaN
895.83	568.38	NaN	951.46	542.44	NaN
895.43	568.19	NaN	951.27	542.34	NaN
895.24	568.27	NaN	951.08	542.24	NaN
895.3	568.43	NaN	950.86	542.09	NaN
895.64	568.66	NaN	950.32	541.65	NaN
895.08	568.46	NaN	950.36	541.92	NaN
894.93	568.43	NaN	950.55	541.97	NaN
894.78	568.35	NaN	950.77	542.12	NaN
895.25	568.52	NaN	951.08	542.45	NaN
894.67	568.21	NaN	951.36	542.73	NaN
893.82	567.74	NaN	951.44	542.76	NaN
894.73	568	NaN	951.74	543.08	NaN
894.73	567.94	NaN	951.74	543.05	NaN
894.81	568.09	NaN	951.71	543.12	NaN
894.78	568.14	NaN	951.61	543.13	NaN
894.22	567.99	NaN	951.7	543.38	NaN
894.3	568.03	NaN	951.97	543.74	NaN
894.73	568.14	NaN	952.44	544.43	NaN
894.6	567.98	NaN	951.93	543.76	NaN
893.81	567.52	NaN	952.01	543.74	NaN
894.54	567.74	NaN	951.81	543.44	NaN
893.86	567.26	NaN	951.6	543.11	NaN
894.08	567.3	NaN	951.62	543.17	NaN
893.85	567.11	NaN	951.75	543.47	NaN
893.65	566.85	NaN	951.82	543.47	NaN
893.64	566.81	NaN	951.81	543.45	NaN
893.52	566.78	NaN	951.62	543.28	NaN
892.77	566.51	NaN	951.39	543.09	NaN
892.45	566.42	NaN	951.15	543.05	NaN
893.06	566.79	NaN	950.85	542.82	NaN
892.65	566.73	NaN	950.99	543.14	NaN
892.64	566.81	NaN	951	543.19	NaN
892.71	566.9	NaN	951.39	543.71	NaN
892.46	566.73	NaN	951.33	543.71	NaN
892.66	566.74	NaN	951.29	543.69	NaN
892.59	566.67	NaN	950.77	543.19	NaN
892.51	566.55	NaN	951.12	543.04	NaN
892.27	566.41	NaN	951.48	543.3	NaN
892.56	566.46	NaN	951.74	543.55	NaN
892.49	566.35	NaN	952.03	543.78	NaN
892.68	566.42	NaN	952.03	543.75	NaN
892.65	566.37	NaN	952.11	543.8	NaN
892.65	566.37	NaN	952.15	543.81	NaN
892.75	566.32	NaN	952	543.64	NaN
893.08	566.45	NaN	952.15	543.81	NaN
893.02	566.38	NaN	952.27	543.9	NaN
892.8	566.29	NaN	952.35	543.99	NaN
892.62	566.13	NaN	952.7	544.41	NaN
892.52	565.94	NaN	952.77	544.45	NaN
892.82	565.88	NaN	952.85	544.6	NaN
892.37	565.5	NaN	952.79	544.54	NaN
892.63	565.41	NaN	952.63	544.42	NaN
892.8	565.31	NaN	952.44	544.24	NaN
893.04	565.31	NaN	952.37	544.21	NaN
892.93	565.2	NaN	952.22	544.16	NaN
892.7	565	NaN	951.97	544.05	NaN
892.28	564.85	NaN	952.15	544.24	NaN
892	564.62	NaN	952.24	544.41	NaN
891.49	564.47	NaN	952.17	544.39	NaN
892.02	564.65	NaN	952.15	544.45	NaN
891.7	564.5	NaN	952.08	544.38	NaN
891.75	564.58	NaN	952.13	544.59	NaN
891.45	564.51	NaN	952.2	544.96	NaN
891.62	564.63	NaN	952.06	545.01	NaN
891.17	564.43	NaN	951.97	544.97	NaN
891.4	564.52	NaN	952.06	544.9	NaN
891.58	564.44	NaN	952.71	545.25	NaN
891.61	564.26	NaN	953.16	545.54	NaN
891.93	564.2	NaN	952.99	545.14	NaN
891.91	563.94	NaN	952.9	544.9	NaN
892.24	563.9	NaN	953.51	545.47	NaN
892.42	563.79	NaN	953.45	545.33	NaN
892.33	563.74	NaN	953.65	545.52	NaN
892.39	563.74	NaN	953.81	545.74	NaN
892.55	563.81	NaN	953.9	545.83	NaN
892.41	563.8	NaN	953.81	545.74	NaN
892.53	563.84	NaN	953.88	545.85	NaN
892.76	563.82	NaN	953.81	545.74	NaN
892.69	563.71	NaN	953.85	545.64	NaN
892.13	563.4	NaN	953.7	545.47	NaN
892.56	563.42	NaN	954.23	545.81	NaN
892.45	563.4	NaN	954.32	545.92	NaN
892.46	563.07	NaN	954.38	545.74	NaN
892.61	562.91	NaN	954.17	545.27	NaN
892.95	563.67	NaN	954.94	546.39	NaN
892.58	563.33	NaN	954.41	545.72	NaN
890.93	563.58	NaN	953.61	546.31	NaN
889.43	563.57	NaN	951.74	546	NaN
888.27	562.8	NaN	950.35	545.21	NaN
887.95	562.45	NaN	951.49	546.89	NaN
889.05	562.63	NaN	953.95	549.4	NaN
890.44	563.44	NaN	955.49	551.41	NaN
889.68	563.34	NaN	956.4	553.63	NaN
889.74	563.58	NaN	956.34	554.56	NaN
889.38	563.64	NaN	956.83	555.86	NaN
889.24	563.76	NaN	957.55	557.39	NaN
889.06	563.4	NaN	958.11	558.1	NaN
889.13	563.16	NaN	958.68	559.36	NaN
888.82	562.98	NaN	959.22	560.51	NaN
890.18	564.21	NaN	959.95	561.97	NaN
889.98	564.7	NaN	960.59	563.51	NaN
890.51	565.3	NaN	960.59	564.17	NaN
890.25	564.75	NaN	960.83	564.58	NaN
890.34	564.64	NaN	961.37	565.57	NaN
891.07	565.09	NaN	961.79	566.56	NaN
890.86	565.44	NaN	961.84	567.17	NaN
890.27	565.62	NaN	962.07	568.57	NaN
890.76	566.1	NaN	962.07	568.98	NaN
890.27	565.62	NaN	962.04	568.51	NaN
889.66	565.09	NaN	962.68	569.34	NaN
889.75	565.26	NaN	962.9	569.54	NaN
890.32	565.93	NaN	962.97	569.76	NaN
890.93	566.58	NaN	962.93	569.93	NaN
890.15	566.29	NaN	963.01	570.74	NaN
891.24	567.13	NaN	963.15	571.19	NaN
890.07	566.42	NaN	963.14	571.1	NaN
890.13	566.46	NaN	963.23	571.37	NaN
890.23	566.7	NaN	963.34	571.61	NaN
891.04	567.69	NaN	963.4	572.09	NaN
891.07	568.13	NaN	963.29	572.4	NaN
890.19	567.7	NaN	964.3	573.49	NaN
891.45	568.45	NaN	966.59	576.06	NaN
892.41	569.05	NaN	968.66	578.27	NaN
892.38	569.21	NaN	970.27	580.06	NaN
893.13	569.78	NaN	971.72	581.76	NaN
893.81	570.39	NaN	973.49	583.97	NaN
894.91	571.05	NaN	975	585.73	NaN
895.01	571.12	NaN	976.3	586.97	NaN
896.52	572.04	NaN	977.46	588.14	NaN
896.39	572.69	NaN	978.65	589.31	NaN
900.21	575.91	NaN	979.88	590.65	NaN
903.33	578.49	NaN	981.44	592.53	NaN
905.5	580.27	NaN	982.15	593.26	NaN
908.17	582.61	NaN	987.18	596.64	NaN
910.47	584.6	NaN	992.66	602.36	NaN
912.87	586.65	NaN	997.78	607.53	NaN
914.55	588.22	NaN	1002.4	612.49	NaN
916.48	590	NaN	1006.6	617.04	NaN
920.62	594.89	NaN	1010.2	621.28	NaN
927	600.48	NaN	1013.6	624.94	NaN
932.5	606.2	NaN	1017	629.04	NaN
938.08	612.2	NaN	1019.7	632.1	NaN
943.19	617.64	NaN	1023.1	636.27	NaN
946.77	621.6	NaN	1025.4	638.83	NaN
950.84	626.14	NaN	1028.4	642.57	NaN
954.61	630.58	NaN	1030.3	645.06	NaN
957.81	634.3	NaN	1032.7	648.01	NaN
962.73	638.49	NaN	1034.9	651.23	NaN
970.47	645.98	NaN	1038.2	657.17	NaN
978.38	653.44	NaN	1042.6	663.14	NaN
985.07	659.87	NaN	1046.8	668.94	NaN
991.47	666.09	NaN	1050.8	674.65	NaN
997.14	671.68	NaN	1054.3	679.44	NaN
1002.4	676.77	NaN	1057.6	684.16	NaN
1007.7	681.84	NaN	1060.9	688.57	NaN
1013.2	688.32	NaN	1063.9	692.7	NaN
1018.3	696.98	NaN	1066.7	696.51	NaN
1023.5	704.18	NaN	1069.5	700.39	NaN
1027.8	710.4	NaN	1072.1	703.85	NaN
1032.6	717.68	NaN	1074.3	706.77	NaN
1037.3	725	NaN	1076.3	709.43	NaN
1040.2	729.37	NaN	1078.7	712.65	NaN
1044.2	736.1	NaN	1080.8	715.34	NaN
1045.8	743.13	NaN	1082.5	717.61	NaN
1049.3	752.38	NaN	1084.1	719.9	NaN
1052.1	759.94	NaN	1086	722.44	NaN
1054.6	767.12	NaN	1086.6	726.22	NaN
1056.8	773.71	NaN	1086.7	731.48	NaN
1058.8	779.84	NaN	1086.8	737.12	NaN
1060.5	785.9	NaN	1086.9	742.72	NaN
1062	791.31	NaN	1086.9	747.44	NaN
1063.4	796.81	NaN	1087	751.95	NaN
1063.5	801.72	NaN	1087	755.69	NaN
1062.5	809.11	NaN	1087	759.39	NaN
1061.7	814.73	NaN	1087.1	763.35	NaN
1060.5	820.64	NaN	1087.2	766.57	NaN
1059.4	826.03	NaN	1087.5	769.9	NaN
1058.3	830.58	NaN	1087.7	773.29	NaN
1057.2	834.75	NaN	1087.7	775.96	NaN
1056	838.87	NaN	1087.8	778.54	NaN
1055	842.75	NaN	1087.9	781.41	NaN
1053.9	846.69	NaN	1087.9	783.57	NaN
1052.9	850.34	NaN	1088	785.73	NaN
1052.3	852.95	NaN	1088.2	788.04	NaN
1051.5	856.17	NaN	1087.7	789.9	NaN
1050.7	859.52	NaN	1087	792.8	NaN
1050	862.23	NaN	1086.5	794.96	NaN
1049.5	864.4	NaN	1085.8	797.2	NaN
1048.6	867.74	NaN	1085.1	799.28	NaN
1048.4	868.58	NaN	1084.4	801.32	NaN
1048	869.63	NaN	1083.8	802.73	NaN
1047.7	870.65	NaN	1083	804.81	NaN
1047.5	871.44	NaN	1082.5	806.13	NaN
1047.1	872.56	NaN	1081.8	807.55	NaN
1047.1	872.98	NaN	1081.2	808.98	NaN
1046.7	874.57	NaN	1080.9	809.94	NaN
1046.7	874.52	NaN	1080.8	810.78	NaN
1046.8	874.48	NaN	1080.5	811.86	NaN
1046.4	875.23	NaN	1080.4	812.45	NaN
1046.4	875.4	NaN	1080.1	813.44	NaN
1046.4	875.46	NaN	1079.9	814.32	NaN
1046.2	876	NaN	1079.6	815.13	NaN
1046.2	876.11	NaN	1079.5	815.76	NaN
1046	876.97	NaN	1079.2	816.8	NaN
1046	877.14	NaN	1079.1	817.32	NaN
1046	877.38	NaN	1079.1	817.68	NaN
1045.9	877.81	NaN	1078.9	818.58	NaN
1046	877.86	NaN	1078.8	819.13	NaN
1046	877.94	NaN	1078.8	819.35	NaN
1046.1	877.44	NaN	1078.4	820.36	NaN
1046.2	877.4	NaN	1078.3	820.81	NaN
1046.2	877.48	NaN	1078.3	821.24	NaN
1046.2	877.54	NaN	1078.2	821.62	NaN
1046.4	877.21	NaN	1078.2	821.91	NaN
1046.3	877.57	NaN	1078.2	822.1	NaN
1046.4	877.64	NaN	1078	822.68	NaN
1046.6	877.25	NaN	1078	822.86	NaN
1046.9	876.97	NaN	1078	823.04	NaN
1047.2	876.48	NaN	1078	823.3	NaN
1047.3	876.31	NaN	1078.1	823.28	NaN
1047.2	876.74	NaN	1078	823.58	NaN
1047.3	876.63	NaN	1078	823.71	NaN
1047.5	876.35	NaN	1077.9	823.86	NaN
1047.8	876	NaN	1077.9	823.89	NaN
1048	875.6	NaN	1077.8	824.04	NaN
1048.2	875.25	NaN	1077.7	824.35	NaN
