X1	Y1	ProbId1	X2	Y2	ProbId2	
1059.1	893.55	NaN	1006.1	958.32	NaN
1063.2	885.76	NaN	1011.8	954.12	NaN
1067	878.19	NaN	1016.1	949.64	NaN
1070.4	870.77	NaN	1020.2	944.7	NaN
1073.4	863.37	NaN	1024.3	939.65	NaN
1076.1	856.03	NaN	1027.5	935.12	NaN
1076.2	848.67	NaN	1031.1	929.88	NaN
1075.6	840.37	NaN	1034.3	925.34	NaN
1074.8	832.72	NaN	1037.3	920.8	NaN
1073.8	825.21	NaN	1039.8	916.78	NaN
1072.8	818.51	NaN	1042.7	912.4	NaN
1071.7	811.99	NaN	1044.9	908.63	NaN
1070.5	805.72	NaN	1047	905.17	NaN
1069.4	800.34	NaN	1049.1	901.23	NaN
1065.6	790.32	NaN	1051.3	897.15	NaN
1063	779.46	NaN	1052.9	893.61	NaN
1059.7	767.47	NaN	1054.6	890.14	NaN
1056.5	756.52	NaN	1056.5	886.46	NaN
1053.7	746.5	NaN	1058.1	883.29	NaN
1051	736.91	NaN	1059.9	879.82	NaN
1048.4	728.02	NaN	1061.5	876.66	NaN
1045.7	718.93	NaN	1062.7	873.73	NaN
1043.1	710.63	NaN	1063.9	869.87	NaN
1040.8	702.99	NaN	1065.2	866.03	NaN
1038.4	695.23	NaN	1066.5	862.28	NaN
1036.1	687.74	NaN	1067.6	858.96	NaN
1033.9	680.88	NaN	1068.8	855.41	NaN
1032.1	675.77	NaN	1069.7	852.42	NaN
1030.5	671	NaN	1070.7	848.8	NaN
1029.1	667.24	NaN	1071.3	845.37	NaN
1027.5	662.8	NaN	1071.8	842.43	NaN
1026	658.73	NaN	1072.7	837.88	NaN
1024.4	654.81	NaN	1073.5	834.09	NaN
1023	651.68	NaN	1074.2	830.7	NaN
1021.3	647.69	NaN	1074.9	827.47	NaN
1019.7	644.77	NaN	1075.7	823.74	NaN
1018.3	641.46	NaN	1076.2	819.97	NaN
1016.8	638.14	NaN	1076.5	815.91	NaN
1015.4	635.62	NaN	1076.8	811.99	NaN
1014.2	633.35	NaN	1077.2	808.59	NaN
1013	631.02	NaN	1077.5	804.66	NaN
1012.1	628.97	NaN	1077.6	800.94	NaN
1010.9	626.37	NaN	1077.4	797.09	NaN
1009.7	624.08	NaN	1076.9	790.23	NaN
1008.5	622.32	NaN	1076.9	785.05	NaN
1007.3	620.71	NaN	1076.7	779.11	NaN
1006.2	619.06	NaN	1076.4	773.82	NaN
1005	617.54	NaN	1076.1	768.71	NaN
1003.9	615.81	NaN	1075.6	763.55	NaN
1001.6	611.63	NaN	1075.2	758.28	NaN
999.94	606.86	NaN	1074.8	753.51	NaN
998.1	601.19	NaN	1074.4	749.23	NaN
996.32	595.92	NaN	1072.9	742.99	NaN
994.58	591.12	NaN	1071.2	735.46	NaN
992.83	586.23	NaN	1069.7	727.81	NaN
991.11	582.15	NaN	1068.3	720.67	NaN
989.14	577.17	NaN	1066.9	714	NaN
987.42	573.3	NaN	1065.4	707.52	NaN
985.9	570.55	NaN	1063.5	700.24	NaN
984.47	568.05	NaN	1062.1	694.7	NaN
983.22	566.11	NaN	1060.9	689.18	NaN
982	564.02	NaN	1059.8	683.14	NaN
980.73	561.67	NaN	1057.7	674.06	NaN
979.7	559.84	NaN	1056.1	667.93	NaN
978.5	557.56	NaN	1054.8	663.4	NaN
977.28	555.1	NaN	1052.8	656.62	NaN
976.3	553.66	NaN	1051.6	652.35	NaN
975.18	551.96	NaN	1049.7	646.27	NaN
974.08	550.63	NaN	1048	641.09	NaN
973.06	549.55	NaN	1046.7	637.05	NaN
972	548.47	NaN	1045.1	632.51	NaN
970.88	546.83	NaN	1043.6	628.09	NaN
969.79	545.55	NaN	1040.9	623.4	NaN
968.85	544.45	NaN	1038.3	619.01	NaN
967.93	543.4	NaN	1035.1	613.82	NaN
966.99	541.93	NaN	1032.2	609.23	NaN
966.48	541.14	NaN	1029.5	605.27	NaN
964.74	537.41	NaN	1026.4	600.94	NaN
962.85	533.6	NaN	1023.6	597.11	NaN
961.17	530.27	NaN	1020.8	593.53	NaN
959.58	527.4	NaN	1017.9	589.83	NaN
958.15	524.81	NaN	1015.4	586.68	NaN
956.39	521.42	NaN	1012.3	582.35	NaN
955.09	519.04	NaN	1009.7	579.01	NaN
953.73	516.42	NaN	1006.7	574.96	NaN
952.25	513.88	NaN	1004.2	572.13	NaN
950.92	512.06	NaN	1001.6	568.84	NaN
949.68	510.52	NaN	999.06	565.83	NaN
948.41	508.99	NaN	996.35	562.67	NaN
946.99	507.15	NaN	993.71	559.88	NaN
945.6	505.62	NaN	991.06	557.3	NaN
944.12	503.88	NaN	988.19	554.68	NaN
943	503.51	NaN	985.45	552.19	NaN
941.14	502.35	NaN	982.88	549.95	NaN
939.52	501.41	NaN	980.29	547.76	NaN
938.02	500.5	NaN	978.02	545.77	NaN
936.63	499.39	NaN	975.81	543.42	NaN
935.19	498.32	NaN	973.45	541.08	NaN
933.83	496.94	NaN	970.5	538.15	NaN
933.08	496.44	NaN	968.55	536.19	NaN
931.45	495.23	NaN	965.86	533.71	NaN
930.21	494.57	NaN	963.44	531.49	NaN
929.47	494.7	NaN	961.43	529.82	NaN
927.69	493.44	NaN	959.78	528.32	NaN
926.83	493.49	NaN	957.25	525.96	NaN
925.62	493.18	NaN	954.26	523.73	NaN
924.41	492.94	NaN	951.24	521.29	NaN
923.21	492.63	NaN	949.1	519.66	NaN
NaN	NaN	NaN	936.41	506.99	NaN
NaN	NaN	NaN	933.33	504.5	NaN
NaN	NaN	NaN	932.48	503.97	NaN
NaN	NaN	NaN	930.38	502.22	NaN
NaN	NaN	NaN	928.72	500.9	NaN
NaN	NaN	NaN	926.97	499.59	NaN
NaN	NaN	NaN	924.83	498.21	NaN
NaN	NaN	NaN	922.76	496.88	NaN
NaN	NaN	NaN	921.81	496.53	NaN
NaN	NaN	NaN	919.83	495.26	NaN
NaN	NaN	NaN	918.66	494.67	NaN
NaN	NaN	NaN	917.11	493.89	NaN
NaN	NaN	NaN	916.03	493.31	NaN
NaN	NaN	NaN	914.28	492.18	NaN
NaN	NaN	NaN	914.48	492.35	NaN
NaN	NaN	NaN	912.38	490.85	NaN
NaN	NaN	NaN	911.86	490.65	NaN
NaN	NaN	NaN	910.21	489.88	NaN
NaN	NaN	NaN	910	490.08	NaN
NaN	NaN	NaN	908.76	489.65	NaN
NaN	NaN	NaN	908.12	489.46	NaN
NaN	NaN	NaN	906.19	488.6	NaN
NaN	NaN	NaN	903.63	487.4	NaN
NaN	NaN	NaN	902.42	487.06	NaN
NaN	NaN	NaN	900.97	486.55	NaN
NaN	NaN	NaN	900.19	486.33	NaN
NaN	NaN	NaN	899.74	486.14	NaN
NaN	NaN	NaN	898.96	485.81	NaN
NaN	NaN	NaN	898.41	485.8	NaN
NaN	NaN	NaN	897.47	485.5	NaN
NaN	NaN	NaN	896.81	485.5	NaN
NaN	NaN	NaN	894.79	485.18	NaN
NaN	NaN	NaN	893.75	485.39	NaN
NaN	NaN	NaN	891.47	485.57	NaN
NaN	NaN	NaN	890.52	485.88	NaN
NaN	NaN	NaN	889.49	485.39	NaN
NaN	NaN	NaN	887.88	485.08	NaN
NaN	NaN	NaN	886.24	485.97	NaN
NaN	NaN	NaN	885.22	485.45	NaN
886.4	504.69	NaN	882.07	475.49	NaN
885.54	507.38	NaN	881.36	475.23	NaN
884.59	510.2	NaN	880.01	474.71	NaN
883.86	512.32	NaN	878.6	474.28	NaN
883.99	515.26	NaN	877.49	474.04	NaN
885.79	521.9	NaN	876.36	473.76	NaN
887.76	529.46	NaN	875.16	473.56	NaN
890.58	536.92	NaN	874.66	473.48	NaN
893.03	543.72	NaN	873.68	473.14	NaN
895.64	550.35	NaN	872.76	473	NaN
897.91	556.16	NaN	872.18	472.9	NaN
899.95	561.69	NaN	872.1	473	NaN
902.14	567.19	NaN	871.26	472.8	NaN
903.98	572.11	NaN	870.16	472.55	NaN
907.49	577.79	NaN	869.37	472.46	NaN
913.41	586.52	NaN	869.64	472.67	NaN
920.42	596.29	NaN	868.93	472.66	NaN
927.2	605.57	NaN	868.46	472.71	NaN
933.33	614.18	NaN	868.06	472.71	NaN
938.85	622.14	NaN	867.43	472.6	NaN
943.77	629.26	NaN	868	472.89	NaN
948.48	636.06	NaN	867.57	472.89	NaN
953.33	642.91	NaN	867.26	472.97	NaN
957.64	648.77	NaN	867.24	472.9	NaN
962.04	654.24	NaN	867.09	472.69	NaN
969.72	660.43	NaN	866.81	472.79	NaN
979.26	669.64	NaN	866.63	472.83	NaN
989.58	677.88	NaN	866.13	472.75	NaN
999.35	685.9	NaN	865.64	472.74	NaN
1008.2	693.41	NaN	864.81	472.67	NaN
1016.3	700.46	NaN	864.64	472.57	NaN
1023.5	707.1	NaN	863.98	472.45	NaN
1030.2	713.39	NaN	862.53	472.18	NaN
1036.3	719.27	NaN	863.46	472.33	NaN
1042.1	725.02	NaN	860.73	472.51	NaN
1047.6	730.15	NaN	862.16	472.31	NaN
1053.5	735.47	NaN	859.87	472.43	NaN
1058.4	741.56	NaN	859.42	472.98	NaN
1063.6	749.46	NaN	857.62	474.33	NaN
1070.2	758.95	NaN	856.39	475.58	NaN
1075.1	767.07	NaN	855.36	476.75	NaN
1079.8	775.31	NaN	854.34	477.91	NaN
1084.5	783.13	NaN	854.06	478.56	NaN
1088.8	790.25	NaN	853.33	483.15	NaN
1090.9	798.01	NaN	853.7	486.93	NaN
1091.4	805.4	NaN	854.36	492.08	NaN
1091.3	816.32	NaN	856.16	495.36	NaN
1089.8	826.21	NaN	857.58	498.72	NaN
1088.7	834.86	NaN	859.13	502.62	NaN
1087.6	843.51	NaN	860.54	506.24	NaN
1086.5	851.37	NaN	863.35	509.99	NaN
1085.4	858.97	NaN	867.28	518.22	NaN
1081.2	867.54	NaN	871.75	524.93	NaN
1076.1	876.51	NaN	876.99	533.86	NaN
1071.6	884.49	NaN	881.26	541.32	NaN
1067.4	891.71	NaN	886.09	548.47	NaN
1063.2	898.5	NaN	891.69	559.12	NaN
1059.4	904.77	NaN	898.25	568.79	NaN
1055.6	910.78	NaN	904.89	581.32	NaN
1052.4	916.11	NaN	911.07	591.58	NaN
1049.4	920.94	NaN	917.06	605.03	NaN
1046.4	925.93	NaN	922.66	616.34	NaN
1042.6	930.41	NaN	927.82	629.87	NaN
1037.3	937.74	NaN	931.81	640.28	NaN
1031.5	945.54	NaN	936.1	651.67	NaN
1026.2	952.5	NaN	938.91	662.1	NaN
