X1	Y1	ProbId1	X2	Y2	ProbId2	
807.73	483.15	NaN	776.43	460.02	NaN
810.45	483.58	NaN	778.39	460.32	NaN
811.8	483.7	NaN	781.4	460.43	NaN
813.21	483.75	NaN	784.14	460.61	NaN
814.72	483.86	NaN	785.99	460.92	NaN
816.45	484.11	NaN	787.43	461.19	NaN
818.09	484.72	NaN	790.16	461.33	NaN
818.78	484.89	NaN	792.74	461.52	NaN
819.32	485.02	NaN	794.72	461.77	NaN
821.46	485.4	NaN	796.33	462.1	NaN
822.51	485.58	NaN	797.93	462.46	NaN
823.5	485.74	NaN	800.16	462.76	NaN
824.19	485.82	NaN	802.86	463	NaN
825.2	485.93	NaN	804.06	463.34	NaN
826.09	486.04	NaN	806.23	463.49	NaN
828.23	486.51	NaN	807.9	463.9	NaN
828.44	486.42	NaN	809.12	464.2	NaN
830.38	486.65	NaN	811.31	464.38	NaN
831.63	486.78	NaN	813.13	464.54	NaN
831.49	486.94	NaN	814.44	465.05	NaN
832.23	487.36	NaN	815.53	465.33	NaN
833.02	487.55	NaN	817.58	465.7	NaN
833.03	487.6	NaN	819.14	466.5	NaN
834.2	487.84	NaN	821.8	466.91	NaN
835.33	488.16	NaN	823.31	467.48	NaN
836.05	488.29	NaN	824.73	467.98	NaN
836.2	488.31	NaN	826.31	468.4	NaN
837.22	488.47	NaN	828.24	468.65	NaN
839.04	489.06	NaN	829.59	469.23	NaN
840.65	489.76	NaN	831.46	469.56	NaN
842.45	490.34	NaN	832.45	470.14	NaN
843.72	490.67	NaN	834.16	470.46	NaN
844.98	490.96	NaN	835.43	470.99	NaN
846.38	491.38	NaN	836.73	471.39	NaN
847.66	491.7	NaN	838.38	471.85	NaN
848.87	491.94	NaN	839.32	472.24	NaN
849.85	492.22	NaN	840.09	472.85	NaN
851.85	492.73	NaN	842.09	473.56	NaN
852.76	492.94	NaN	842.7	473.93	NaN
854.22	493.39	NaN	844.64	474.61	NaN
854.81	493.81	NaN	845.28	475.05	NaN
856.21	494.27	NaN	846.5	475.61	NaN
856.96	494.5	NaN	847.57	476.11	NaN
857.78	494.67	NaN	849.09	476.65	NaN
858.7	494.94	NaN	849.44	476.98	NaN
859.8	495.13	NaN	850.66	477.6	NaN
860.57	495.33	NaN	851.68	478.11	NaN
861.49	495.55	NaN	852.11	478.51	NaN
862.64	495.85	NaN	853.54	479.11	NaN
863.31	495.94	NaN	853.94	479.55	NaN
