X1	Y1	ProbId1	X2	Y2	ProbId2	
807.73	483.15	0.9983	776.43	460.02	0.9983
810.45	483.58	0.9983	778.39	460.32	0.9983
811.8	483.7	0.9983	781.4	460.43	0.9983
813.21	483.75	0.9983	784.14	460.61	0.9983
814.72	483.86	0.9983	785.99	460.92	0.9983
816.45	484.11	0.9983	787.43	461.19	0.9983
818.09	484.72	0.9983	790.16	461.33	0.9983
818.78	484.89	0.9983	792.74	461.52	0.9983
819.32	485.02	0.9983	794.72	461.77	0.9983
821.46	485.4	0.9983	796.33	462.1	0.9983
822.51	485.58	0.9983	797.93	462.46	0.9983
823.5	485.74	0.9983	800.16	462.76	0.9983
824.19	485.82	0.9983	802.86	463	0.9983
825.2	485.93	0.9983	804.06	463.34	0.9983
826.09	486.04	0.9983	806.23	463.49	0.9983
828.23	486.51	0.9983	807.9	463.9	0.9983
828.44	486.42	0.9983	809.12	464.2	0.9983
830.38	486.65	0.9983	811.31	464.38	0.9983
831.63	486.78	0.9983	813.13	464.54	0.9983
831.49	486.94	0.9983	814.44	465.05	0.9983
832.23	487.36	0.9983	815.53	465.33	0.9983
833.02	487.55	0.9983	817.58	465.7	0.9983
833.03	487.6	0.9983	819.14	466.5	0.9983
834.2	487.84	0.9983	821.8	466.91	0.9983
835.33	488.16	0.9983	823.31	467.48	0.9983
836.05	488.29	0.9983	824.73	467.98	0.9983
836.2	488.31	0.9983	826.31	468.4	0.9983
837.22	488.47	0.9983	828.24	468.65	0.9983
839.04	489.06	0.9983	829.59	469.23	0.9983
840.65	489.76	0.9983	831.46	469.56	0.9983
842.45	490.34	0.9983	832.45	470.14	0.9983
843.72	490.67	0.9983	834.16	470.46	0.9983
844.98	490.96	0.9983	835.43	470.99	0.9983
846.38	491.38	0.9983	836.73	471.39	0.9983
847.66	491.7	0.9983	838.38	471.85	0.9983
848.87	491.94	0.9983	839.32	472.24	0.9983
849.85	492.22	0.9983	840.09	472.85	0.9983
851.85	492.73	0.9983	842.09	473.56	0.9983
852.76	492.94	0.9983	842.7	473.93	0.9983
854.22	493.39	0.9983	844.64	474.61	0.9983
854.81	493.81	0.9983	845.28	475.05	0.9983
856.21	494.27	0.9983	846.5	475.61	0.9983
856.96	494.5	0.9983	847.57	476.11	0.9983
857.78	494.67	0.9983	849.09	476.65	0.9983
858.7	494.94	0.9983	849.44	476.98	0.9983
859.8	495.13	0.9983	850.66	477.6	0.9983
860.57	495.33	0.9983	851.68	478.11	0.9983
861.49	495.55	0.9983	852.11	478.51	0.9983
862.64	495.85	0.9983	853.54	479.11	0.9983
863.31	495.94	0.9983	853.94	479.55	0.9983
864.34	496.19	0.9983	855.48	480.16	0.9983
864.42	496.39	0.9983	855.87	480.61	0.9983
864.89	496.84	0.9983	856.77	481.13	0.9983
865.85	497.18	0.9983	858.14	481.8	0.9983
866.04	497.38	0.9983	858.66	482.18	0.9983
866.32	497.46	0.9983	859.87	482.93	0.9983
866.66	497.59	0.9983	859.59	483.14	0.9983
867.63	497.95	0.9983	861.43	484.03	0.9983
868.36	498.16	0.9983	860.93	484.19	0.9983
868.53	498.22	0.9983	862.77	484.92	0.9983
869.26	498.41	0.9983	862.16	485.15	0.9983
869.52	498.52	0.9983	864.34	485.98	0.9983
870.34	498.81	0.9983	864.41	486.29	0.9983
870.9	498.97	0.9983	865.48	486.9	0.9983
871.29	499.29	0.9983	865.62	487.19	0.9983
871.74	499.55	0.9983	866.97	487.93	0.9983
872.52	499.91	0.9983	866.89	488.12	0.9983
872.77	500.02	0.9983	867.83	488.73	0.9983
873.04	500.07	0.9983	867.75	488.99	0.9983
873.86	500.39	0.9983	868.98	489.51	0.9983
874.33	500.57	0.9983	869.53	490.02	0.9983
874.78	500.74	0.9983	869.79	490.43	0.9983
875.28	501.18	0.9983	869.67	490.91	0.9983
875.48	501.52	0.9983	871.35	491.4	0.9983
875.7	501.73	0.9983	870.31	491.8	0.9983
876.04	501.93	0.9983	871.95	492.21	0.9983
876.26	502.05	0.9983	870.73	492.59	0.9983
876.63	502.2	0.9983	870.07	493.09	0.9983
876.85	502.45	-2	870.37	493.75	-2
877.08	502.71	-2	870.67	494.44	-2
877.3	502.96	-2	870.97	495.14	-2
877.53	503.21	-2	871.27	495.84	-2
877.76	503.46	-2	871.58	496.54	-2
877.98	503.71	-2	871.89	497.24	-2
878.21	503.96	-2	872.21	497.95	-2
878.43	504.21	-2	872.55	498.65	-2
878.67	504.47	-2	872.91	499.32	-2
878.9	504.72	-2	873.33	499.95	-2
879.14	504.98	-2	873.79	500.52	-2
879.37	505.23	-2	874.25	501.09	-2
879.61	505.49	-2	874.73	501.64	-2
879.84	505.74	-2	875.21	502.2	-2
880.08	505.99	-2	875.7	502.71	-2
880.31	506.25	-2	876.23	503.2	-2
880.55	506.5	-2	876.74	503.67	-2
880.78	506.76	-2	877.27	504.16	-2
881.02	507.01	-2	877.79	504.63	-2
881.25	507.27	-2	878.32	505.11	-2
882	508	-2	878.84	505.58	-2
882.22	508.24	-2	879.36	506.05	-2
882.44	508.48	-2	879.87	506.52	-2
882.66	508.73	-2	880.39	507	-2
882.88	508.97	-2	880.91	507.47	-2
883.11	509.21	-2	881.43	507.94	-2
883.33	509.45	-2	881.95	508.41	-2
883.55	509.69	-2	883	509	-2
883.77	509.93	-2	883.5	509.45	-2
883.99	510.18	-2	884	509.91	-2
884.21	510.42	-2	884.5	510.36	-2
884	510	-2	885	510	-2
884.25	510.29	-2	885.5	510.51	-2
884	510	-2	886	511.02	-2
884.27	510.27	-2	886.5	511.53	-2
885	510	-2	887	512.04	-2
885.21	510.35	-2	887	512	-2
885.42	510.7	-2	887.6	512.62	-2
885.62	511.05	-2	888.2	513.24	-2
885.83	511.4	-2	888.8	513.85	-2
886.04	511.75	-2	889.4	514.47	-2
886.25	512.1	-2	890	515.09	-2
886.45	512.45	-2	890.5	515.6	-2
886.73	512.73	-2	891	516.11	-2
887	513	-2	891.5	516.62	-2
887.5	514	-2	892	517.13	-2
887.75	514.29	-2	892.5	517.64	-2
887.97	514.53	-2	893	518.09	-2
888.19	514.77	-2	893.5	518.55	-2
888.41	515.01	-2	894	519	-2
888.63	515.25	-2	895	520	-2
888.85	515.49	-2	894.89	520.18	-2
889.08	515.74	-2	895.41	520.65	-2
889.3	515.98	-2	895.93	521.12	-2
889.52	516.22	-2	896.45	521.59	-2
889.74	516.46	-2	896.96	522.06	-2
889.96	516.7	-2	897.48	522.53	-2
890.18	516.94	-2	898	523	-2
890.42	517.2	-2	899	524	-2
890.65	517.45	-2	899	524	-2
890.89	517.71	-2	900	525	-2
891.12	517.96	-2	900	525	-2
891.36	518.22	-2	901	526	-2
891.59	518.47	-2	900	528	-2
891.83	518.73	-2	899.52	530.45	-2
892.06	518.98	-2	900	531	-2
892.3	519.24	-2	899.54	532.43	-2
