X1	Y1	ProbId1	X2	Y2	ProbId2	
475.22	866.46	NaN	475.19	799.7	NaN
475.43	866.76	NaN	475.05	799.1	NaN
475.75	867.12	NaN	474.88	798.74	NaN
475.83	867.27	NaN	475.08	798.91	NaN
475.83	867.25	NaN	475.1	798.87	NaN
475.97	867.57	NaN	475.14	798.69	NaN
475.91	867.77	NaN	475.09	798.56	NaN
476.45	868.06	NaN	475.16	798.7	NaN
476.57	868.43	NaN	475.32	798.76	NaN
476.92	868.8	NaN	475.38	798.61	NaN
477.2	869.22	NaN	475.39	798.6	NaN
477.03	869.14	NaN	475.5	798.94	NaN
476.85	869.12	NaN	475.32	798.33	NaN
477.36	869.36	NaN	475.46	798.61	NaN
477.51	869.44	NaN	475.39	798.45	NaN
477.65	869.6	NaN	475.52	798.67	NaN
477.92	869.82	NaN	475.65	798.35	NaN
477.88	869.96	NaN	475.57	798.19	NaN
478.16	869.94	NaN	475.53	798.13	NaN
478.33	869.94	NaN	475.45	798.09	NaN
478.07	869.96	NaN	475.37	797.89	NaN
478.29	870.15	NaN	475.43	798.02	NaN
478.19	870.34	NaN	475.47	798.14	NaN
478.27	870.58	NaN	475.52	798.34	NaN
478.35	870.82	NaN	475.75	798.34	NaN
479.02	871.23	NaN	475.63	798.05	NaN
478.94	871.48	NaN	475.6	798	NaN
479.57	871.56	NaN	475.62	797.99	NaN
479.63	871.65	NaN	475.62	798.03	NaN
479.16	871.75	NaN	475.74	798.23	NaN
479	871.91	NaN	475.75	798.15	NaN
479.7	872.38	NaN	475.98	798.09	NaN
479.59	872.61	NaN	475.73	797.79	NaN
479.83	872.61	NaN	475.77	797.85	NaN
479.97	872.66	NaN	475.71	797.74	NaN
479.58	872.69	NaN	475.84	797.98	NaN
479.36	872.76	NaN	475.78	797.9	NaN
479.88	873.12	NaN	475.95	797.93	NaN
480.23	873.16	NaN	475.82	797.68	NaN
480.38	873.02	NaN	475.84	797.85	NaN
479.82	872.97	NaN	475.6	797.45	NaN
479.61	872.92	NaN	475.51	797.45	NaN
479.26	873.01	NaN	475.33	797.26	NaN
479.39	873.14	NaN	475.4	797.73	NaN
480.07	873.42	NaN	475.48	797.87	NaN
479.75	873.26	NaN	475.51	797.72	NaN
479.2	873.3	NaN	475.22	797.54	NaN
478.68	873.38	NaN	475.11	797.41	NaN
480.26	873.62	NaN	475.04	797.62	NaN
479.82	873.89	NaN	475	797.72	NaN
479.55	874.05	NaN	474.81	797.54	NaN
479.54	874.31	NaN	474.76	797.66	NaN
479.22	874.33	NaN	474.72	797.87	NaN
480.8	874.03	NaN	475.03	798.12	NaN
480.6	874.19	NaN	474.76	797.58	NaN
481.08	874.17	NaN	474.59	797.36	NaN
481.19	874.39	NaN	474.53	797.2	NaN
482.28	874.47	NaN	474.56	797.4	NaN
482.71	874.69	NaN	474.4	797.24	NaN
482.75	875.07	NaN	474.38	797.29	NaN
483.37	875.14	NaN	474.52	797.64	NaN
483.54	875.23	NaN	474.74	797.94	NaN
484.28	875.26	NaN	474.64	797.73	NaN
483.85	875.77	NaN	474.63	797.81	NaN
484.08	876.04	NaN	474.58	797.82	NaN
484.85	876.13	NaN	474.5	797.7	NaN
485.38	876.25	NaN	474.5	797.69	NaN
485.09	876.25	NaN	474.55	797.93	NaN
485.25	876.33	NaN	474.56	797.81	NaN
485.81	876.28	NaN	474.81	798.09	NaN
485.14	876.74	NaN	474.49	797.58	NaN
486.44	876.36	NaN	474.52	797.75	NaN
485.9	876.9	NaN	474.57	797.73	NaN
485.29	877.19	NaN	474.56	797.78	NaN
485.32	877.18	NaN	474.46	797.58	NaN
486.41	876.75	NaN	474.65	797.91	NaN
485.29	877.56	NaN	474.51	797.53	NaN
485.73	877.51	NaN	474.88	797.88	NaN
485.71	878.86	NaN	474.68	798.48	NaN
486.25	877.96	NaN	474.6	798.06	NaN
485.94	878.01	NaN	474.56	797.73	NaN
486.18	879.29	NaN	474.8	798.58	NaN
486.17	879.71	NaN	474.78	798.38	NaN
486.28	880.51	NaN	474.43	798.74	NaN
485.47	881.01	NaN	473.79	798.31	NaN
485.42	880.23	NaN	473.66	797.45	NaN
486.47	879.1	NaN	473.73	796.31	NaN
486.57	879.65	NaN	474.15	796.71	NaN
486.21	881.18	NaN	474.17	797.62	NaN
486.18	882.32	NaN	473.71	798.27	NaN
486.27	882.58	NaN	473.68	798.3	NaN
486.19	882.62	NaN	473.77	797.82	NaN
486.16	882.4	NaN	473.96	797.55	NaN
