X1	Y1	ProbId1	X2	Y2	ProbId2	
570.9	980.81	NaN	595.02	1030.2	NaN
571.23	982.82	NaN	596.2	1031.2	NaN
571.36	984.1	NaN	597.46	1032.1	NaN
571.23	985.1	NaN	599.68	1033.1	NaN
571.34	984.89	NaN	601.73	1034.3	NaN
573.01	985.59	NaN	603.89	1035.5	NaN
575.69	987.51	NaN	605.65	1036.6	NaN
577.04	988.51	NaN	607.44	1037.6	NaN
579.84	990.38	NaN	608.86	1038.4	NaN
580.93	991.1	NaN	610.33	1039.3	NaN
582.25	991.91	NaN	611.42	1039.8	NaN
583.33	992.52	NaN	612.76	1040.7	NaN
584.75	993.38	NaN	613.78	1041.1	NaN
585.3	993.59	NaN	615.17	1041.6	NaN
586.48	994.25	NaN	617.79	1042.7	NaN
586.89	994.35	NaN	619.45	1043.6	NaN
588.02	995.06	NaN	621.49	1044.6	NaN
588.38	995.18	NaN	622.76	1045.3	NaN
590.14	995.27	NaN	624.67	1046.3	NaN
592.78	996.05	NaN	625.94	1047	NaN
595.53	996.93	NaN	627.29	1047.7	NaN
597.07	997.29	NaN	628.5	1048.4	NaN
598.72	997.79	NaN	628.57	1048.4	NaN
600.47	998.25	NaN	630.16	1048.9	NaN
601.7	998.47	NaN	632.91	1050.3	NaN
603.22	998.85	NaN	635.23	1051.4	NaN
604.35	999	NaN	636.53	1052.1	NaN
605.03	999.07	NaN	638.1	1053	NaN
606.02	999.15	NaN	639.68	1053.7	NaN
606.45	999.09	NaN	641.14	1054.6	NaN
607.26	999.07	NaN	641.84	1055	NaN
608.11	999.14	NaN	643.1	1055.2	NaN
609.84	999.02	NaN	646.44	1056.4	NaN
613.51	1000.8	NaN	649.56	1057.8	NaN
616.66	1002.6	NaN	651.41	1058.5	NaN
619.41	1004	NaN	653.51	1059.4	NaN
622.28	1005.4	NaN	655.88	1060.4	NaN
624.2	1006.4	NaN	660.07	1061.9	NaN
626.36	1007.4	NaN	665.33	1064.3	NaN
628.43	1008.4	NaN	670.02	1066.4	NaN
630.65	1009.5	NaN	674.39	1068.3	NaN
632.03	1010.1	NaN	678.35	1070.1	NaN
633.56	1012.3	NaN	682.01	1072	NaN
638.05	1017	NaN	685.45	1073.6	NaN
643.57	1021.8	NaN	688.73	1075.3	NaN
647.05	1025.5	NaN	691.3	1076.6	NaN
650.76	1029.5	NaN	694.03	1077.9	NaN
654.12	1033.2	NaN	696	1079	NaN
656.81	1036.2	NaN	698.38	1080.2	NaN
659.35	1039.4	NaN	700.71	1081.1	NaN
661.73	1042.5	NaN	704.26	1082.1	NaN
663.25	1044.5	NaN	708.47	1083.5	NaN
665.57	1047.6	NaN	711.66	1084.6	NaN
667.09	1049.9	NaN	715.91	1086.1	NaN
668.66	1052.2	NaN	718.39	1087.2	NaN
669.51	1053.6	NaN	721.27	1088.3	NaN
670.84	1055.7	NaN	723.43	1089.2	NaN
673.27	1058.6	NaN	725.99	1090.1	NaN
672.53	1058.7	NaN	729.87	1091.2	NaN
673.4	1060.3	NaN	733.7	1092.4	NaN
675.4	1062.8	NaN	737.26	1093.6	NaN
674.18	1062.4	NaN	740.2	1094.6	NaN
674.62	1063.6	NaN	743.22	1095.8	NaN
679	1064.6	NaN	746.3	1096.9	NaN
682.4	1065	NaN	748.48	1097.9	NaN
687.56	1065.8	NaN	751	1099	NaN
690.78	1066.1	NaN	752.84	1099.5	NaN
694.47	1066.7	NaN	756.5	1100.3	NaN
697.41	1066.9	NaN	760.15	1101.3	NaN
701.77	1066.8	NaN	763.66	1102.2	NaN
708.67	1068.4	NaN	766.7	1103.1	NaN
714.07	1069.5	NaN	769.58	1103.9	NaN
719.57	1070.8	NaN	773.17	1103.7	NaN
724.44	1072.1	NaN	778.08	1103.6	NaN
728.26	1073.3	NaN	783.75	1103.6	NaN
731.65	1074.3	NaN	787.81	1103.7	NaN
735.22	1075.5	NaN	792.34	1103.9	NaN
737.71	1076.4	NaN	795.51	1103.7	NaN
739.37	1077.1	NaN	801.9	1102.1	NaN
742.88	1078.2	NaN	808.33	1100.6	NaN
744.31	1078.8	NaN	813.69	1099.4	NaN
748.42	1076.7	NaN	818.36	1098.5	NaN
756.36	1075.3	NaN	822	1097.7	NaN
763.17	1073.8	NaN	826.75	1096.9	NaN
769.61	1072.1	NaN	830.04	1096.3	NaN
774.14	1070.6	NaN	833.54	1095.7	NaN
778.28	1069.3	NaN	835.97	1095.3	NaN
782.22	1068	NaN	839.24	1094.8	NaN
785.44	1066.9	NaN	842.29	1094.3	NaN
788.84	1065.8	NaN	844.3	1093.9	NaN
792.16	1064.8	NaN	847.57	1093.1	NaN
794.94	1064.1	NaN	852.42	1091.5	NaN
798.04	1063.4	NaN	857.1	1090.2	NaN
802.39	1063.9	NaN	861.11	1089.1	NaN
808.67	1063.4	NaN	865.12	1088.1	NaN
814.97	1063.1	NaN	868.49	1087.3	NaN
821.09	1063	NaN	872.14	1086.5	NaN
826.53	1063	NaN	875.21	1085.8	NaN
831.4	1062.8	NaN	878.07	1085.2	NaN
835.19	1062.7	NaN	881.47	1084.4	NaN
839.34	1062.5	NaN	883.51	1084	NaN
842.76	1062.4	NaN	885.79	1083.5	NaN
845.44	1062.2	NaN	888.23	1082.9	NaN
847.53	1062.1	NaN	888.48	1082.4	NaN
851.29	1061.8	NaN	890.28	1081.2	NaN
853.37	1061.8	NaN	891.22	1080.4	NaN
855.21	1061.8	NaN	892.06	1079.7	NaN
856.96	1061.9	NaN	892.99	1079	NaN
858.62	1062	NaN	893.61	1078.5	NaN
858.09	1062.5	NaN	894.73	1077.8	NaN
859.33	1062.7	NaN	894.98	1077.3	NaN
861.1	1062.6	NaN	895.57	1076.9	NaN
862.74	1061.7	NaN	895.51	1076.7	NaN
863.8	1061.2	NaN	896.1	1076.2	NaN
864.45	1061	NaN	896.36	1075.8	NaN
865.3	1060.7	NaN	895.76	1075.9	NaN
866.36	1060.3	NaN	896.17	1075.5	NaN
866.61	1060.1	NaN	896.2	1075.3	NaN
