X1	Y1	ProbId1	X2	Y2	ProbId2	
570.9	980.81	1	595.02	1030.2	1
571.23	982.82	1	596.2	1031.2	1
571.36	984.1	1	597.46	1032.1	1
571.23	985.1	1	599.68	1033.1	1
571.34	984.89	1	601.73	1034.3	1
573.01	985.59	1	603.89	1035.5	1
575.69	987.51	1	605.65	1036.6	1
577.04	988.51	1	607.44	1037.6	1
579.84	990.38	1	608.86	1038.4	1
580.93	991.1	1	610.33	1039.3	1
582.25	991.91	1	611.42	1039.8	1
583.33	992.52	1	612.76	1040.7	1
584.75	993.38	1	613.78	1041.1	1
585.3	993.59	1	615.17	1041.6	1
586.48	994.25	1	617.79	1042.7	1
586.89	994.35	1	619.45	1043.6	1
588.02	995.06	1	621.49	1044.6	1
588.38	995.18	1	622.76	1045.3	1
590.14	995.27	1	624.67	1046.3	1
592.78	996.05	1	625.94	1047	1
595.53	996.93	1	627.29	1047.7	1
597.07	997.29	1	628.5	1048.4	1
598.72	997.79	1	628.57	1048.4	1
600.47	998.25	1	630.16	1048.9	1
601.7	998.47	1	632.91	1050.3	1
603.22	998.85	1	635.23	1051.4	1
604.35	999	1	636.53	1052.1	1
605.03	999.07	1	638.1	1053	1
606.02	999.15	1	639.68	1053.7	1
606.45	999.09	1	641.14	1054.6	1
607.26	999.07	1	641.84	1055	1
608.11	999.14	1	643.1	1055.2	1
609.84	999.02	1	646.44	1056.4	1
613.51	1000.8	1	649.56	1057.8	1
616.66	1002.6	1	651.41	1058.5	1
619.41	1004	1	653.51	1059.4	1
622.28	1005.4	1	655.88	1060.4	1
624.2	1006.4	1	660.07	1061.9	1
626.36	1007.4	1	665.33	1064.3	1
628.43	1008.4	1	670.02	1066.4	1
630.65	1009.5	1	674.39	1068.3	1
632.03	1010.1	1	678.35	1070.1	1
633.56	1012.3	1	682.01	1072	1
638.05	1017	1	685.45	1073.6	1
643.57	1021.8	1	688.73	1075.3	1
647.05	1025.5	1	691.3	1076.6	1
650.76	1029.5	1	694.03	1077.9	1
654.12	1033.2	1	696	1079	1
656.81	1036.2	1	698.38	1080.2	1
659.35	1039.4	1	700.71	1081.1	1
661.73	1042.5	1	704.26	1082.1	1
663.25	1044.5	1	708.47	1083.5	1
665.57	1047.6	1	711.66	1084.6	1
667.09	1049.9	1	715.91	1086.1	1
668.66	1052.2	1	718.39	1087.2	1
669.51	1053.6	1	721.27	1088.3	1
670.84	1055.7	1	723.43	1089.2	1
673.27	1058.6	1	725.99	1090.1	1
672.53	1058.7	1	729.87	1091.2	1
673.4	1060.3	1	733.7	1092.4	1
675.4	1062.8	1	737.26	1093.6	1
674.18	1062.4	1	740.2	1094.6	1
674.62	1063.6	1	743.22	1095.8	1
679	1064.6	1	746.3	1096.9	1
682.4	1065	1	748.48	1097.9	1
687.56	1065.8	1	751	1099	1
690.78	1066.1	1	752.84	1099.5	1
694.47	1066.7	1	756.5	1100.3	1
697.41	1066.9	1	760.15	1101.3	1
701.77	1066.8	1	763.66	1102.2	1
708.67	1068.4	1	766.7	1103.1	1
714.07	1069.5	1	769.58	1103.9	1
719.57	1070.8	1	773.17	1103.7	1
724.44	1072.1	1	778.08	1103.6	1
728.26	1073.3	1	783.75	1103.6	1
731.65	1074.3	1	787.81	1103.7	1
735.22	1075.5	1	792.34	1103.9	1
737.71	1076.4	1	795.51	1103.7	1
739.37	1077.1	1	801.9	1102.1	1
742.88	1078.2	1	808.33	1100.6	1
744.31	1078.8	1	813.69	1099.4	1
748.42	1076.7	1	818.36	1098.5	1
756.36	1075.3	1	822	1097.7	1
763.17	1073.8	1	826.75	1096.9	1
769.61	1072.1	1	830.04	1096.3	1
774.14	1070.6	1	833.54	1095.7	1
778.28	1069.3	1	835.97	1095.3	1
782.22	1068	1	839.24	1094.8	1
785.44	1066.9	1	842.29	1094.3	1
788.84	1065.8	1	844.3	1093.9	1
792.16	1064.8	1	847.57	1093.1	1
794.94	1064.1	1	852.42	1091.5	1
798.04	1063.4	1	857.1	1090.2	1
802.39	1063.9	1	861.11	1089.1	1
808.67	1063.4	1	865.12	1088.1	1
814.97	1063.1	1	868.49	1087.3	1
821.09	1063	1	872.14	1086.5	1
826.53	1063	1	875.21	1085.8	1
831.4	1062.8	1	878.07	1085.2	1
835.19	1062.7	1	881.47	1084.4	1
839.34	1062.5	1	883.51	1084	1
842.76	1062.4	1	885.79	1083.5	1
845.44	1062.2	1	888.23	1082.9	1
847.53	1062.1	1	888.48	1082.4	1
851.29	1061.8	1	890.28	1081.2	1
853.37	1061.8	1	891.22	1080.4	1
855.21	1061.8	1	892.06	1079.7	1
856.96	1061.9	1	892.99	1079	1
858.62	1062	1	893.61	1078.5	1
858.09	1062.5	1	894.73	1077.8	1
859.33	1062.7	1	894.98	1077.3	1
861.1	1062.6	1	895.57	1076.9	1
862.74	1061.7	1	895.51	1076.7	1
863.8	1061.2	1	896.1	1076.2	1
864.45	1061	1	896.36	1075.8	1
865.3	1060.7	1	895.76	1075.9	1
866.36	1060.3	1	896.17	1075.5	1
866.61	1060.1	1	896.2	1075.3	1
867.34	1059.8	1	896.45	1075	1
867.81	1059.6	1	895.93	1075.1	1
868.12	1059.5	1	896.32	1074.6	1
867.84	1059.4	1	896.17	1074.6	1
869.07	1058.2	1	896.27	1074.4	1
869.66	1057.6	1	896.02	1074.4	1
869.98	1057.3	1	895.77	1074.4	1
870.39	1056.7	1	895.65	1074.2	1
870.59	1056.4	1	895.68	1074	1
870.53	1056	1	895.75	1073.9	1
870.68	1055.6	1	895.84	1074	1
870.91	1055.1	1	895.82	1074	1
870.81	1054.9	1	895.98	1073.8	1
870.25	1054.8	1	895.91	1073.8	1
870.19	1054.5	1	895.97	1073.7	1
869.78	1054.3	1	896.04	1073.6	1
869.54	1054.2	1	895.53	1073.8	1
868.79	1054.3	1	895.51	1073.7	1
868.54	1053.9	1	895.21	1073.8	1
868.35	1053.7	1	894.91	1074	1
867.81	1053.7	1	894.54	1073.8	1
866.68	1054	1	894.67	1073.7	1
866.53	1053.7	1	894.57	1073.7	1
865.84	1053.8	1	894.48	1073.6	1
864.76	1053.9	1	893.91	1073.7	1
864	1053.1	1	893.93	1073.7	1
864.72	1051.5	1	893.73	1073.7	1
864.57	1050.6	1	893.24	1073.8	1
864.6	1049.6	1	893.22	1073.7	1
864.5	1048.7	1	892.5	1073.9	1
862.9	1049.2	1	892.44	1074	1
862.76	1048.5	1	893.68	1073.4	1
862.08	1048.1	1	895.19	1072.5	1
861.78	1047.5	1	897.55	1071.7	1
861.28	1047	1	897.4	1071.5	1
860.81	1046.5	1	898.08	1071.1	1
860.77	1045.6	1	900.22	1070.4	1
861.04	1044.8	1	899.95	1070.2	1
859.81	1045.1	1	902.01	1069.4	1
861.64	1042.6	1	902.09	1069.3	1
861.15	1042.1	1	902.01	1069	1
860.86	1041.3	1	902.96	1069.3	1
858.99	1042.3	1	904.79	1068.7	1
859.11	1041.1	1	906.27	1068.1	1
858.46	1040.8	1	908.2	1067.2	1
859.33	1038.9	1	909.41	1066.5	1
857.53	1039.4	1	910.84	1065.8	1
856.75	1039.2	1	911.84	1065.4	1
855.68	1039.3	1	913.2	1064.8	1
855.47	1038.5	1	914.47	1064.1	1
854.76	1038.1	1	915.14	1063.8	1
854.1	1037.7	1	915.32	1063.7	1
853.55	1037.3	1	916.1	1063.3	1
852.52	1037.3	1	916.41	1063.2	1
851.52	1037.3	1	917.43	1062.6	1
851.66	1036.7	1	917.4	1062.7	1
852.29	1035.6	1	917.61	1062.6	1
853.26	1034.3	1	917.62	1062.6	1
853.69	1033.1	1	918.05	1062.3	1
854.38	1031.8	1	917.57	1062.5	1
855.13	1030.5	1	920.01	1061.6	1
854.34	1030.5	1	920.97	1061.4	1
854.97	1029.2	1	922.65	1060.9	1
855.01	1028.8	1	922.97	1061	1
854.42	1028.6	1	923.85	1060.8	1
854.9	1027.7	1	925	1060.5	1
854.6	1027.3	1	925.25	1060.5	1
854.67	1026.4	1	925.15	1060.5	1
854.33	1026.2	1	925.82	1060.2	1
853.81	1026	1	925.2	1060.4	1
853.82	1025.2	1	925.29	1060.4	1
853.1	1025.1	1	925.22	1060.4	1
856.36	1023.8	1	925.2	1060.3	1
858	1023.8	1	925.43	1060.3	1
859.58	1023.6	1	924.78	1060.5	1
860.93	1023.5	1	924.32	1060.7	1
861.93	1023.5	1	924.13	1060.8	1
862.51	1023.5	1	924.1	1060.8	1
863.13	1023.7	1	923.4	1061.1	1
863.56	1023.8	1	923.47	1061.1	1
863.96	1024	1	922.82	1061.3	1
864.63	1024.2	1	922.57	1061.4	1
866.42	1025.6	1	922.82	1061.4	1
871.51	1026.7	1	922.82	1061.3	1
874.83	1027.4	1	922.89	1061.4	1
878.76	1028.4	1	922.3	1061.7	1
880.36	1029.1	1	922.29	1061.7	1
883.69	1030.1	1	921.35	1062.1	1
886.26	1031	1	921.4	1062.1	1
888.46	1032	1	920.98	1062.3	1
890.7	1032.9	1	921.28	1062.3	1
890.96	1033.4	1	921.16	1062.3	1
892.78	1034.4	1	921.66	1062	1
894.66	1035.3	1	921.93	1062	1
895.93	1036.2	1	921.87	1062.2	1
897.65	1037.2	1	921.99	1062.2	1
899.17	1038.1	1	921.82	1062.2	1
900.11	1039.1	1	921.45	1062.4	1
900.79	1040	1	921.49	1062.4	1
901.07	1040.7	1	921.03	1062.8	1
902.44	1040.3	1	921.24	1062.7	1
904.67	1039.7	1	921.36	1062.7	1
906.86	1039.4	1	920.94	1063	1
908.6	1039.1	1	920.86	1063.1	1
910.11	1039	1	920.41	1063.3	1
911.29	1039	1	919.82	1063.5	1
912.69	1038.9	1	919.71	1063.6	1
913.45	1039	1	919.39	1063.8	1
914.09	1039.1	1	919.26	1063.9	1
915	1039	1	918.74	1064.1	1
917.09	1037.5	1	918.43	1064.2	1
919.43	1036.2	1	918.47	1064.3	1
920.91	1035.5	1	918.51	1064.2	1
921.93	1035.1	1	918.21	1064.4	1
923.56	1034.4	1	918.07	1064.4	1
924.52	1033.9	1	918.03	1064.4	1
925.81	1033.6	1	917.32	1064.7	1
926.42	1033.3	1	917.3	1064.7	1
927.56	1032.6	1	916.79	1064.9	1
928.9	1031.9	1	916.5	1065	1
930.07	1031.3	1	916.48	1065	1
931.4	1031	1	916.19	1065.1	1
932.36	1030.6	1	916.2	1065.1	1
933.54	1030.3	1	915.87	1065.2	1
934.32	1030	1	915.76	1065.3	1
935.32	1029.7	1	915.69	1065.3	1
937.69	1029.5	1	915.52	1065.3	1
938.42	1029.4	1	915.26	1065.5	1
938.08	1029.7	1	914.17	1065.9	1
938.09	1029.9	1	914.13	1065.9	1
938.03	1030.1	1	914.07	1066	1
937.78	1030.5	1	913.65	1066.1	1
938.44	1030.4	1	913.6	1066.1	1
937.52	1030.8	1	913.41	1066.1	1
937.42	1030.7	1	913.56	1066.1	1
937.97	1030.4	1	913.46	1066.2	1
937.7	1030.6	1	913.29	1066.2	1
937.56	1030.8	1	913.39	1066.3	1
937.61	1030.9	1	913.3	1066.3	1
937.42	1031	1	913.54	1066.2	1
936.91	1031.3	1	913.09	1066.4	1
936.54	1031.5	1	913.34	1066.3	1
936.8	1031.5	1	913.27	1066.3	1
936.09	1032	1	912.97	1066.4	1
936.17	1032.1	1	913.13	1066.3	1
935.63	1032.3	1	913.29	1066.2	1
935.48	1031.9	1	913.59	1066.1	1
935.84	1031.7	1	912.97	1066.3	1
935.25	1032	1	912.66	1066.5	1
935.49	1031.8	1	912.84	1066.5	1
935.29	1031.8	1	912.7	1066.5	1
935.16	1032	1	912.68	1066.5	1
