X1	Y1	ProbId1	X2	Y2	ProbId2	
479.16	728.64	NaN	506.87	788.44	NaN
479.16	728.64	NaN	507.21	789.02	NaN
479.24	728.3	NaN	507.34	789.06	NaN
479.24	728.12	NaN	507.48	789.31	NaN
479.41	728.28	NaN	507.65	789.67	NaN
479.47	728.58	NaN	507.85	790.09	NaN
479.23	729.28	NaN	507.98	790.33	NaN
479	729.77	NaN	508.19	790.75	NaN
478.74	730.59	NaN	508.25	790.68	NaN
478.55	731.29	NaN	508.47	790.57	NaN
478.52	731.5	NaN	509.04	790.26	NaN
478.51	731.51	NaN	509.44	790.21	NaN
478.52	731.32	NaN	509.9	790.23	NaN
478.7	731.2	NaN	510.43	790.47	NaN
478.45	732.52	NaN	511.08	791.18	NaN
478.2	732.81	NaN	511.17	790.52	NaN
478.02	732.93	NaN	511.64	790.52	NaN
477.67	733.63	NaN	512.07	790.44	NaN
477.57	733.86	NaN	512.26	789.8	NaN
477.45	733.8	NaN	512.69	789.66	NaN
477.24	733.81	NaN	513.02	789.16	NaN
477.26	733.33	NaN	513.38	788.88	NaN
477.22	733.63	NaN	513.77	788.79	NaN
477.47	733.4	NaN	513.89	787.7	NaN
477.27	733.55	NaN	514.12	786.94	NaN
477.22	733.62	NaN	514.43	786.49	NaN
477.07	733.74	NaN	514.59	785.84	NaN
476.93	733.88	NaN	514.77	785.04	NaN
476.83	733.88	NaN	515.17	784.43	NaN
477.26	733.83	NaN	515.99	784.41	NaN
476.93	734.88	NaN	516.67	784.68	NaN
476.7	735.57	NaN	517.32	784.97	NaN
476.45	736.17	NaN	517.77	784.87	NaN
476	737.55	NaN	518.5	785.19	NaN
475.8	737.43	NaN	518.93	785.04	NaN
475.6	737.73	NaN	519.41	785.09	NaN
475.9	739.12	NaN	519.52	784.48	NaN
475.52	741.33	NaN	519.93	784.51	NaN
475	743.29	NaN	520.32	784.76	NaN
474.45	745.27	NaN	520.69	784.77	NaN
474.12	746.82	NaN	521	784.65	NaN
473.61	748.54	NaN	521.47	784.6	NaN
473.57	749.04	NaN	522.19	784.59	NaN
473.25	750.29	NaN	522.6	784.41	NaN
472.98	751.88	NaN	523.15	784.14	NaN
472.66	752.81	NaN	523.65	783.75	NaN
472.58	752.88	NaN	524.46	783.59	NaN
472.43	753.36	NaN	525.55	783.85	NaN
472.18	753.84	NaN	526.58	784.76	NaN
471.9	754.82	NaN	527.62	785.45	NaN
471.61	754.71	NaN	528.26	785.58	NaN
471.43	754.55	NaN	529.41	786.53	NaN
471.26	754.85	NaN	530.01	786.36	NaN
471.52	754.58	NaN	530.96	786.91	NaN
471.68	754.56	NaN	531.54	786.65	NaN
471.82	754.39	NaN	531.97	786.17	NaN
471.9	754.33	NaN	533.66	787.45	NaN
471.94	753.9	NaN	535.06	789.03	NaN
472.08	753.34	NaN	536.17	789.97	NaN
