X1	Y1	ProbId1	X2	Y2	ProbId2	
571.69	575.36	NaN	620.05	498.59	NaN
571.63	575.34	NaN	620.33	498.66	NaN
571.46	575.45	NaN	620.37	498.65	NaN
571.14	575.64	NaN	620.15	498.93	NaN
570.72	575.98	NaN	620.82	498.71	NaN
570.47	576.09	NaN	620.69	498.91	NaN
570.49	575.99	NaN	620.78	498.96	NaN
570.22	576.13	NaN	621.13	498.9	NaN
570.24	576.06	NaN	621.12	499.05	NaN
570.4	575.9	NaN	621.28	499.14	NaN
569.75	576.33	NaN	621.49	499.18	NaN
569.8	576.38	NaN	620.9	499.65	NaN
569.64	576.58	NaN	621.52	499.57	NaN
569.15	577.02	NaN	621.74	499.63	NaN
569.05	577.14	NaN	621.93	499.77	NaN
568.59	577.6	NaN	621.61	500.19	NaN
568.39	577.85	NaN	621.35	500.45	NaN
568.18	578.03	NaN	621.98	500.32	NaN
568.15	578.1	NaN	621.93	500.57	NaN
567.73	578.47	NaN	621.71	500.84	NaN
567.56	578.68	NaN	621.57	501.09	NaN
567.47	578.81	NaN	621.47	501.29	NaN
567.59	578.68	NaN	621.43	501.48	NaN
566.99	579.13	NaN	621.19	501.79	NaN
566.74	579.38	NaN	621.13	501.99	NaN
566.36	579.64	NaN	621.4	502.12	NaN
566.2	579.85	NaN	621.01	502.51	NaN
565.99	580.04	NaN	621.34	502.6	NaN
565.72	580.37	NaN	621.36	502.79	NaN
564.87	580.94	NaN	621.64	502.81	NaN
565.57	580.7	NaN	621.89	502.94	NaN
565.84	580.63	NaN	621.64	503.15	NaN
565.95	580.65	NaN	622.27	503.06	NaN
566.24	580.49	NaN	622.08	503.29	NaN
566.5	580.51	NaN	622.16	503.35	NaN
567.17	580.1	NaN	621.97	503.61	NaN
567.6	579.86	NaN	622	503.66	NaN
567.84	579.79	NaN	622.42	503.62	NaN
568.11	579.65	NaN	622.04	503.87	NaN
568.58	579.47	NaN	622.12	503.89	NaN
568.51	579.69	NaN	622.19	503.99	NaN
568.96	579.61	NaN	622.01	504.14	NaN
568.91	579.73	NaN	621.8	504.41	NaN
569.36	579.66	NaN	622.24	504.38	NaN
569.25	579.91	NaN	622.29	504.49	NaN
569.12	580.14	NaN	622.24	504.57	NaN
569.7	579.81	NaN	622.14	504.66	NaN
569.95	579.82	NaN	622.35	504.66	NaN
569.8	579.99	NaN	622.12	504.84	NaN
