X1	Y1	ProbId1	
1005.1	979.86	NaN
1004.9	980.04	NaN
1005.1	979.9	NaN
1005.3	979.82	NaN
1005.3	979.83	NaN
1005.3	979.84	NaN
1005	979.93	NaN
1004.9	979.95	NaN
1004.9	979.98	NaN
1005.1	979.87	NaN
1005.1	979.85	NaN
1005	979.89	NaN
1004.9	979.99	NaN
1005	979.93	NaN
1005.1	979.87	NaN
1005.1	979.83	NaN
1005.2	979.78	NaN
1005.1	979.78	NaN
1005.1	979.79	NaN
1005.1	979.8	NaN
1004.8	979.93	NaN
1005.2	979.67	NaN
1004.8	979.97	NaN
1005.1	979.8	NaN
1004.9	979.94	NaN
1005	979.82	NaN
1005	979.87	NaN
1004.9	979.8	NaN
1005.2	979.71	NaN
1005	979.84	NaN
1005	979.75	NaN
1005	979.77	NaN
1004.9	979.82	NaN
1005.1	979.72	NaN
1005.2	979.62	NaN
1005.2	979.6	NaN
1004.9	979.79	NaN
1005.1	979.64	NaN
1005.1	979.77	NaN
1005.1	979.7	NaN
1004.8	979.89	NaN
1005	979.8	NaN
1005.1	979.71	NaN
1004.9	979.79	NaN
1005	979.81	NaN
1004.9	979.9	NaN
1005.3	979.61	NaN
1005.2	979.81	NaN
1004.9	979.95	NaN
1004.9	979.98	NaN
1004.6	980.17	NaN
1004.9	980	NaN
1004.8	980.1	NaN
1005	979.91	NaN
1004.7	980.14	NaN
1004.8	980.05	NaN
1005	979.97	NaN
1004.8	980.06	NaN
1004.7	980.12	NaN
1005	979.98	NaN
1004.7	980.13	NaN
1004.7	980.16	NaN
1004.8	980.14	NaN
1005.1	980	NaN
1005	980.1	NaN
1005	980.11	NaN
1005.1	980.12	NaN
1005	980.13	NaN
1005.1	980.08	NaN
1005	980.14	NaN
1004.9	980.2	NaN
1004.9	980.24	NaN
1005	980.21	NaN
1005.1	980.2	NaN
1005.1	980.17	NaN
1005	980.2	NaN
1005	980.24	NaN
1005.2	980.13	NaN
1004.8	980.3	NaN
1005.2	980.13	NaN
1005.3	980.04	NaN
1005.1	980.14	NaN
1005.1	980.11	NaN
1005.2	980.08	NaN
1005	980.19	NaN
1005.1	980.13	NaN
1005.2	979.98	NaN
1005.4	979.87	NaN
1005.1	980.06	NaN
1004.9	980.17	NaN
1005.1	980.03	NaN
1005.2	980.02	NaN
1004.9	980.09	NaN
1004.8	980.14	NaN
1005.1	980.03	NaN
1004.9	980.1	NaN
1004.9	980.13	NaN
1005.1	980.04	NaN
1005	980.03	NaN
1005.1	980.05	NaN
1005	980.06	NaN
1005.2	979.93	NaN
1004.9	980.12	NaN
1004.6	980.25	NaN
1004.9	980.15	NaN
1004.8	980.16	NaN
1004.8	980.23	NaN
1005.2	980	NaN
1004.9	980.13	NaN
1004.8	980.17	NaN
1004.8	980.18	NaN
1004.8	980.17	NaN
1004.8	980.1	NaN
1004.8	980.07	NaN
1004.6	980.21	NaN
1004.8	980.18	NaN
1005	980.09	NaN
1004.9	980.17	NaN
1004.8	980.2	NaN
1004.8	980.21	NaN
1004.8	980.23	NaN
1004.9	980.04	NaN
1005.1	980.01	NaN
1004.9	980.09	NaN
1004.8	980.13	NaN
1004.8	980.2	NaN
1004.9	980.23	NaN
1005.1	980.03	NaN
1004.9	980.22	NaN
1005	980.12	NaN
1005	980.16	NaN
1004.8	980.17	NaN
1004.9	980.16	NaN
1005.1	980.1	NaN
1005.1	980.06	NaN
1005.1	980.02	NaN
1005.2	980.01	NaN
1005	980.06	NaN
1005	980.14	NaN
1005.3	979.93	NaN
1005.2	979.98	NaN
1005	979.96	NaN
1005.1	979.9	NaN
1005	980.06	NaN
1004.9	980.07	NaN
1004.9	980.1	NaN
1004.9	980.11	NaN
1004.8	980.14	NaN
1004.8	980.17	NaN
1004.8	980.18	NaN
1004.9	980.07	NaN
1004.7	980.23	NaN
1004.9	980.12	NaN
1005	979.98	NaN
1004.7	980.15	NaN
1004.8	980.08	NaN
1004.9	980.01	NaN
1005.1	979.87	NaN
1004.9	980.01	NaN
1005	980.02	NaN
1004.8	980.1	NaN
1004.9	979.98	NaN
1004.8	980.11	NaN
1004.8	980.09	NaN
1005	979.92	NaN
1005	979.97	NaN
1004.8	980.05	NaN
1005.1	979.88	NaN
1004.9	979.96	NaN
1004.9	979.97	NaN
1004.9	979.93	NaN
1005.1	979.81	NaN
1005.1	979.83	NaN
1004.9	980.02	NaN
1004.8	980.06	NaN
1005	979.93	NaN
1005	979.93	NaN
1004.8	980.01	NaN
1004.8	980.09	NaN
1004.9	980.06	NaN
1005.1	979.9	NaN
1005	979.94	NaN
1005	979.9	NaN
1005.2	979.81	NaN
1005.1	979.85	NaN
1004.8	980.1	NaN
1004.9	980.06	NaN
1005	979.97	NaN
1005.2	979.8	NaN
1005.2	979.75	NaN
1005.1	979.82	NaN
1005.2	979.77	NaN
1005.1	979.89	NaN
1005	979.92	NaN
1005	979.91	NaN
1005.4	979.74	NaN
1005	979.87	NaN
1005	979.94	NaN
1005	979.9	NaN
1005	979.89	NaN
1005	979.91	NaN
1005	979.86	NaN
1005.1	979.75	NaN
1005	979.9	NaN
1005.2	979.77	NaN
1005	979.85	NaN
1005.3	979.71	NaN
1005.1	979.83	NaN
1005.1	979.83	NaN
1004.9	980.01	NaN
1005.1	979.9	NaN
1005.1	979.92	NaN
1005	979.95	NaN
1004.8	980.06	NaN
1005.1	979.9	NaN
1004.9	979.98	NaN
1005.1	979.83	NaN
1005.2	979.78	NaN
1005.2	979.76	NaN
1005.1	979.85	NaN
1005.2	979.81	NaN
1005.1	979.94	NaN
1005	979.82	NaN
1005.2	979.76	NaN
1005	979.92	NaN
1004.9	979.96	NaN
1005	979.94	NaN
1005	979.9	NaN
1004.8	979.94	NaN
1005	979.84	NaN
1005.2	979.76	NaN
1004.8	980.04	NaN
1004.8	980	NaN
1004.9	979.91	NaN
1004.8	980.01	NaN
1004.9	979.94	NaN
1004.7	980.1	NaN
1004.7	980.06	NaN
1004.8	980.08	NaN
1004.8	980.04	NaN
1005.1	979.88	NaN
1004.9	979.94	NaN
1004.9	979.97	NaN
1004.8	980.02	NaN
1004.8	980.06	NaN
1004.6	980.1	NaN
1005	979.9	NaN
1004.7	980.09	NaN
1005	979.86	NaN
1004.5	980.21	NaN
1004.5	980.21	NaN
1004.5	980.16	NaN
1004.6	980.14	NaN
1004.7	980.13	NaN
1004.6	980.13	NaN
1004.6	980.15	NaN
1004.7	980.17	NaN
