X1	Y1	ProbId1	
885.42	1040.6	NaN
885.42	1040.6	NaN
885.42	1040.6	NaN
885.42	1040.6	NaN
889.56	1039	NaN
882.17	1041.8	NaN
881.37	1042.1	NaN
881.02	1042.2	NaN
880.67	1042.2	NaN
879.86	1042.5	NaN
879.45	1042.6	NaN
879.09	1042.5	NaN
878.12	1042.7	NaN
877.78	1042.7	NaN
877.03	1042.9	NaN
876.56	1042.9	NaN
875.93	1043	NaN
875.64	1042.9	NaN
875.21	1042.9	NaN
873.83	1043	NaN
873.83	1042.8	NaN
873.32	1042.8	NaN
873.24	1042.8	NaN
872.56	1042.8	NaN
871.26	1042.8	NaN
870.72	1042.7	NaN
870.62	1042.5	NaN
869.78	1042.6	NaN
869.78	1042.5	NaN
869.23	1042.5	NaN
868.26	1042.4	NaN
867.86	1042.3	NaN
867.33	1042.2	NaN
866.96	1042.1	NaN
866.27	1042.1	NaN
865.87	1041.9	NaN
865.6	1042.1	NaN
864.6	1042	NaN
864.66	1042	NaN
863.89	1041.9	NaN
863.55	1041.9	NaN
861.89	1041.6	NaN
861.13	1041.8	NaN
861.64	1042	NaN
860.36	1041.9	NaN
859.73	1041.8	NaN
858.92	1041.7	NaN
858.52	1041.7	NaN
858.08	1041.7	NaN
856.08	1041.3	NaN
856.77	1041.7	NaN
855.81	1041.7	NaN
854.96	1041.6	NaN
853.9	1041.5	NaN
853.6	1041.4	NaN
852.77	1041.4	NaN
852.44	1041.3	NaN
851.64	1041.2	NaN
851.53	1041.3	NaN
849.8	1041	NaN
849.97	1041.2	NaN
849.32	1041.2	NaN
848.43	1041.1	NaN
847.75	1041	NaN
847.13	1040.8	NaN
845.87	1040.5	NaN
845.11	1040.6	NaN
844.54	1040.6	NaN
843.31	1040.4	NaN
842.45	1040.2	NaN
841.38	1040	NaN
840.27	1039.9	NaN
839.98	1040	NaN
838.55	1039.5	NaN
837.33	1039.2	NaN
836.4	1039	NaN
835.28	1038.6	NaN
833.35	1038.2	NaN
832.95	1038.2	NaN
831.48	1037.9	NaN
830.04	1037.5	NaN
829.2	1037.2	NaN
827.85	1036.8	NaN
825.76	1036.4	NaN
825.12	1036.3	NaN
823.71	1035.9	NaN
822.38	1035.5	NaN
821.02	1035.1	NaN
820.06	1034.9	NaN
818.69	1034.4	NaN
817.28	1034.2	NaN
815.78	1033.9	NaN
813.67	1033.2	NaN
812.19	1032.9	NaN
810.64	1032.4	NaN
809.47	1032	NaN
807.92	1031.5	NaN
806.5	1031.4	NaN
804.89	1031	NaN
803.28	1030.6	NaN
801.75	1030.2	NaN
800.18	1029.8	NaN
798.8	1029.4	NaN
797.51	1029	NaN
796.41	1028.7	NaN
795.03	1028.3	NaN
793.64	1028.2	NaN
792	1028	NaN
790.21	1027.8	NaN
788.8	1027.5	NaN
787.55	1027.3	NaN
786.33	1027.2	NaN
785.38	1027	NaN
784.15	1026.8	NaN
782.53	1026.6	NaN
781.62	1026.4	NaN
781	1026.3	NaN
779.52	1026	NaN
777.83	1025.8	NaN
777.4	1025.8	NaN
776.8	1025.7	NaN
775.52	1025.7	NaN
773.68	1025.7	NaN
772.63	1025.6	NaN
771.49	1025.6	NaN
770.74	1025.6	NaN
769.93	1025.6	NaN
769.06	1025.8	NaN
768.02	1025.8	NaN
767.55	1025.8	NaN
766.62	1025.8	NaN
765.89	1025.8	NaN
764.94	1025.7	NaN
763.94	1025.7	NaN
762.97	1025.7	NaN
762.17	1025.7	NaN
761	1025.7	NaN
760.4	1025.7	NaN
759.3	1025.7	NaN
758.61	1025.8	NaN
757.88	1025.9	NaN
757.61	1025.8	NaN
756.21	1025.7	NaN
754.98	1025.6	NaN
754.84	1025.6	NaN
753.81	1025.6	NaN
753.26	1025.6	NaN
752.02	1025.6	NaN
750.65	1025.3	NaN
750.23	1025.3	NaN
749.87	1025.3	NaN
748.49	1025.3	NaN
747.85	1025.3	NaN
746.82	1025.2	NaN
746.39	1025.2	NaN
745.65	1025.2	NaN
744.42	1024.8	NaN
743.02	1024.4	NaN
741.42	1024	NaN
740.21	1023.8	NaN
739	1023.5	NaN
738.48	1023.3	NaN
737.63	1023.2	NaN
736.17	1022.9	NaN
734.33	1022.4	NaN
733.32	1022.1	NaN
732.34	1021.8	NaN
731.12	1021.4	NaN
730.17	1021.2	NaN
729.1	1020.8	NaN
727.72	1020.4	NaN
726.6	1020.2	NaN
724.78	1019.7	NaN
