X1	Y1	ProbId1	
695.55	448.05	NaN
695.55	448.05	NaN
691.38	448.25	NaN
695.55	448.05	NaN
691.38	448.25	NaN
695.55	448.05	NaN
695.55	448.05	NaN
736.72	452.13	NaN
739.82	452.51	NaN
744.07	453.56	NaN
748.42	454.02	NaN
753.02	454.71	NaN
757.64	455.38	NaN
762.33	455.66	NaN
768.38	456.83	NaN
773.94	457.06	NaN
779.88	457.29	NaN
785.24	457.63	NaN
789.57	457.82	NaN
793.31	457.86	NaN
797.62	458.09	NaN
802.34	458.29	NaN
806.79	458.56	NaN
810	458.86	NaN
815.02	459.91	NaN
820.21	460.41	NaN
825.25	461.07	NaN
829.49	461.37	NaN
833.37	461.83	NaN
837.95	462.2	NaN
840.4	462.34	NaN
844.44	463.01	NaN
850.69	464.19	NaN
856.88	464.69	NaN
861.16	464.95	NaN
864.67	465.19	NaN
869.8	465.57	NaN
874.17	466	NaN
877.18	466.19	NaN
880.29	466.35	NaN
885.53	466.91	NaN
888.4	467.12	NaN
891.06	467.27	NaN
893.73	467.45	NaN
896.27	467.54	NaN
896.32	467.83	NaN
897.31	467.3	NaN
898.18	466.54	NaN
899.81	465.22	NaN
901.27	463.88	NaN
900.33	462.93	NaN
898.27	461.94	NaN
896.01	459.1	NaN
894.14	457.58	NaN
891.45	455.59	NaN
888.23	455.55	NaN
884.06	455.28	NaN
879.38	454.71	NaN
873.67	455.72	NaN
868.48	456.34	NaN
861.39	457.71	NaN
853.91	459.02	NaN
845.69	460.56	NaN
837.27	462.24	NaN
829.28	463.48	NaN
821.77	464.63	NaN
815.36	465.68	NaN
808.65	466.74	NaN
803.22	467.96	NaN
793.77	469.13	NaN
784.75	469.62	NaN
774.28	470.47	NaN
764.63	471.33	NaN
755.82	471.8	NaN
745.86	473.8	NaN
733.68	475.6	NaN
721.58	478.19	NaN
711.29	480	NaN
701.08	481.98	NaN
691.85	484.06	NaN
683.2	485.97	NaN
675.75	487.62	NaN
667.94	489.4	NaN
660.88	491.93	NaN
651	495.23	NaN
639.83	498.73	NaN
629.02	503.18	NaN
618.95	507.11	NaN
610.31	510.61	NaN
602.22	513.94	NaN
594.07	517.58	NaN
587.43	522.85	NaN
578.89	529.51	NaN
571.01	537.48	NaN
563.27	545.51	NaN
556.05	554.06	NaN
548.3	561.8	NaN
540.92	571.14	NaN
532.41	580.35	NaN
525.5	588.4	NaN
518.56	595.99	NaN
512.62	602.53	NaN
506.5	609.24	NaN
500.96	615.48	NaN
496.23	620.97	NaN
492.25	626.12	NaN
487.26	634.74	NaN
481.54	643.44	NaN
477.04	653.39	NaN
472.79	661.75	NaN
468.87	671.93	NaN
464.25	682.37	NaN
462.12	690.9	NaN
459.83	700.67	NaN
457.73	709.68	NaN
455.92	718.48	NaN
454.46	726.16	NaN
453.21	733.11	NaN
452.49	739.49	NaN
453.74	747.93	NaN
454.52	756.21	NaN
457.19	764.29	NaN
460.08	772.26	NaN
463.11	780.37	NaN
465.72	787.17	NaN
468.22	793.42	NaN
470.94	799.93	NaN
473.21	805.28	NaN
475.47	812.22	NaN
477.35	818.98	NaN
480.37	828.13	NaN
482.41	835.24	NaN
484.47	841.89	NaN
486.47	848.36	NaN
488.39	854.61	NaN
490.14	860.1	NaN
491.94	865.68	NaN
493.58	870.76	NaN
495.93	875.54	NaN
498.68	882.51	NaN
501.9	889.54	NaN
506	897.28	NaN
509.97	905.14	NaN
513.49	911.96	NaN
517.23	920.12	NaN
520.07	926.13	NaN
523.12	932.61	NaN
525.8	938.16	NaN
528.49	943.62	NaN
530.83	948.58	NaN
533.14	953.18	NaN
535.32	957.54	NaN
537.22	961.32	NaN
539.23	965.09	NaN
540.86	968.28	NaN
541.75	970.25	NaN
543.23	972.36	NaN
545.76	974.49	NaN
548.04	975.96	NaN
550.02	977.04	NaN
551.79	977.81	NaN
552.5	977.8	NaN
554.51	976.84	NaN
556.8	976.11	NaN
558.61	975.27	NaN
559.6	974.61	NaN
560.89	973.28	NaN
561.95	971.89	NaN
562.97	970.45	NaN
563.66	969.13	NaN
565.06	964.84	NaN
565.08	963.33	NaN
564.83	963.83	NaN
565.37	960.15	NaN
565.09	957.89	NaN
564.82	956.67	NaN
565.02	953.73	NaN
564.1	951.22	NaN
563.08	948.69	NaN
562.38	945.9	NaN
561.02	942.69	NaN
559.66	939.84	NaN
