X1	Y1	ProbId1	
514.82	874.5	NaN
514.84	874.48	NaN
514.86	874.64	NaN
514.86	874.64	NaN
514.96	875.03	NaN
514.96	875.03	NaN
514.96	875.03	NaN
514.84	874.59	NaN
514.85	874.59	NaN
514.79	874.44	NaN
514.7	874.21	NaN
514.73	874.35	NaN
514.72	874.41	NaN
514.83	874.62	NaN
514.69	874.24	NaN
514.75	874.38	NaN
514.82	874.5	NaN
514.77	874.47	NaN
514.74	874.45	NaN
514.8	874.62	NaN
514.87	874.75	NaN
514.78	874.57	NaN
514.84	874.61	NaN
514.7	874.21	NaN
514.62	874.01	NaN
514.76	874.38	NaN
514.78	874.49	NaN
514.75	874.38	NaN
514.71	874.31	NaN
514.73	874.33	NaN
514.9	874.89	NaN
514.86	874.64	NaN
514.67	874.25	NaN
514.62	874.12	NaN
514.65	874.14	NaN
514.71	874.22	NaN
514.69	874.24	NaN
514.81	874.65	NaN
514.82	874.5	NaN
514.82	874.5	NaN
514.8	874.62	NaN
514.85	874.7	NaN
514.72	874.41	NaN
514.68	874.28	NaN
514.82	874.75	NaN
514.77	874.49	NaN
514.85	874.89	NaN
514.78	874.58	NaN
514.88	874.78	NaN
514.69	874.39	NaN
514.87	874.9	NaN
514.81	874.73	NaN
514.8	874.62	NaN
514.82	874.65	NaN
514.8	874.77	NaN
514.75	874.42	NaN
514.77	874.51	NaN
514.81	874.71	NaN
514.73	874.44	NaN
514.81	874.64	NaN
514.7	874.36	NaN
514.68	874.38	NaN
514.73	874.5	NaN
514.73	874.44	NaN
514.75	874.61	NaN
514.74	874.57	NaN
514.76	874.58	NaN
514.75	874.49	NaN
514.74	874.54	NaN
514.76	874.71	NaN
514.64	874.16	NaN
514.79	874.61	NaN
514.7	874.3	NaN
514.66	874.4	NaN
514.81	874.73	NaN
514.76	874.52	NaN
514.79	874.51	NaN
514.73	874.44	NaN
514.7	874.3	NaN
514.73	874.44	NaN
514.82	874.68	NaN
514.85	874.68	NaN
514.74	874.33	NaN
514.75	874.37	NaN
514.73	874.44	NaN
514.84	874.77	NaN
514.76	874.35	NaN
514.75	874.38	NaN
514.79	874.49	NaN
514.92	874.75	NaN
514.96	874.89	NaN
514.83	874.48	NaN
514.79	874.49	NaN
514.79	874.49	NaN
514.89	874.7	NaN
514.83	874.65	NaN
514.79	874.49	NaN
514.83	874.74	NaN
514.89	874.75	NaN
514.77	874.51	NaN
514.7	874.3	NaN
514.87	874.71	NaN
514.83	874.68	NaN
514.7	874.36	NaN
514.75	874.37	NaN
514.72	874.28	NaN
514.93	874.83	NaN
514.79	874.55	NaN
514.84	874.76	NaN
514.83	874.68	NaN
514.89	874.76	NaN
514.79	874.61	NaN
514.71	874.47	NaN
514.71	874.47	NaN
514.85	874.76	NaN
514.88	874.82	NaN
514.83	874.69	NaN
514.76	874.47	NaN
514.82	874.75	NaN
514.77	874.51	NaN
514.79	874.61	NaN
514.72	874.28	NaN
514.92	874.72	NaN
514.87	874.65	NaN
514.78	874.46	NaN
514.82	874.55	NaN
514.93	874.76	NaN
514.86	874.67	NaN
514.76	874.49	NaN
514.82	874.42	NaN
514.82	874.57	NaN
514.75	874.38	NaN
514.77	874.36	NaN
514.79	874.49	NaN
514.88	874.68	NaN
514.87	874.57	NaN
514.88	874.54	NaN
514.91	874.82	NaN
514.78	874.46	NaN
514.82	874.42	NaN
514.8	874.45	NaN
514.83	874.59	NaN
514.85	874.6	NaN
514.89	874.62	NaN
514.89	874.7	NaN
514.89	874.76	NaN
514.88	874.75	NaN
514.87	874.75	NaN
514.87	874.77	NaN
514.85	874.56	NaN
514.86	874.63	NaN
514.77	874.53	NaN
514.78	874.53	NaN
514.91	874.82	NaN
514.85	874.63	NaN
514.68	874.35	NaN
514.82	874.49	NaN
514.81	874.43	NaN
514.91	874.81	NaN
514.81	874.47	NaN
514.74	874.29	NaN
514.74	874.32	NaN
514.9	874.72	NaN
514.75	874.3	NaN
514.81	874.49	NaN
514.82	874.38	NaN
514.69	874.08	NaN
514.82	874.39	NaN
514.79	874.37	NaN
514.7	874.06	NaN
514.76	874.21	NaN
514.84	874.4	NaN
514.91	874.76	NaN
514.75	874.18	NaN
514.74	874.15	NaN
514.82	874.39	NaN
514.72	874.04	NaN
514.72	874.04	NaN
514.77	874.11	NaN
514.88	874.56	NaN
514.74	874.19	NaN
514.81	874.35	NaN
514.78	874.19	NaN
514.77	874.28	NaN
514.72	874.04	NaN
514.8	874.34	NaN
514.76	874.25	NaN
514.82	874.28	NaN
514.79	874.26	NaN
514.75	874.05	NaN
514.7	874.06	NaN
514.85	874.45	NaN
514.72	874.04	NaN
514.76	874.08	NaN
