X1	Y1	ProbId1	
872.39	845.3	NaN
872.28	845.35	NaN
872.43	845.19	NaN
872.28	845.35	NaN
872.26	845.32	NaN
872.24	845.36	NaN
872.5	845.13	NaN
872.24	845.34	NaN
872.14	845.46	NaN
872.33	845.32	NaN
872.43	845.22	NaN
872.39	845.23	NaN
872.28	845.35	NaN
872.21	845.45	NaN
872.44	845.27	NaN
872.39	845.3	NaN
872.25	845.42	NaN
872.22	845.41	NaN
872.39	845.3	NaN
872.39	845.3	NaN
872.4	845.29	NaN
872.3	845.43	NaN
872.5	845.23	NaN
872.35	845.43	NaN
872.38	845.41	NaN
872.38	845.41	NaN
872.65	845.27	NaN
872.38	845.41	NaN
872.7	845.17	NaN
872.61	845.34	NaN
872.01	845.81	NaN
872.34	845.54	NaN
872.36	845.53	NaN
872.43	845.48	NaN
872.61	845.26	NaN
872.65	845.21	NaN
872.53	845.32	NaN
872.34	845.5	NaN
872.41	845.49	NaN
872.24	845.65	NaN
872.51	845.38	NaN
872.48	845.42	NaN
872.15	845.7	NaN
872.17	845.72	NaN
871.95	845.97	NaN
872.16	845.8	NaN
872.68	845.41	NaN
872.61	845.51	NaN
872.74	845.42	NaN
872.81	845.35	NaN
872.96	845.2	NaN
872.68	845.39	NaN
872.87	845.21	NaN
872.7	845.33	NaN
872.72	845.34	NaN
872.85	845.21	NaN
872.78	845.22	NaN
872.82	845.19	NaN
872.92	845.08	NaN
872.62	845.33	NaN
872.61	845.31	NaN
872.62	845.28	NaN
872.47	845.4	NaN
872.73	845.12	NaN
872.71	845.18	NaN
872.56	845.3	NaN
872.76	845.08	NaN
872.81	845.07	NaN
872.65	845.23	NaN
872.59	845.24	NaN
872.33	845.43	NaN
872.61	845.2	NaN
872.31	845.39	NaN
872.29	845.41	NaN
872.19	845.44	NaN
871.77	845.72	NaN
871.81	845.67	NaN
871.87	845.6	NaN
871.87	845.6	NaN
872.39	845.22	NaN
872.39	845.22	NaN
872.39	845.2	NaN
872.38	845.22	NaN
872.48	845.13	NaN
872.55	845.06	NaN
872.65	844.97	NaN
872.19	845.36	NaN
872.16	845.32	NaN
872.07	845.33	NaN
872.27	845.18	NaN
872.28	845.07	NaN
872.16	845.13	NaN
872.3	845	NaN
872.36	844.9	NaN
872.39	844.85	NaN
872.1	845.16	NaN
872.24	845.02	NaN
872.1	845.22	NaN
871.9	845.42	NaN
872.18	845.15	NaN
872.16	845.09	NaN
872.38	844.97	NaN
872.36	845.01	NaN
872.16	845.18	NaN
872.31	845.03	NaN
872.34	844.98	NaN
872.37	844.93	NaN
872.21	845.07	NaN
872.2	845.13	NaN
872.28	845.03	NaN
872.02	845.25	NaN
872.1	845.24	NaN
872.39	844.95	NaN
872.16	845.2	NaN
872.1	845.25	NaN
872.11	845.27	NaN
872.34	845.03	NaN
872.41	845.01	NaN
872.23	845.13	NaN
872.12	845.33	NaN
872.06	845.4	NaN
872.18	845.23	NaN
872.29	845.08	NaN
872.28	845.1	NaN
872.48	844.91	NaN
872.1	845.24	NaN
872.31	845.02	NaN
872.13	845.3	NaN
872.26	845.13	NaN
872.3	845.12	NaN
872.28	845.14	NaN
872.39	845	NaN
872.15	845.2	NaN
872.08	845.31	NaN
872.52	844.82	NaN
872.31	845.02	NaN
872.14	845.27	NaN
872.25	845.1	NaN
872.29	845.07	NaN
872.49	844.9	NaN
872.34	845.04	NaN
872.37	844.99	NaN
872.2	845.22	NaN
872.27	845.19	NaN
872.23	845.14	NaN
872.39	845.04	NaN
872.38	845.05	NaN
872.09	845.28	NaN
872.18	845.33	NaN
872.23	845.37	NaN
872.18	845.36	NaN
872.24	845.3	NaN
872.34	845.31	NaN
872.28	845.44	NaN
872.19	845.48	NaN
872.35	845.36	NaN
872.31	845.44	NaN
872.27	845.51	NaN
872.15	845.64	NaN
872.44	845.34	NaN
872.29	845.5	NaN
872.33	845.5	NaN
872.34	845.55	NaN
872.42	845.5	NaN
872.32	845.58	NaN
872.31	845.67	NaN
872.27	845.68	NaN
872.6	845.39	NaN
872.42	845.52	NaN
872.58	845.44	NaN
872.37	845.65	NaN
872.57	845.48	NaN
872.62	845.42	NaN
872.46	845.59	NaN
872.57	845.55	NaN
872.56	845.6	NaN
872.44	845.63	NaN
872.46	845.72	NaN
872.62	845.49	NaN
872.51	845.63	NaN
872.29	845.84	NaN
872.4	845.84	NaN
872.51	845.75	NaN
872.49	845.78	NaN
872.78	845.62	NaN
872.91	845.45	NaN
872.86	845.49	NaN
872.72	845.58	NaN
872.43	845.8	NaN
872.3	845.83	NaN
872.16	845.88	NaN
872.38	845.76	NaN
872.9	845.42	NaN
872.64	845.59	NaN
872.72	845.44	NaN
872.73	845.46	NaN
872.99	845.13	NaN
872.61	845.36	NaN
872.75	845.23	NaN
872.82	845.2	NaN
872.67	845.26	NaN
872.66	845.21	NaN
872.64	845.2	NaN
872.65	845.18	NaN
872.66	845.11	NaN
872.57	845.13	NaN
872.57	845.1	NaN
873.01	844.71	NaN
872.13	845.31	NaN
872	845.45	NaN
872.08	845.36	NaN
872.17	845.24	NaN
872.46	845.13	NaN
872.69	844.93	NaN
872.33	845.29	NaN
871.97	845.53	NaN
871.76	845.66	NaN
871.87	845.57	NaN
872.03	845.48	NaN
872.46	845.09	NaN
872.45	845.08	NaN
872.3	845.33	NaN
872.39	845.2	NaN
872.35	845.28	NaN
871.83	845.67	NaN
872.14	845.35	NaN
872.18	845.38	NaN
872.11	845.47	NaN
871.9	845.75	NaN
872.05	845.61	NaN
872.21	845.45	NaN
872.33	845.32	NaN
872.17	845.45	NaN
872.19	845.44	NaN
872.27	845.39	NaN
872.34	845.34	NaN
872.19	845.47	NaN
872.16	845.5	NaN
872.13	845.45	NaN
872.41	845.23	NaN
872.38	845.31	NaN
872.44	845.26	NaN
872.4	845.27	NaN
872.24	845.41	NaN
872.07	845.64	NaN
872.23	845.48	NaN
872.32	845.37	NaN
872.32	845.37	NaN
