X1	Y1	ProbId1	
708.46	554.82	NaN
710.45	554.39	NaN
711.67	554.18	NaN
712.63	553.8	NaN
713.98	553.6	NaN
715.21	553.33	NaN
716.5	553.28	NaN
NaN	NaN	NaN
719.89	553.31	NaN
721.39	553.02	NaN
722.7	552.79	NaN
NaN	NaN	NaN
725.94	552.39	NaN
727.85	552.33	NaN
NaN	NaN	NaN
731.08	551.76	NaN
NaN	NaN	NaN
735.23	551.31	NaN
736.71	550.95	NaN
739.12	550.41	NaN
NaN	NaN	NaN
741.95	549.39	NaN
744.95	548.71	NaN
746.2	548.42	NaN
747.62	547.92	NaN
749.77	547.35	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
756.05	545.65	NaN
NaN	NaN	NaN
759.6	545.05	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
768.78	541.9	NaN
NaN	NaN	NaN
772.38	540.83	NaN
NaN	NaN	NaN
775.59	539.76	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
782.71	537.59	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
789.57	534.98	NaN
NaN	NaN	NaN
NaN	NaN	NaN
794.84	532.91	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
NaN	NaN	NaN
