X1	Y1	ProbId1	
1090.6	761.7	NaN
1090.7	765.08	NaN
1088.9	769.95	NaN
1087.2	773.61	NaN
1085.3	778.23	NaN
1083.9	781.56	NaN
1082.3	785.38	NaN
1080.8	788.81	NaN
1079.4	792.03	NaN
1078.2	794.66	NaN
1077	797.28	NaN
1075.9	799.75	NaN
1074.5	802.92	NaN
1073.5	805.12	NaN
1072.6	806.98	NaN
1071.8	808.75	NaN
1070.9	811.03	NaN
1069.7	812.65	NaN
1066.4	814.14	NaN
1062.8	815.37	NaN
1060.1	816.04	NaN
1057	816.69	NaN
1054.8	816.93	NaN
1051.8	817.41	NaN
1049.9	817.56	NaN
1047.3	817.76	NaN
1045.6	817.73	NaN
1043.9	817.68	NaN
1041.8	817.8	NaN
1039	815.64	NaN
1036.8	813.2	NaN
1034	810.46	NaN
1031.4	807.82	NaN
1029.1	805.29	NaN
1027.3	803.14	NaN
1025.7	800.83	NaN
1024.4	798.89	NaN
1023.1	793.47	NaN
1019.5	785.81	NaN
1018	778.89	NaN
1015.8	771.78	NaN
1014	764.95	NaN
1012.3	758.4	NaN
1010.9	752.77	NaN
1009.5	746.32	NaN
1008.3	741.02	NaN
1007.2	735.31	NaN
1008.9	727.87	NaN
1009.6	717.73	NaN
1012.8	706.62	NaN
1015	696.14	NaN
1017.7	685.49	NaN
1020.3	675.44	NaN
1022.8	665.92	NaN
1024.9	657.71	NaN
1026.9	649.57	NaN
1028.6	641.77	NaN
1029.1	634.27	NaN
1027.5	624.52	NaN
1026.4	615.47	NaN
1024	606.23	NaN
1022.1	598.95	NaN
1020.3	591.43	NaN
1018.7	584.27	NaN
1017.2	577.28	NaN
1016.2	571.63	NaN
1015.2	565.93	NaN
1011.1	560.36	NaN
1005.1	554.04	NaN
999.38	547.41	NaN
993.49	540.57	NaN
989.28	535.84	NaN
983.72	529.5	NaN
980.57	526.12	NaN
975.28	520.15	NaN
971.81	516.49	NaN
968.24	512.67	NaN
963.39	507.37	NaN
960.46	504.25	NaN
957.48	501.19	NaN
954.3	497.96	NaN
951.23	494.76	NaN
948.18	491.61	NaN
945.18	488.51	NaN
942.76	486.15	NaN
938.69	482.47	NaN
932.21	480.95	NaN
925.42	478.26	NaN
918.94	475.47	NaN
913.48	473.07	NaN
908.32	470.76	NaN
903.82	468.71	NaN
898.51	466.33	NaN
893.89	464.13	NaN
890.49	462.54	NaN
885.56	460.3	NaN
881.21	459.15	NaN
875.67	458.76	NaN
867.57	456.91	NaN
860.81	455.43	NaN
855.32	454.18	NaN
849.25	452.6	NaN
843.41	451	NaN
838.48	449.55	NaN
833.51	448.09	NaN
828.48	446.63	NaN
824.56	445.48	NaN
820.58	444.31	NaN
816.48	443.12	NaN
812.77	442.14	NaN
808.75	440.96	NaN
805.15	440.04	NaN
802.01	439.16	NaN
798.13	438.07	NaN
794.59	438.3	NaN
786.65	437.96	NaN
780.06	437.21	NaN
774.38	436.59	NaN
768.7	435.76	NaN
764.27	435.09	NaN
759.45	434.24	NaN
754.46	433.26	NaN
749.81	432.22	NaN
746.14	430.71	NaN
742.92	429.03	NaN
738.69	426.61	NaN
735.93	425.08	NaN
