X1	Y1	ProbId1	
717.94	885.54	NaN
717.95	885.67	NaN
717.97	885.76	NaN
717.92	885.78	NaN
717.84	885.67	NaN
717.84	885.67	NaN
717.84	885.67	NaN
717.77	885.58	NaN
717.86	885.75	NaN
717.84	885.67	NaN
717.92	885.78	NaN
717.92	885.78	NaN
717.92	885.78	NaN
717.98	885.92	NaN
717.84	885.77	NaN
718.03	886.14	NaN
717.86	886.03	NaN
717.77	885.92	NaN
717.95	886.17	NaN
717.61	885.76	NaN
717.59	885.84	NaN
717.52	885.9	NaN
717.61	886.08	NaN
717.46	885.87	NaN
717.53	886.03	NaN
717.44	885.92	NaN
717.38	885.88	NaN
717.39	885.94	NaN
717.45	886.27	NaN
717.49	886.34	NaN
717.48	886.38	NaN
717.19	886	NaN
717.28	886.3	NaN
717.06	886.13	NaN
717.08	886.17	NaN
717.11	886.23	NaN
717.16	886.37	NaN
717.11	886.27	NaN
717.03	886.23	NaN
716.97	886.18	NaN
717.06	886.3	NaN
717.11	886.45	NaN
717.09	886.51	NaN
717.02	886.52	NaN
717.16	886.79	NaN
717.05	886.65	NaN
717.05	886.65	NaN
716.78	886.58	NaN
716.73	886.58	NaN
716.49	886.44	NaN
716.42	886.39	NaN
716.3	886.28	NaN
716.4	886.54	NaN
716.62	886.92	NaN
716.76	887.17	NaN
716.49	886.97	NaN
716.49	886.97	NaN
716.47	886.98	NaN
716.46	887.05	NaN
716.59	887.36	NaN
716.62	887.5	NaN
716.52	887.46	NaN
716.48	887.44	NaN
716.43	887.49	NaN
716.45	887.58	NaN
716.45	887.62	NaN
716.48	887.72	NaN
716.48	887.75	NaN
716.31	887.55	NaN
716.43	887.76	NaN
716.25	887.53	NaN
716.38	887.73	NaN
716.33	887.62	NaN
716.24	887.56	NaN
715.92	887.23	NaN
716.25	887.65	NaN
715.97	887.37	NaN
716.12	887.64	NaN
716.14	887.71	NaN
716.08	887.7	NaN
715.95	887.55	NaN
715.89	887.51	NaN
715.65	887.27	NaN
715.68	887.32	NaN
715.92	887.65	NaN
715.63	887.32	NaN
715.52	887.31	NaN
715.73	887.6	NaN
715.86	887.89	NaN
715.71	887.88	NaN
715.93	888.24	NaN
715.78	888.09	NaN
715.77	888.18	NaN
715.62	888.02	NaN
715.74	888.24	NaN
715.46	887.89	NaN
715.46	887.98	NaN
715.68	888.35	NaN
715.77	888.39	NaN
715.7	888.3	NaN
715.5	888.08	NaN
715.77	888.57	NaN
715.57	888.37	NaN
715.63	888.49	NaN
715.47	888.35	NaN
715.53	888.47	NaN
715.36	888.33	NaN
714.87	887.82	NaN
715.13	888.17	NaN
715.31	888.45	NaN
715.07	888.26	NaN
715.13	888.54	NaN
715.06	888.51	NaN
715.11	888.58	NaN
715.42	889.05	NaN
715.31	888.95	NaN
715.37	889.14	NaN
715.3	889.11	NaN
715.24	888.96	NaN
715.09	888.94	NaN
715.03	888.9	NaN
715	888.97	NaN
715.06	889.09	NaN
714.91	888.94	NaN
714.92	889.08	NaN
714.76	888.94	NaN
714.86	889.02	NaN
714.74	888.95	NaN
714.87	889.1	NaN
714.95	889.17	NaN
714.74	888.98	NaN
714.76	889.02	NaN
714.69	889.25	NaN
714.52	889.1	NaN
714.77	889.45	NaN
714.63	889.46	NaN
714.88	889.69	NaN
714.68	889.51	NaN
714.75	889.65	NaN
714.83	889.74	NaN
714.48	889.48	NaN
714.47	889.55	NaN
714.3	889.4	NaN
714.59	889.64	NaN
714.58	889.66	NaN
714.62	889.82	NaN
714.55	889.78	NaN
714.45	889.59	NaN
714.23	889.53	NaN
714.13	889.54	NaN
714.28	889.63	NaN
714.42	889.73	NaN
714.35	889.86	NaN
714.36	889.83	NaN
714.19	889.69	NaN
714.53	889.95	NaN
714.47	889.83	NaN
714.25	889.67	NaN
714.52	889.98	NaN
714.26	889.71	NaN
714.56	889.94	NaN
714.53	889.95	NaN
714.34	889.81	NaN
714.16	889.68	NaN
714.33	889.84	NaN
714.43	889.95	NaN
714.52	890.12	NaN
714.19	889.77	NaN
714.16	889.83	NaN
714.59	890.21	NaN
714.55	890.21	NaN
714.58	890.29	NaN
714.4	890.07	NaN
714.4	890.08	NaN
714.38	890.02	NaN
714.4	890.08	NaN
714.27	889.91	NaN
714.42	890.14	NaN
714.45	890.11	NaN
714.76	890.4	NaN
714.46	890.22	NaN
714.6	890.34	NaN
714.05	889.83	NaN
714.06	889.83	NaN
714.27	890.06	NaN
714.27	890.06	NaN
714.18	890.02	NaN
714.37	890.11	NaN
714.37	890.12	NaN
714.42	890.2	NaN
714.36	890.18	NaN
714.46	890.27	NaN
714.56	890.38	NaN
714.38	890.33	NaN
714.38	890.36	NaN
714.16	890.23	NaN
714.35	890.38	NaN
714.21	890.27	NaN
713.95	890.12	NaN
714	890.26	NaN
714.31	890.63	NaN
714.16	890.65	NaN
714.15	890.68	NaN
713.7	890.36	NaN
713.73	890.38	NaN
713.91	890.58	NaN
713.72	890.45	NaN
713.79	890.6	NaN
713.85	890.71	NaN
714.03	890.89	NaN
713.68	890.6	NaN
713.63	890.62	NaN
713.8	890.77	NaN
713.52	890.76	NaN
713.63	890.98	NaN
713.51	890.94	NaN
713.34	890.81	NaN
713.34	890.85	NaN
713.52	891.11	NaN
713.66	891.36	NaN
713.71	891.42	NaN
713.87	891.56	NaN
713.89	891.61	NaN
714.06	891.75	NaN
713.71	891.49	NaN
713.72	891.59	NaN
713.84	891.93	NaN
713.68	891.89	NaN
713.56	891.98	NaN
713.62	892.08	NaN
713.26	891.85	NaN
712.97	891.63	NaN
713.36	892	NaN
713.31	892.05	NaN
713.25	891.97	NaN
712.81	891.65	NaN
713.06	891.94	NaN
