X1	Y1	ProbId1	
834.02	537.6	NaN
833.88	537.28	NaN
833.77	536.93	NaN
833.68	536.66	NaN
833.78	536.77	NaN
833.73	536.51	NaN
833.65	536.38	NaN
833.31	535.5	NaN
833.51	535.9	NaN
833.3	535.44	NaN
833.02	534.6	NaN
832.79	534	NaN
832.82	534	NaN
832.57	533.36	NaN
832.68	533.36	NaN
832.51	532.93	NaN
832.25	532.4	NaN
832.26	532.21	NaN
832.19	532.12	NaN
832.12	531.86	NaN
831.95	531.5	NaN
831.93	531.37	NaN
831.81	530.9	NaN
831.38	529.57	NaN
831.22	529.15	NaN
831.49	529.68	NaN
831.05	528.31	NaN
830.95	528.02	NaN
830.88	527.67	NaN
830.74	527.09	NaN
830.67	526.93	NaN
830.52	526.2	NaN
830.51	526.09	NaN
830.35	525.65	NaN
830.22	524.93	NaN
830.23	524.91	NaN
830.23	524.91	NaN
829.93	523.93	NaN
829.88	523.57	NaN
829.71	523.14	NaN
829.84	523.26	NaN
829.7	522.87	NaN
829.72	522.74	NaN
829.8	522.71	NaN
829.73	522.32	NaN
829.57	521.86	NaN
829.48	521.45	NaN
829.5	521.52	NaN
829.41	521.11	NaN
829.36	521.02	NaN
829.32	520.72	NaN
829.38	520.83	NaN
829.26	520.29	NaN
829.14	520.02	NaN
829.16	519.82	NaN
828.88	519.02	NaN
828.84	518.91	NaN
828.78	518.56	NaN
828.8	518.54	NaN
828.62	517.96	NaN
828.68	517.94	NaN
828.58	517.67	NaN
828.52	517.48	NaN
828.49	517.31	NaN
828.39	516.95	NaN
828.32	516.7	NaN
828.3	516.45	NaN
828.17	516.11	NaN
828.11	515.96	NaN
828	515.57	NaN
827.91	515.18	NaN
827.78	514.74	NaN
827.8	514.69	NaN
827.6	513.91	NaN
827.51	513.64	NaN
827.4	513.33	NaN
827.37	513.35	NaN
827.22	512.91	NaN
827.2	512.58	NaN
827.18	512.39	NaN
827.05	511.79	NaN
827	512	NaN
826.88	511.7	NaN
826.85	511.52	NaN
826.69	511	NaN
826.5	510.45	NaN
826.44	510.27	NaN
826.3	509.6	NaN
826.32	509.75	NaN
826.2	509.41	NaN
826.11	509.11	NaN
825.96	508.84	NaN
825.93	508.82	NaN
825.76	508.3	NaN
825.73	508.33	NaN
825.56	507.67	NaN
825.57	507.02	NaN
825.36	505.81	NaN
825.35	505.43	NaN
825.27	504.85	NaN
825.19	504.02	NaN
825.25	504	NaN
825.16	503.44	NaN
825.04	502.75	NaN
824.96	502.1	NaN
824.91	502.04	NaN
824.79	501.58	NaN
824.67	500.93	NaN
824.67	500.75	NaN
824.62	500.58	NaN
824.5	499.9	NaN
824.57	499.94	NaN
824.47	499.27	NaN
824.26	498.54	NaN
824.31	498.6	NaN
824.36	498.32	NaN
824.18	497.9	NaN
824.17	497.54	NaN
824.19	497.53	NaN
824.06	497.12	NaN
823.94	496.44	NaN
824.28	496.04	NaN
824.84	496.27	NaN
825.18	495.45	NaN
825.04	495.87	NaN
824.42	495.2	NaN
824.1	495.35	NaN
823.96	494.65	NaN
824.11	494.37	NaN
824.11	494.09	NaN
823.79	494.29	NaN
823.78	494.16	NaN
823.6	493.47	NaN
823.23	492.36	NaN
822.8	492.82	NaN
822.4	492.02	NaN
822.32	492.26	NaN
821.97	492.52	NaN
821.25	491.63	NaN
821.28	491.45	NaN
822.16	491.29	NaN
823.11	490.75	NaN
823.42	490.73	NaN
823.25	490.65	NaN
822.97	490.86	NaN
822.72	491.32	NaN
822.47	490.55	NaN
822.52	490.62	NaN
822.52	490.21	NaN
822.63	490.71	NaN
822.65	490.45	NaN
822.63	490.58	NaN
822.44	490.02	NaN
822.39	490.18	NaN
822.37	489.87	NaN
822.52	490.08	NaN
822.54	490.3	NaN
822.51	490.44	NaN
822.48	490.68	NaN
822.52	490.55	NaN
822.48	490.38	NaN
822.55	490.45	NaN
822.56	490.44	NaN
822.47	490.35	NaN
822.42	490.55	NaN
822.36	490.09	NaN
822.44	490.03	NaN
822.34	490.02	NaN
822.34	489.64	NaN
822.41	490	NaN
822.49	490.31	NaN
822.49	489.92	NaN
822.44	489.72	NaN
822.41	489.95	NaN
822.46	490.08	NaN
822.51	490.19	NaN
822.47	490.47	NaN
822.34	489.95	NaN
822.24	489.41	NaN
822.14	488.9	NaN
822.15	489.13	NaN
822.15	489.13	NaN
822.15	489.13	NaN
822.15	489.13	NaN
822.15	489.3	NaN
822.17	489.54	NaN
822.17	489.54	NaN
822.13	489.39	NaN
822.13	489.39	NaN
822.13	488.96	NaN
822.15	489.13	NaN
822.23	490.07	NaN
822.12	489.38	NaN
822.13	489.46	NaN
822.21	489.91	NaN
822.17	489.21	NaN
822.33	490.33	NaN
822.33	490.53	NaN
822.33	490.26	NaN
822.26	489.94	NaN
822.35	490.04	NaN
822.46	490.37	NaN
822.52	490.6	NaN
822.44	490.47	NaN
822.48	490.74	NaN
822.55	490.75	NaN
822.47	490.36	NaN
822.48	490.74	NaN
822.36	490.16	NaN
822.32	490.07	NaN
822.36	490.11	NaN
822.36	490	NaN
822.37	490.25	NaN
822.35	490.12	NaN
822.39	489.98	NaN
822.32	489.89	NaN
822.27	489.84	NaN
822.22	489.69	NaN
822.25	489.67	NaN
822.25	489.67	NaN
822.25	489.67	NaN
822.29	489.71	NaN
822.28	489.46	NaN
822.28	489.46	NaN
822.28	489.36	NaN
822.31	489.39	NaN
822.26	489.04	NaN
822.31	489.39	NaN
822.31	489.39	NaN
822.38	489.27	NaN
822.34	489.38	NaN
822.44	489.54	NaN
822.44	489.54	NaN
822.47	489.98	NaN
822.38	489.75	NaN
822.49	489.67	NaN
822.46	489.62	NaN
822.44	489.54	NaN
822.49	489.67	NaN
822.42	489.55	NaN
822.47	489.55	NaN
822.51	490	NaN
822.57	490.02	NaN
822.57	490.02	NaN
822.55	489.9	NaN
822.55	489.85	NaN
822.6	490.11	NaN
822.58	490.21	NaN
822.61	490.22	NaN
822.61	490.06	NaN
822.6	490.06	NaN
822.63	490.08	NaN
822.65	489.89	NaN
822.66	490.09	NaN
822.86	490.28	NaN
822.78	490.27	NaN
822.78	490.27	NaN
822.78	490.27	NaN
822.76	490.36	NaN
822.78	490.27	NaN
822.81	490.44	NaN
822.81	490.44	NaN
822.84	490.12	NaN
822.88	490.5	NaN
822.83	490.36	NaN
822.83	490.09	NaN
822.92	490.06	NaN
822.87	490.17	NaN
822.91	490.33	NaN
822.84	490.3	NaN
822.87	490.24	NaN
822.91	491	NaN
822.81	490.33	NaN
822.86	490.14	NaN
822.98	491.11	NaN
823	491.22	NaN
822.93	490.33	NaN
822.98	490.85	NaN
823.12	491.52	NaN
823.11	491	NaN
823.18	491.59	NaN
823.18	491.41	NaN
823.25	491.78	NaN
823.23	491.52	NaN
823.39	492.35	NaN
823.52	492.94	NaN
823.53	492.61	NaN
823.53	492.6	NaN
823.52	492.73	NaN
823.57	492.98	NaN
823.57	492.85	NaN
823.55	492.47	NaN
823.58	492.71	NaN
823.61	492.52	NaN
823.62	492.75	NaN
823.62	492.91	NaN
823.62	492.91	NaN
823.68	493	NaN
823.6	492.33	NaN
823.62	492.75	NaN
823.67	493	NaN
823.69	493.18	NaN
823.68	493.36	NaN
823.72	493.62	NaN
823.74	493.45	NaN
823.75	493.62	NaN
823.75	493.62	NaN
823.8	494.02	NaN
823.76	494.11	NaN
823.83	494.28	NaN
823.8	494.02	NaN
823.87	494.39	NaN
823.93	494.54	NaN
824.02	494.86	NaN
824.09	494.62	NaN
824.12	494.88	NaN
824.12	494.5	NaN
824.17	494.51	NaN
824.14	494.35	NaN
824.2	494.78	NaN
824.19	494.87	NaN
824.18	494.76	NaN
824.22	494.96	NaN
824.21	495.12	NaN
824.23	495.11	NaN
824.29	495.55	NaN
824.23	495.3	NaN
824.22	495.24	NaN
824.23	495.68	NaN
824.23	495.68	NaN
824.23	495.68	NaN
824.27	495.49	NaN
824.26	495.85	NaN
824.26	495.85	NaN
824.4	496.26	NaN
824.35	495.91	NaN
824.3	496.05	NaN
824.31	496.26	NaN
824.4	496.26	NaN
824.39	496.45	NaN
824.4	496.73	NaN
824.41	496.59	NaN
824.41	496.59	NaN
824.41	496.95	NaN
824.56	497.09	NaN
824.73	497.15	NaN
824.74	496.97	NaN
824.79	497.3	NaN
824.88	497.25	NaN
824.91	497.09	NaN
824.93	497.27	NaN
824.96	497.37	NaN
824.91	497.41	NaN
824.96	497.56	NaN
824.96	497.62	NaN
824.94	497.94	NaN
824.94	497.94	NaN
824.96	498.11	NaN
824.96	498.11	NaN
824.96	498.11	NaN
824.93	498.27	NaN
824.91	498.66	NaN
824.89	498.33	NaN
824.93	498.45	NaN
824.91	498.66	NaN
824.93	498.27	NaN
824.88	499	NaN
824.91	498.85	NaN
824.94	498.79	NaN
824.94	498.79	NaN
824.93	498.71	NaN
824.93	498.71	NaN
824.96	499.36	NaN
824.98	499.17	NaN
824.96	498.88	NaN
824.96	499.1	NaN
825	498.84	NaN
824.96	499.16	NaN
824.98	499.24	NaN
824.93	499.02	NaN
824.95	498.89	NaN
824.91	499.17	NaN
824.93	499.28	NaN
824.92	499.69	NaN
824.91	499.43	NaN
824.89	499.85	NaN
824.87	499.04	NaN
824.85	499.5	NaN
824.85	499.7	NaN
824.86	499.82	NaN
824.81	499.74	NaN
824.79	499.95	NaN
824.81	499.74	NaN
824.77	499.5	NaN
824.82	499.98	NaN
824.81	499.74	NaN
824.8	499.9	NaN
824.84	500.14	NaN
824.84	500.4	NaN
824.79	499.95	NaN
824.81	500.12	NaN
824.77	500.32	NaN
824.83	500.55	NaN
824.84	500.77	NaN
824.86	500.37	NaN
824.84	500.4	NaN
824.84	500.14	NaN
824.81	500.77	NaN
824.83	500.55	NaN
824.83	500.55	NaN
824.74	500.51	NaN
824.74	500.51	NaN
824.69	500.79	NaN
824.62	501.05	NaN
824.63	501.15	NaN
824.63	501.15	NaN
824.62	501.05	NaN
824.62	501.4	NaN
824.59	501.54	NaN
824.59	502.07	NaN
824.63	501.71	NaN
824.59	502.03	NaN
824.62	501.5	NaN
824.6	502	NaN
824.59	502.29	NaN
824.6	502	NaN
824.53	502.63	NaN
824.48	502.09	NaN
824.53	502.63	NaN
824.56	502.97	NaN
824.61	502.56	NaN
824.57	502.66	NaN
824.59	502.86	NaN
824.62	502.97	NaN
824.72	502.64	NaN
824.65	503.05	NaN
824.72	503.11	NaN
825.04	502.96	NaN
825.33	503.33	NaN
825.5	502.52	NaN
825.63	502.71	NaN
825.69	502.73	NaN
825.67	503.06	NaN
826.08	502.67	NaN
826.25	502.42	NaN
826.42	502.18	NaN
826.26	502.74	NaN
826.39	502.8	NaN
826.66	502.36	NaN
826.72	502.4	NaN
826.79	502.48	NaN
827.04	502.09	NaN
827.06	502.27	NaN
827.06	502.45	NaN
827.17	502.74	NaN
827.27	502.48	NaN
827.29	502.73	NaN
827.36	502.84	NaN
827.48	502.83	NaN
827.4	503.08	NaN
827.31	503.44	NaN
827.43	503.64	NaN
827.77	502.87	NaN
827.64	503.34	NaN
827.59	503.61	NaN
827.55	503.77	NaN
827.46	504.13	NaN
827.46	504.13	NaN
827.47	504.04	NaN
827.55	503.94	NaN
827.39	504.28	NaN
827.32	504.51	NaN
827.25	504.73	NaN
827.37	504.63	NaN
827.5	504.56	NaN
827.47	504.72	NaN
827.48	504.81	NaN
827.36	505	NaN
827.33	505.13	NaN
827.44	505.04	NaN
827.48	505.06	NaN
827.32	505.46	NaN
827.38	505.53	NaN
827.31	505.78	NaN
827.5	505.5	NaN
827.5	505.5	NaN
827.5	505.5	NaN
827.58	505.55	NaN
827.76	505.45	NaN
827.3	506.36	NaN
827.2	506.7	NaN
827.33	506.48	NaN
827.25	506.62	NaN
827.08	507	NaN
827.25	506.77	NaN
826.98	507.54	NaN
827.02	507.54	NaN
827.1	507.41	NaN
827.02	507.63	NaN
826.89	507.83	NaN
827.36	505	NaN
827.33	505.13	NaN
827.44	505.04	NaN
827.48	505.06	NaN
827.32	505.46	NaN
827.38	505.53	NaN
827.31	505.78	NaN
827.5	505.5	NaN
827.5	505.5	NaN
827.5	505.5	NaN
827.58	505.55	NaN
827.76	505.45	NaN
827.3	506.36	NaN
827.2	506.7	NaN
827.33	506.48	NaN
827.25	506.62	NaN
827.08	507	NaN
827.25	506.77	NaN
826.98	507.54	NaN
827.02	507.54	NaN
827.1	507.41	NaN
827.02	507.63	NaN
826.89	507.83	NaN
826.87	507.81	NaN
826.73	508.04	NaN
826.67	508.17	NaN
826.74	508.17	NaN
826.91	507.95	NaN
827.09	507.69	NaN
827.04	507.82	NaN
826.98	508.13	NaN
