X1	Y1	ProbId1	
1008.7	786.14	NaN
1008.7	786.54	NaN
1008.7	786.29	NaN
1008.7	786.38	NaN
1008.6	785.63	NaN
1008.7	786.15	NaN
1008.7	786.36	NaN
1008.8	786.36	NaN
1008.8	786.29	NaN
1008.8	786.36	NaN
1008.8	786.47	NaN
1008.8	786.32	NaN
1008.8	786.66	NaN
1008.8	786.56	NaN
1008.7	786.45	NaN
1008.7	786.36	NaN
1008.7	786.65	NaN
1008.6	786.32	NaN
1008.7	786.22	NaN
1008.6	786.09	NaN
1008.7	786.35	NaN
1008.6	785.99	NaN
1008.7	786.35	NaN
1008.6	786.38	NaN
1008.5	785.83	NaN
1008.4	786.7	NaN
1008.5	786.27	NaN
1008.5	786.4	NaN
1008.5	786.14	NaN
1008.5	786.21	NaN
1008.5	786.25	NaN
1008.5	786.25	NaN
1008.5	786.12	NaN
1008.6	786.12	NaN
1008.6	786.29	NaN
1008.5	786.28	NaN
1008.5	785.95	NaN
1008.5	786.21	NaN
1008.5	786.08	NaN
1008.6	786.22	NaN
1008.5	786.61	NaN
1008.6	786.29	NaN
1008.6	786.2	NaN
1008.6	785.85	NaN
1008.5	786.21	NaN
1008.5	785.77	NaN
1008.5	786.11	NaN
1008.6	786.55	NaN
1008.5	786.4	NaN
1008.5	786.51	NaN
1008.5	786.36	NaN
1008.4	786.46	NaN
1008.4	786.36	NaN
1008.4	786.3	NaN
1008.5	786.48	NaN
1008.4	786.35	NaN
1008.5	786.23	NaN
1008.4	786.56	NaN
1008.4	786.26	NaN
1008.4	786.46	NaN
1008.4	786.15	NaN
1008.4	786.27	NaN
1008.4	786.51	NaN
1008.4	786.35	NaN
1008.4	786.26	NaN
1008.4	786.46	NaN
1008.5	786.01	NaN
1008.5	786.26	NaN
1008.5	785.96	NaN
1008.5	786.26	NaN
1008.4	786.4	NaN
1008.4	786.03	NaN
1008.5	786.53	NaN
1008.4	786.46	NaN
1008.4	786.26	NaN
1008.4	786.35	NaN
1008.4	786.36	NaN
1008.4	786.65	NaN
1008.4	786.26	NaN
1008.4	786.35	NaN
1008.5	786.31	NaN
1008.5	786.51	NaN
1008.4	786.46	NaN
1008.4	786.6	NaN
1008.4	786.42	NaN
1008.4	786.24	NaN
1008.4	786.6	NaN
1008.4	786.33	NaN
1008.4	786.63	NaN
1008.4	786.3	NaN
1008.4	786.31	NaN
1008.4	786.39	NaN
1008.4	786.6	NaN
1008.4	786.35	NaN
1008.4	786.5	NaN
1008.4	786.22	NaN
1008.4	786.3	NaN
1008.4	786.39	NaN
1008.4	786.35	NaN
1008.4	786.15	NaN
1008.4	786.59	NaN
1008.4	786.39	NaN
1008.4	786.22	NaN
1008.4	786.15	NaN
1008.4	786.35	NaN
1008.4	786.39	NaN
1008.4	786.21	NaN
