X1	Y1	ProbId1	
417.14	748.31	NaN
417.14	748.31	NaN
417.27	750.2	NaN
417.27	750.2	NaN
417.59	761.84	NaN
417.81	766.06	NaN
417.59	761.84	NaN
419.24	773.72	NaN
419.93	777.11	NaN
420.48	780.16	NaN
421.03	782.94	NaN
421.61	785.8	NaN
422.08	788.22	NaN
422.56	790.45	NaN
423.02	792.72	NaN
423.48	794.5	NaN
423.87	796.46	NaN
424.09	798.59	NaN
423.95	801.36	NaN
424.11	806.42	NaN
424.51	811.18	NaN
425	814.85	NaN
425.46	818.32	NaN
426.15	821.96	NaN
426.65	824.99	NaN
427.2	827.8	NaN
427.79	830.5	NaN
428.22	833.02	NaN
428.72	835.17	NaN
429.16	837.45	NaN
429.5	839.31	NaN
429.89	841.15	NaN
430.32	842.92	NaN
432.28	846.22	NaN
434.73	850.24	NaN
436.91	854.45	NaN
438.89	858.07	NaN
440.55	861.17	NaN
442.48	864.49	NaN
443.94	866.75	NaN
445.69	869.58	NaN
447.13	871.68	NaN
448.4	873.66	NaN
449.67	875.54	NaN
450.92	877.3	NaN
452.16	878.99	NaN
453.21	880.57	NaN
454.55	882.4	NaN
455.36	884.84	NaN
456.82	889.09	NaN
459.49	894.29	NaN
462.18	898.69	NaN
464.86	902.94	NaN
467.18	906.47	NaN
469.44	909.87	NaN
471.21	912.43	NaN
473.25	915.33	NaN
475.52	918.26	NaN
476.87	920.2	NaN
478.99	923.16	NaN
480.15	924.69	NaN
481.99	926.96	NaN
483.33	928.79	NaN
484.45	930.13	NaN
485.86	931.93	NaN
486.93	933.08	NaN
490.36	935.32	NaN
494.55	937.8	NaN
499.03	940.77	NaN
502.22	942.79	NaN
505.46	944.67	NaN
508.38	946.38	NaN
511.12	947.77	NaN
513.36	949	NaN
516.19	950.33	NaN
518.39	951.37	NaN
520.48	952.32	NaN
522.36	953.18	NaN
524.07	953.88	NaN
526.41	954.86	NaN
527.87	955.47	NaN
529.56	956.07	NaN
531.33	957.63	NaN
534.03	959.85	NaN
538.22	962.19	NaN
541.99	964.02	NaN
545.42	965.58	NaN
548.79	967.24	NaN
551.77	968.54	NaN
554.78	969.76	NaN
557.59	970.93	NaN
560.81	972.18	NaN
562.5	972.76	NaN
565	973.49	NaN
567.38	974.23	NaN
569.2	974.72	NaN
571.48	975.39	NaN
573.2	976.29	NaN
575.33	978.2	NaN
579.31	982.02	NaN
584.32	985.92	NaN
589.3	990.44	NaN
593.65	995.37	NaN
597.83	999.86	NaN
601.85	1004.1	NaN
605.5	1008	NaN
608.7	1011.6	NaN
612.09	1015.4	NaN
614.81	1018.9	NaN
617.56	1022.1	NaN
620.05	1025.3	NaN
621.45	1027.4	NaN
624.31	1031.7	NaN
626.14	1035.3	NaN
627.83	1038.6	NaN
629.25	1041.2	NaN
630.6	1043.8	NaN
632.29	1046.9	NaN
632.64	1048	NaN
634.32	1051	NaN
635.3	1053.1	NaN
636.4	1054.2	NaN
638.21	1054.6	NaN
640.53	1054.4	NaN
643.18	1053.8	NaN
645.94	1052.8	NaN
648.35	1051.8	NaN
650.08	1051.1	NaN
652.23	1050.2	NaN
653.76	1049.5	NaN
655.05	1048.7	NaN
657.02	1047.8	NaN
657.48	1047.3	NaN
658.63	1045.9	NaN
661.21	1043.2	NaN
662.77	1041.7	NaN
664.61	1039.9	NaN
667.43	1037.3	NaN
667.14	1037	NaN
668.71	1035.1	NaN
669.89	1033.7	NaN
670.92	1032.3	NaN
671.42	1031.3	NaN
672.54	1029.7	NaN
672.86	1028.9	NaN
673.32	1027.8	NaN
674.29	1026.3	NaN
674.55	1024	NaN
672.87	1021.1	NaN
667.5	1018.6	NaN
662.15	1016.9	NaN
656.61	1014.6	NaN
651.37	1012.2	NaN
646.32	1010.1	NaN
641.79	1008.2	NaN
637.17	1006.3	NaN
633.07	1004.5	NaN
629.11	1002.8	NaN
625.38	1001.5	NaN
618.64	1001.6	NaN
606.13	1001.2	NaN
593.61	999.12	NaN
581.68	998.16	NaN
570.68	997.36	NaN
560.39	996.61	NaN
551.5	995.8	NaN
542.36	994.84	NaN
534.46	994.05	NaN
526.91	993.16	NaN
518.49	991.61	NaN
512.72	989.44	NaN
507.87	986.14	NaN
503.91	982.86	NaN
499.96	978.8	NaN
496.34	974.69	NaN
493.47	971.34	NaN
490.5	967.7	NaN
478.87	952.92	NaN
476.64	950.06	NaN
475.29	947.79	NaN
472.8	942.76	NaN
471.25	937.98	NaN
469.15	932.28	NaN
467.42	927.29	NaN
465.83	922.65	NaN
464.31	918.65	NaN
463.03	914.62	NaN
461.76	910.81	NaN
460.41	907.15	NaN
459.39	904.15	NaN
458.22	900.87	NaN
457.12	897.83	NaN
456.18	895.14	NaN
453.38	887.46	NaN
452.33	884.89	NaN
451.39	882.74	NaN
450.67	881.38	NaN
450.13	878.49	NaN
449.73	873.91	NaN
448.51	866.99	NaN
446.71	860.86	NaN
444.84	854.29	NaN
443.19	848.69	NaN
441.86	843.79	NaN
440.49	838.98	NaN
439.24	834.43	NaN
438.03	830.06	NaN
436.98	826.54	NaN
435.99	822.78	NaN
434.96	819.14	NaN
434.19	816.52	NaN
433.31	813.6	NaN
432.4	810.26	NaN
431.25	807.23	NaN
428.91	802.71	NaN
425.16	795.76	NaN
422.6	789.54	NaN
420.13	783.58	NaN
418.07	778.55	NaN
416.28	774.07	NaN
414.38	769	NaN
412.73	764.76	NaN
411.24	761.02	NaN
409.76	756.93	NaN
408.38	753.19	NaN
407.26	749.81	NaN
406.08	746.24	NaN
404.61	742.39	NaN
403.97	739.93	NaN
402.92	736.87	NaN
401.94	733.92	NaN
401	730.6	NaN
400.97	726.68	NaN
401.94	722.14	NaN
403.87	715	NaN
405.31	709.3	NaN
406.8	704.21	NaN
408.16	699.36	NaN
409.6	695.2	NaN
411.2	690.7	NaN
412.42	687.04	NaN
413.89	682.95	NaN
415.18	679.49	NaN
416.57	675.84	NaN
417.84	672.68	NaN
418.82	669.96	NaN
419.85	667.01	NaN
421.02	664.61	NaN
424.19	659.54	NaN
426.72	654	NaN
428.65	647.58	NaN
430.16	641.53	NaN
431.64	635.92	NaN
433.26	630.27	NaN
434.7	625.26	NaN
436.13	620.54	NaN
437.65	615.52	NaN
438.98	611.19	NaN
440.09	607.53	NaN
441.3	603.6	NaN
442.28	600.4	NaN
443.37	596.69	NaN
443.85	592.58	NaN
443.51	587.62	NaN
442.23	582.2	NaN
440.51	576.32	NaN
439.21	571.01	NaN
437.94	566.23	NaN
437.09	562.29	NaN
436.37	558.05	NaN
436.84	554.82	NaN
439.49	550.28	NaN
442.72	546.26	NaN
446.86	542.35	NaN
450.17	538.77	NaN
453.63	535.41	NaN
456.13	532.69	NaN
458.96	530.04	NaN
461.46	527.53	NaN
463.93	524.86	NaN
466.52	522.62	NaN
467.72	521.32	NaN
470.11	518.93	NaN
471.88	517.18	NaN
473.48	515.45	NaN
475.01	513.75	NaN
477.11	511.73	NaN
478.61	510.22	NaN
480.6	508.32	NaN
482.39	506.5	NaN
483.76	505.09	NaN
484.68	504.17	NaN
486.57	502.86	NaN
488.43	501.85	NaN
491.55	501.18	NaN
494.36	500.83	NaN
497	500.2	NaN
