X1	Y1	ProbId1	
470.4	715.39	NaN
470.32	715.92	NaN
470.53	716.09	NaN
470.62	716.38	NaN
470.66	716.51	NaN
470.66	716.14	NaN
470.74	716.32	NaN
470.82	716.54	NaN
470.81	716.47	NaN
470.82	715.94	NaN
470.82	715.87	NaN
470.88	715.87	NaN
471.02	715.89	NaN
470.87	715.69	NaN
470.8	715.25	NaN
470.9	716.04	NaN
470.88	716.48	NaN
470.74	716.13	NaN
470.84	716.18	NaN
470.83	716.39	NaN
470.71	716.33	NaN
470.91	716.75	NaN
470.68	716.08	NaN
470.62	716.26	NaN
470.53	716.1	NaN
470.6	716.05	NaN
470.62	716.26	NaN
470.35	715.89	NaN
470.4	715.95	NaN
470.49	716.54	NaN
470.7	717.13	NaN
470.69	717.3	NaN
470.63	717.24	NaN
470.55	717.24	NaN
470.56	717.42	NaN
470.58	717.05	NaN
470.43	716.79	NaN
470.51	717.37	NaN
470.59	717.16	NaN
470.62	717.32	NaN
470.56	717.26	NaN
470.65	717.42	NaN
470.92	717.71	NaN
471	718.02	NaN
470.79	717.51	NaN
471.08	718.26	NaN
471.03	718.03	NaN
471.05	718.06	NaN
471.04	718.09	NaN
471.03	718.06	NaN
471.07	718.14	NaN
470.82	718.03	NaN
470.95	718.17	NaN
470.94	718.13	NaN
470.42	717.21	NaN
470.66	718.18	NaN
470.49	718.44	NaN
470.57	718.7	NaN
470.41	718.65	NaN
470.4	719.23	NaN
470.33	719.19	NaN
470.27	719.38	NaN
470.25	719.47	NaN
470.31	719.73	NaN
470.09	719.24	NaN
470.42	720.12	NaN
470.41	720.44	NaN
470.73	720.58	NaN
470.66	720.6	NaN
470.75	720.93	NaN
470.73	720.65	NaN
470.6	720.56	NaN
470.85	720.93	NaN
470.65	720.52	NaN
470.55	720.31	NaN
470.63	720.46	NaN
470.49	720.24	NaN
470.65	720.59	NaN
470.65	720.77	NaN
470.67	720.86	NaN
470.89	721.38	NaN
470.97	721.46	NaN
470.96	721.52	NaN
470.83	721.37	NaN
470.7	721.3	NaN
470.81	721.6	NaN
470.99	722.1	NaN
470.77	721.74	NaN
470.96	722.15	NaN
470.67	721.52	NaN
470.81	721.82	NaN
470.51	721.27	NaN
470.29	721.29	NaN
470.24	721.61	NaN
470.28	722.1	NaN
470.55	722.98	NaN
470.54	723.1	NaN
470.42	723.08	NaN
470.3	722.68	NaN
470.31	722.58	NaN
470.86	723.66	NaN
470.8	723.51	NaN
470.89	724.01	NaN
471.14	723.97	NaN
470.98	723.97	NaN
471.23	724.27	NaN
471.43	724.75	NaN
471.41	724.67	NaN
471.51	724.88	NaN
471.5	724.86	NaN
471.63	724.62	NaN
471.86	725.14	NaN
471.68	725.15	NaN
471.85	725.35	NaN
471.79	725.17	NaN
471.84	725.24	NaN
471.38	724.8	NaN
471.42	724.69	NaN
471.34	725.11	NaN
471.49	725.65	NaN
471.86	726.85	NaN
471.77	727.07	NaN
471.54	726.5	NaN
471.45	726.43	NaN
471.68	726.9	NaN
471.93	727.08	NaN
471.95	727.38	NaN
472.32	727.82	NaN
472.52	728.32	NaN
472.68	728.55	NaN
472.82	728.74	NaN
472.58	728.09	NaN
472.51	728.35	NaN
472.88	728.81	NaN
472.26	727.66	NaN
472	727.37	NaN
472.23	727.67	NaN
472.61	728.71	NaN
472.81	729.09	NaN
472.66	728.95	NaN
472.6	728.97	NaN
473.21	729.89	NaN
472.91	729.33	NaN
472.9	729.25	NaN
473.05	729.49	NaN
473.15	729.72	NaN
473.42	730.19	NaN
472.92	729.55	NaN
473.56	730.43	NaN
473.53	730.62	NaN
473.71	730.44	NaN
473.61	730.46	NaN
473.85	731.07	NaN
473.71	730.74	NaN
473.88	730.86	NaN
473.84	731.09	NaN
473.84	730.79	NaN
472.92	729.74	NaN
472.84	729.56	NaN
472.99	730.19	NaN
473.41	730.99	NaN
473.39	731.11	NaN
473.71	731.64	NaN
473.37	731.35	NaN
473.51	731.37	NaN
473.52	731.39	NaN
473.72	731.77	NaN
474.32	732.36	NaN
474.46	732.52	NaN
474.11	732.32	NaN
474.51	732.86	NaN
474.8	732.99	NaN
473.7	731.56	NaN
473.78	731.96	NaN
474.27	732.94	NaN
474.03	733.12	NaN
474.47	733.86	NaN
474.32	734.13	NaN
474.27	733.99	NaN
474.5	734.44	NaN
474.48	734.37	NaN
475.37	735.79	NaN
475.07	735.55	NaN
475.42	735.77	NaN
475.75	736.17	NaN
475.17	735.8	NaN
475.62	736.27	NaN
475.11	735.9	NaN
475.25	736.15	NaN
476.09	736.37	NaN
476.55	737.04	NaN
476.64	737.04	NaN
476.51	737.19	NaN
476.33	737.08	NaN
476.67	737.52	NaN
476.98	737.71	NaN
477.35	738.24	NaN
477.1	738.05	NaN
476.37	737.39	NaN
476.87	738	NaN
476.99	738.51	NaN
476.58	738.33	NaN
476.81	738.69	NaN
477.41	739.23	NaN
477.05	739.01	NaN
477.36	739.24	NaN
478.29	740.22	NaN
477.94	739.89	NaN
478.22	740.25	NaN
477.92	740.23	NaN
478.35	740.37	NaN
478.54	740.66	NaN
478.94	740.9	NaN
479.67	742.04	NaN
479.22	741.33	NaN
479.08	741.44	NaN
479.47	741.93	NaN
480.44	743.52	NaN
481.17	744.61	NaN
480.63	744.02	NaN
481.4	745.04	NaN
481.18	744.83	NaN
481.59	745.31	NaN
481.78	745.48	NaN
482.04	746.28	NaN
482.26	746.51	NaN
482.33	746.57	NaN
482.34	746.72	NaN
482.5	746.85	NaN
482.8	746.98	NaN
482.68	746.65	NaN
482.78	747.04	NaN
482.82	747.1	NaN
483.15	747.83	NaN
483.68	748.9	NaN
483.97	749.77	NaN
483.99	749.97	NaN
484.09	750.55	NaN
484.28	750.41	NaN
484.59	750.84	NaN
484.39	750.9	NaN
484.54	751.21	NaN
484.94	751.71	NaN
484.84	751.96	NaN
485.34	752.42	NaN
485.08	752.35	NaN
485.46	753.16	NaN
484.62	752.91	NaN
484.84	753.97	NaN
485.36	755.14	NaN
485.62	755.93	NaN
485.98	756.47	NaN
486.02	757.31	NaN
486.36	758.2	NaN
486.89	759.06	NaN
486.59	759.02	NaN
486.63	759.28	NaN
487.05	760.29	NaN
487.13	760.45	NaN
487.25	761.25	NaN
487.39	761.27	NaN
487.65	761.94	NaN
487.68	762.11	NaN
488.05	762.86	NaN
488.26	763.15	NaN
488.33	764.05	NaN
488.4	764.46	NaN
488.56	764.16	NaN
488.73	764.77	NaN
488.62	765.11	NaN
488.69	765.14	NaN
488.69	765.1	NaN
488.95	765.85	NaN
488.2	764.57	NaN
487.98	765.04	NaN
487.78	765.96	NaN
487.7	766.56	NaN
488.12	769.22	NaN
488.51	769.69	NaN
488.52	770.84	NaN
488.8	772.07	NaN
489	772.49	NaN
489	772.8	NaN
489.12	773.5	NaN
489.13	774.44	NaN
489.23	774.11	NaN
489.33	775.15	NaN
489.39	775.9	NaN
489.54	776.86	NaN
489.62	777.03	NaN
489.7	777.52	NaN
489.72	777.75	NaN
489.77	778.03	NaN
489.75	778.47	NaN
489.67	778.61	NaN
489.73	778.88	NaN
489.78	779.54	NaN
489.43	778.8	NaN
488.71	780.4	NaN
488.26	781.02	NaN
487.99	782.4	NaN
487.39	786.14	NaN
487.09	786.83	NaN
486.81	788.31	NaN
486.4	789.57	NaN
486.46	788.58	NaN
486.11	790.08	NaN
486.02	790.76	NaN
485.64	791.85	NaN
485.57	792.23	NaN
485.47	793.09	NaN
485.27	793.64	NaN
485.01	794.62	NaN
484.82	795.19	NaN
484.72	795.9	NaN
484.55	796.48	NaN
