X1	Y1	ProbId1	X2	Y2	ProbId2	
452.63	817.23	NaN	1007	547.78	NaN
452.18	839.59	NaN	1007.4	547.28	NaN
452.18	839.59	NaN	1007.4	547.28	NaN
452.63	817.23	NaN	1007	547.78	NaN
452.63	817.23	NaN	1007	547.78	NaN
452.63	817.23	NaN	1007	547.78	NaN
445.74	723.38	NaN	1003.2	549.05	NaN
436.36	715.98	NaN	1002.7	549.69	NaN
426.16	708.7	NaN	1002.5	551.3	NaN
417.07	701.94	NaN	1002.2	552.38	NaN
409.41	696.26	NaN	1001.6	552.64	NaN
406.17	691.15	NaN	1000.5	551.89	NaN
405.87	684.64	NaN	1000.4	553.83	NaN
405.98	676.63	NaN	999.98	554.68	NaN
405.83	666.08	NaN	999.09	553.86	NaN
405.85	658.67	NaN	999.09	556.01	NaN
406.12	652.08	NaN	998.33	555.89	NaN
406.4	644.8	NaN	997.61	555.74	NaN
407.98	636.23	NaN	997.42	557.69	NaN
411.07	630.31	NaN	996.45	556.54	NaN
415.45	621.32	NaN	996.67	558.36	NaN
418.66	614.93	NaN	995.79	557.6	NaN
422.24	608.5	NaN	996.37	559.89	NaN
425.73	602.45	NaN	996	560.47	NaN
429.28	596.92	NaN	996.22	561.92	NaN
432.93	591.26	NaN	995.21	561.08	NaN
436.01	586.47	NaN	995.48	563.18	NaN
439.34	581.69	NaN	995.43	564.34	NaN
442.34	577.45	NaN	995.5	565.14	NaN
445.86	572.88	NaN	995.18	565.04	NaN
448.77	568.96	NaN	994.61	564.15	NaN
451.28	565.62	NaN	995.38	566.17	NaN
453.9	562.31	NaN	994.62	565.2	NaN
456.61	558.85	NaN	994.37	565.52	NaN
459.39	555.35	NaN	994.39	566.64	NaN
461.6	552.75	NaN	993.98	566.77	NaN
464.4	549.55	NaN	993.45	566.64	NaN
467.26	546.08	NaN	993.25	567.42	NaN
469.74	543.27	NaN	992.92	567.6	NaN
472.34	540.57	NaN	992.67	568.11	NaN
474.64	538.17	NaN	992.54	569.32	NaN
477.02	535.85	NaN	991.69	568.43	NaN
479.34	533.52	NaN	991.68	570.13	NaN
481.86	530.83	NaN	990.82	569.47	NaN
483.84	528.92	NaN	990.38	569.9	NaN
486.35	526.63	NaN	990.38	571.09	NaN
488.55	524.44	NaN	989.64	570.67	NaN
490.4	522.99	NaN	989.69	571.58	NaN
492.29	521.54	NaN	989.06	570.88	NaN
495	519.23	NaN	988.95	571.67	NaN
496.63	518.27	NaN	989.14	572.99	NaN
498.97	516.52	NaN	989.34	574.74	NaN
501.09	515.01	NaN	989.44	575.92	NaN
503	513.71	NaN	989.33	576.4	NaN
505.32	512.1	NaN	989.7	578.24	NaN
506.9	511.27	NaN	989.16	577.72	NaN
508.69	509.69	NaN	989.28	578.62	NaN
511.09	505.76	NaN	989.34	578.84	NaN
513.71	501.4	NaN	989.11	578.69	NaN
517.34	495.62	NaN	988.86	578.88	NaN
520.74	490.69	NaN	989.75	581.67	NaN
523.92	486.25	NaN	989.96	582.97	NaN
