X1	Y1	ProbId1	X2	Y2	ProbId2	
452.63	817.23	1	1007	547.78	1
452.18	839.59	1	1007.4	547.28	1
452.18	839.59	1	1007.4	547.28	1
452.63	817.23	1	1007	547.78	1
452.63	817.23	1	1007	547.78	1
452.63	817.23	1	1007	547.78	1
445.74	723.38	1	1003.2	549.05	1
436.36	715.98	1	1002.7	549.69	1
426.16	708.7	1	1002.5	551.3	1
417.07	701.94	1	1002.2	552.38	1
409.41	696.26	1	1001.6	552.64	1
406.17	691.15	1	1000.5	551.89	1
405.87	684.64	1	1000.4	553.83	1
405.98	676.63	1	999.98	554.68	1
405.83	666.08	1	999.09	553.86	1
405.85	658.67	1	999.09	556.01	1
406.12	652.08	1	998.33	555.89	1
406.4	644.8	1	997.61	555.74	1
407.98	636.23	1	997.42	557.69	1
411.07	630.31	1	996.45	556.54	1
415.45	621.32	1	996.67	558.36	1
418.66	614.93	1	995.79	557.6	1
422.24	608.5	1	996.37	559.89	1
425.73	602.45	1	996	560.47	1
429.28	596.92	1	996.22	561.92	1
432.93	591.26	1	995.21	561.08	1
436.01	586.47	1	995.48	563.18	1
439.34	581.69	1	995.43	564.34	1
442.34	577.45	1	995.5	565.14	1
445.86	572.88	1	995.18	565.04	1
448.77	568.96	1	994.61	564.15	1
451.28	565.62	1	995.38	566.17	1
453.9	562.31	1	994.62	565.2	1
456.61	558.85	1	994.37	565.52	1
459.39	555.35	1	994.39	566.64	1
461.6	552.75	1	993.98	566.77	1
464.4	549.55	1	993.45	566.64	1
467.26	546.08	1	993.25	567.42	1
469.74	543.27	1	992.92	567.6	1
472.34	540.57	1	992.67	568.11	1
474.64	538.17	1	992.54	569.32	1
477.02	535.85	1	991.69	568.43	1
479.34	533.52	1	991.68	570.13	1
481.86	530.83	1	990.82	569.47	1
483.84	528.92	1	990.38	569.9	1
486.35	526.63	1	990.38	571.09	1
488.55	524.44	1	989.64	570.67	1
490.4	522.99	1	989.69	571.58	1
492.29	521.54	1	989.06	570.88	1
495	519.23	1	988.95	571.67	1
496.63	518.27	1	989.14	572.99	1
498.97	516.52	1	989.34	574.74	1
501.09	515.01	1	989.44	575.92	1
503	513.71	1	989.33	576.4	1
505.32	512.1	1	989.7	578.24	1
506.9	511.27	1	989.16	577.72	1
508.69	509.69	1	989.28	578.62	1
511.09	505.76	1	989.34	578.84	1
