X1	Y1	ProbId1	X2	Y2	ProbId2	
887.93	1080.5	NaN	545.08	971.07	NaN
888.1	1080.4	NaN	544.92	970.9	NaN
887.89	1080.5	NaN	545.13	971.02	NaN
888.29	1080.4	NaN	545.04	970.87	NaN
888.07	1080.4	NaN	545.02	970.79	NaN
887.93	1080.5	NaN	545.11	970.9	NaN
887.9	1080.5	NaN	545.03	970.74	NaN
887.08	1080.6	NaN	545.12	970.73	NaN
887.02	1080.6	NaN	545.02	970.58	NaN
887.44	1080.5	NaN	545.08	970.7	NaN
887.85	1080.5	NaN	544.97	970.53	NaN
887.49	1080.6	NaN	545.04	970.65	NaN
888.21	1080.4	NaN	544.94	970.55	NaN
887.64	1080.5	NaN	545.08	970.67	NaN
887.8	1080.5	NaN	545.34	970.81	NaN
887.26	1080.5	NaN	544.87	970.24	NaN
887.32	1080.5	NaN	545.16	970.4	NaN
887.79	1080.4	NaN	545.16	970.39	NaN
888.26	1080.3	NaN	545.34	970.5	NaN
887.81	1080.4	NaN	545.26	970.36	NaN
888.15	1080.3	NaN	545.26	970.36	NaN
888.3	1080.3	NaN	545.37	970.42	NaN
888.69	1080.2	NaN	545.2	970.2	NaN
888.01	1080.3	NaN	545.18	970.18	NaN
888.01	1080.4	NaN	545.31	970.21	NaN
887.83	1080.4	NaN	545.42	970.39	NaN
887.7	1080.5	NaN	545.26	970.19	NaN
887.87	1080.5	NaN	545.47	970.44	NaN
888.02	1080.4	NaN	545.41	970.42	NaN
887.3	1080.6	NaN	545.69	970.51	NaN
888.21	1080.4	NaN	545.7	970.36	NaN
887.87	1080.4	NaN	545.63	970.22	NaN
888.04	1080.5	NaN	545.48	969.84	NaN
887.63	1080.5	NaN	545.35	969.62	NaN
888.17	1080.3	NaN	545.14	969.3	NaN
887.9	1080.4	NaN	545.23	969.45	NaN
887.89	1080.4	NaN	544.8	969.02	NaN
887.32	1080.6	NaN	545.01	969.29	NaN
887.52	1080.4	NaN	544.93	969.17	NaN
887.96	1080.2	NaN	545.02	969.44	NaN
887.51	1080.5	NaN	544.96	969.38	NaN
888.16	1080.4	NaN	545.01	969.47	NaN
887.37	1080.6	NaN	544.98	969.35	NaN
887.92	1080.5	NaN	545.03	969.46	NaN
887.77	1080.3	NaN	544.84	969.19	NaN
887.33	1080.5	NaN	544.9	969.28	NaN
887.3	1080.5	NaN	545.07	969.44	NaN
887.56	1080.5	NaN	544.83	969.15	NaN
887.42	1080.5	NaN	544.97	969.26	NaN
887.72	1080.4	NaN	544.85	969.21	NaN
888.09	1080.4	NaN	544.98	969.18	NaN
887.92	1080.2	NaN	544.98	969.15	NaN
887.72	1080.4	NaN	545.07	969.23	NaN
888.19	1080.1	NaN	544.9	969.07	NaN
887.9	1080.3	NaN	544.98	969.18	NaN
887.77	1080.4	NaN	545.14	969.43	NaN
887.85	1080.3	NaN	544.74	968.97	NaN
887.41	1080.5	NaN	544.82	969.05	NaN
887.73	1080.3	NaN	545.01	969.13	NaN
888.17	1080.2	NaN	545	969.07	NaN
888.15	1080.2	NaN	544.95	968.98	NaN
887.77	1080.4	NaN	544.77	968.76	NaN
888.13	1080.3	NaN	545.03	969.06	NaN
887.33	1080.5	NaN	545.02	968.95	NaN
