X1	Y1	ProbId1	X2	Y2	ProbId2	
876.8	1051.1	1	1002	575.83	1
877.66	1054.6	1	1001.6	577.21	1
878.44	1057.9	1	1001.6	577.54	1
879.32	1061.1	1	1001.5	578.33	1
880.05	1063.9	1	1001.5	578.54	1
880.93	1067.3	1	1001.3	579.2	1
881.7	1070.3	1	1001.2	579.51	1
880.9	1075.2	1	1001.3	579.53	1
878.27	1075.8	1	1001.1	580.11	1
869.55	1072.5	1	1000.8	580.94	1
862.1	1068.6	1	1000.8	580.85	1
856.14	1065.7	1	1010	596.08	1
850.8	1063.1	1	1026.8	624.06	1
846.4	1061.1	1	1041.2	637.21	1
841.34	1059.1	1	1055.8	641.18	1
837.65	1057.5	1	1069	642.2	1
832.08	1048.4	1	1079.9	642.58	1
828.35	1033.1	1	1089.7	643.07	1
824.68	1018.7	1	1098	643.55	1
822.23	1006.4	1	1106	644.1	1
820.05	993.27	1	1113.2	644.68	1
818.43	983.3	1	1120.2	645.54	1
815.88	975.06	1	1126.3	646.32	1
808.02	973.96	1	1132.5	647.05	1
797.68	979.56	1	1137.6	647.64	1
787.56	986.46	1	1142.4	648.41	1
779.22	991.83	1	1149.5	651.04	1
771.17	996.52	1	1150.8	657.57	1
763.97	1000.6	1	1149.1	668.55	1
756.78	1004.3	1	1147.3	676.78	1
750.72	1007.3	1	1145.7	684.99	1
744.68	1010.2	1	1144.1	692.39	1
737.77	1013.3	1	1142.7	698.53	1
733.23	1015.2	1	1141.2	704.43	1
727.62	1017.8	1	1139.8	710.05	1
721.89	1018.1	1	1138.6	714.98	1
699.96	1011.5	1	1137.3	719.66	1
681.44	1001.7	1	1136.2	724.29	1
665.39	991.24	1	1135.2	728.14	1
650.23	981.36	1	1134.3	731.9	1
636.79	972.83	1	1133.5	735.32	1
624.09	965.25	1	1133.2	736.82	1
612.75	958.71	1	1131.8	741.74	1
602.07	952.83	1	1131.2	744.4	1
592.12	947.65	1	1130.5	747.56	1
582.36	942.62	1	1130	749.9	1
573.94	939.8	1	1130.2	750.62	1
558.81	963.94	1	1130.7	759.65	1
545.44	982.15	1	1130.2	772.03	1
531.08	994.96	1	1129	779.42	1
520.98	977.78	1	1127.3	786.9	1
514.28	955.65	1	1125.8	793.31	1
514.48	934.56	1	1124.3	798.93	1
517.25	917.61	1	1122.7	804.58	1
519.96	903.5	1	1121.5	809.19	1
521.93	892.84	1	1120.1	813.92	1
523.88	879.51	1	1118.9	817.84	1
525.44	867.98	1	1117.9	821.53	1
526.37	858.73	1	1116.9	825.06	1
502.8	837.27	1	1115.8	828.61	1
481.36	810.43	1	1115	831.56	1
460.06	794.62	1	1114.2	834.5	1
442.02	784.28	1	1113.5	837.11	1
428.13	775.17	1	1112.7	839.94	1
414.97	764.91	1	1112.3	841.89	1
405.13	756.46	1	1111.7	844.22	1
399.19	745.09	1	1111.5	845.93	1
398.21	733.04	1	1109.6	848.31	1
398.07	719.35	1	1102	855.9	1
397.63	709.27	1	1095.4	863.15	1
403.47	699.9	1	1089.2	869.94	1
420.6	693.87	1	1083.7	875.86	1
437.9	691.11	1	1078.9	880.86	1
453.21	689.97	1	1074.7	885.29	1
468.15	689.89	1	1070.3	889.77	1
480.75	690.13	1	1066.4	893.66	1
491.07	690.17	1	1063	897.01	1
501	689.86	1	1059.5	900.44	1
509.95	689.53	1	1056.2	903.65	1
518.64	688.74	1	1053.5	906.2	1
528.73	687.69	1	1050.8	908.65	1
536.17	686.78	1	1048.2	910.99	1
542.93	685.76	1	1045.7	913.3	1
549.7	684.68	1	1044.1	914.68	1
555.28	683.86	1	1032.3	918.97	1
560.65	683.03	1	1016.3	928.55	1
566.2	682.18	1	1003.3	937.88	1
579	660.88	1	991.91	945.83	1
589.85	625.92	1	982.36	952.25	1
587.31	592.24	1	972.52	958.43	1
584.46	565.47	1	964.16	963.5	1
582.71	542.62	1	956.24	968.31	1
581.77	521.68	1	949.28	972.28	1
581.27	503.88	1	942.4	976.28	1
581.16	487.39	1	936.22	979.76	1
581.27	472.43	1	930.42	982.93	1
582.12	456.89	1	924.93	985.98	1
592.11	433.87	1	921.17	987.97	1
603.12	410.02	1	916.73	990.38	1
614.71	390.8	1	912.3	992.73	1
627.61	376.62	1	908.06	994.98	1
640.87	369.2	1	904.39	996.96	1
653.36	364.07	1	900.76	998.73	1
665.46	359.22	1	897.21	1000.6	1
675.03	354.99	1	894.42	1002	1
683.43	351.03	1	891.58	1003.5	1
691.79	347.7	1	889.04	1004.8	1
703.2	353.34	1	886.17	1006.3	1
713.79	365.09	1	884.07	1007.4	1
722.16	376.08	1	881.76	1008.5	1
729.69	386.46	1	879.75	1009.5	1
735.76	395.02	1	877.95	1010.4	1
741.62	403.29	1	876.06	1011.4	1
744.68	413.11	1	874.34	1012.2	1
734.13	427.4	1	873.51	1012.6	1
720.72	442.47	1	872.46	1013.2	1
707.04	454.58	1	871.17	1013.9	1
694.19	465.01	1	870.35	1014.4	1
683.87	473.57	1	870.03	1014.9	1
673.88	482.3	1	869.33	1015.4	1
665.81	489.98	1	868.89	1016	1
657.89	497.84	1	865.92	1019.8	1
650.94	505.1	1	852.5	1035.1	1
635.43	512.49	1	840.46	1044.8	1
602.15	525.32	1	827.92	1052.4	1
573.81	533.16	1	817	1057.8	1
546.06	541.27	1	807.02	1062.1	1
524.1	548.82	1	797.7	1066	1
504.4	555.78	1	789.32	1069.3	1
486.97	561.9	1	781.94	1072.3	1
470.59	567.75	1	775.28	1074.9	1
455.36	573.2	1	768.32	1077.6	1
442.63	577.89	1	762.68	1079.8	1
430.68	582.14	1	757.16	1082.1	1
426.24	597.59	1	752.16	1084.3	1
429.28	616.4	1	747.81	1086.3	1
432.27	631.79	1	742.91	1088.5	1
434.73	645.09	1	737.75	1091.1	1
436.94	658.14	1	733.36	1089.5	1
438.46	668.34	1	724.02	1083.2	1
439.8	677.36	1	714.3	1076.6	1
440.81	686.08	1	706.83	1071.4	1
441.7	694.29	1	699.81	1066.6	1
442.39	702.38	1	694.19	1062.9	1
442.97	709.12	1	688.88	1059.8	1
443.85	715.75	1	683.93	1056.8	1
444.73	722.72	1	678.75	1053.8	1
445.28	728.33	1	674.21	1051.5	1
446.12	733.41	1	669.64	1048.9	1
446.87	738.86	1	665.55	1046.7	1
447.35	744.3	1	661.88	1044.9	1
442.67	757.61	1	658.43	1043	1
437.72	776.04	1	654.94	1041.1	1
431.81	792.44	1	652.23	1039.7	1
426.93	807.57	1	649.35	1038.2	1
423.5	820.54	1	646.69	1036.7	1
420.98	831.07	1	644.21	1035.6	1
420.19	838.57	1	633.86	1032.5	1
422.71	847.78	1	620.68	1026.2	1
426.96	855.61	1	609.6	1020.7	1
431.93	862.89	1	599.35	1015.6	1
435.56	867.87	1	590.08	1011	1
441.76	875.14	1	581.54	1007	1
446.23	881.18	1	573.84	1003.2	1
450.38	887.26	1	567.35	999.99	1
453.87	891.94	1	560.58	996.58	1
457.28	897.18	1	554.21	993.31	1
459.9	901.33	1	548.54	990.38	1
462.78	905.49	1	543.27	987.49	1
463.82	907.53	1	538.48	984.79	1
466.81	916.63	1	533.67	982.48	1
471.23	929.31	1	523.34	982.87	1
474.61	939.29	1	515.79	984.12	1
478.25	948.54	1	511.21	982.83	1
482	952	-2	512	972	-2
487	956	-2	513	962	-2
491	957	-2	514.94	951.61	-2
496.12	958.1	-2	516.88	941.23	-2
500.83	960.14	0.99999	518.51	930.97	0.99999
503.63	959.61	0.99999	518.8	924.28	0.99999
507.63	959.51	0.99999	518.85	916.35	0.99999
511.24	959.65	0.99999	518.11	911.6	0.99999
515.73	960.34	0.99999	511.99	907.26	0.99999
519.23	961.08	0.99999	503.84	907.37	0.99999
522.54	961.72	0.99999	494.48	908.79	0.99999
524.76	962.13	0.99999	486.6	910.3	0.99999
527.33	962.7	0.99999	480.88	911.26	0.99999
