X1	Y1	ProbId1	X2	Y2	ProbId2	
691.54	383.68	NaN	673.55	548.61	NaN
801.17	344.02	NaN	665.51	495.08	NaN
811.63	344.97	NaN	665.03	492.23	NaN
801.17	344.02	NaN	665.51	495.08	NaN
801.17	344.02	NaN	665.51	495.08	NaN
811.63	344.97	NaN	665.03	492.23	NaN
811.63	344.97	NaN	665.03	492.23	NaN
847.88	353.3	NaN	662.32	477.15	NaN
857.55	356.71	NaN	662.25	475.76	NaN
864.44	358.51	NaN	662.13	474.16	NaN
875.3	361.84	NaN	661.49	470.8	NaN
880.34	363.36	NaN	661.36	469	NaN
888.52	366.26	NaN	661.1	466.67	NaN
892.91	366.49	NaN	661.15	465.67	NaN
908.56	369.86	NaN	660.82	463.16	NaN
920	375.69	NaN	660.79	461.52	NaN
933.95	380.84	NaN	660.69	459.99	NaN
944.53	386.03	NaN	660.62	458.21	NaN
953.43	391.37	NaN	660.6	456.5	NaN
961.49	396.15	NaN	660.57	454.77	NaN
967.68	399.1	NaN	660.59	453.55	NaN
980.36	403.92	NaN	660.92	453.23	NaN
988.62	409.53	NaN	660.78	450.69	NaN
996.98	415.69	NaN	660.87	449.51	NaN
1004.5	420.73	NaN	660.89	447.74	NaN
1010.2	424.25	NaN	661.08	446.66	NaN
1016.9	428.51	NaN	661.14	445.09	NaN
1022.8	433.06	NaN	661.15	443.81	NaN
1027.6	440.12	NaN	661.35	442.76	NaN
1033.8	446.38	NaN	661.83	442.92	NaN
1039.5	451.78	NaN	662.22	442.83	NaN
1045	456.88	NaN	662.13	440.61	NaN
1050.6	462.06	NaN	662.37	439.87	NaN
1055.5	466.77	NaN	662.59	439.26	NaN
1058.8	469.98	NaN	662.72	438.24	NaN
1062	472.46	NaN	663.02	437.71	NaN
1072.8	478.05	NaN	663.42	436.81	NaN
1080.3	484.86	NaN	663.54	435.66	NaN
1087.2	492.28	NaN	663.74	435.3	NaN
1092.7	498.05	NaN	664.01	434.65	NaN
1095	507.5	NaN	664.26	433.61	NaN
1099.3	519.93	NaN	664.6	433.83	NaN
1104.6	533.66	NaN	665.57	430.74	NaN
1107.7	545.23	NaN	669.79	426.58	NaN
1111	554.55	NaN	674.14	423.39	NaN
1114.4	562.86	NaN	677.82	420.62	NaN
1117.6	571.04	NaN	680.63	418.66	NaN
1118.8	575.38	NaN	685.62	414.93	NaN
1119.7	583.22	NaN	688.9	412.56	NaN
1121.2	592.86	NaN	690.43	411.39	NaN
1123	599.67	NaN	694.83	408.1	NaN
1125.1	607.12	NaN	696.68	406.78	NaN
1126.8	613.74	NaN	699.01	404.93	NaN
1128.4	620.76	NaN	702.56	402.34	NaN
1129.1	622.87	NaN	704.82	400.73	NaN
1130.8	629.7	NaN	707.35	398.82	NaN
1133.4	634.1	NaN	709.45	397.36	NaN
1135.2	642.97	NaN	711.29	396.06	NaN
1135.5	655.83	NaN	713.51	394.48	NaN
1137	664.65	NaN	715.4	393.17	NaN
1137.8	674.54	NaN	717.36	391.95	NaN
1137.8	682.76	NaN	718.7	390.85	NaN
1137.8	690.37	NaN	720.78	389.4	NaN
1139.4	696.91	NaN	722.05	388.47	NaN
