X1	Y1	ProbId1	X2	Y2	ProbId2	
559.74	1043.5	NaN	641.48	1080.1	NaN
711.11	1098.5	NaN	616.43	1068.2	NaN
716.11	1099.8	NaN	619.61	1069.7	NaN
711.11	1098.5	NaN	616.43	1068.2	NaN
711.11	1098.5	NaN	616.43	1068.2	NaN
716.11	1099.8	NaN	619.61	1069.7	NaN
716.11	1099.8	NaN	619.61	1069.7	NaN
746.54	1104	NaN	638.34	1078.6	NaN
753.81	1104.4	NaN	650.11	1086.1	NaN
761.65	1103	NaN	657.27	1089.7	NaN
769.24	1101.7	NaN	664.42	1092.3	NaN
778.41	1100.8	NaN	674.04	1094.9	NaN
785.53	1100.4	NaN	682.52	1096.8	NaN
792.14	1100.3	NaN	693.96	1100.1	NaN
798.62	1100.2	NaN	706.09	1101.5	NaN
803.58	1100.1	NaN	719.64	1103.7	NaN
809.5	1100.1	NaN	731.12	1105.3	NaN
816.13	1100	NaN	742.01	1106	NaN
821.46	1099.8	NaN	752.87	1106.9	NaN
825.07	1098.4	NaN	763.43	1107.2	NaN
830.45	1095.5	NaN	772.06	1106.4	NaN
838.07	1091.8	NaN	784.26	1106.2	NaN
843.96	1089.3	NaN	793.57	1106.2	NaN
835.79	1092.6	NaN	NaN	NaN	NaN
855.02	1085	NaN	815.56	1103.2	NaN
860.75	1082.8	NaN	822.45	1102.8	NaN
865.87	1080.7	NaN	831.11	1101	NaN
870.56	1079	NaN	840.94	1097.7	NaN
875.11	1077.2	NaN	849.41	1095.4	NaN
879.21	1075.7	NaN	857.17	1093.7	NaN
NaN	NaN	NaN	NaN	NaN	NaN
887.81	1074.9	NaN	870.34	1090.6	NaN
893.67	1074.9	NaN	876.64	1088.7	NaN
894.09	1078.3	NaN	NaN	NaN	NaN
898.29	1076.9	NaN	NaN	NaN	NaN
904.43	1074.6	NaN	NaN	NaN	NaN
909.13	1072.9	NaN	NaN	NaN	NaN
914.95	1069.9	NaN	NaN	NaN	NaN
920.01	1066.8	NaN	NaN	NaN	NaN
923.88	1063.9	NaN	NaN	NaN	NaN
928.05	1060.7	NaN	NaN	NaN	NaN
932.05	1058	NaN	NaN	NaN	NaN
941.7	1052	NaN	NaN	NaN	NaN
946.23	1048.6	NaN	NaN	NaN	NaN
950.81	1044.7	NaN	NaN	NaN	NaN
955.5	1041.1	NaN	NaN	NaN	NaN
960.45	1037.4	NaN	NaN	NaN	NaN
964.2	1034.8	NaN	NaN	NaN	NaN
961.15	1032.1	NaN	985.08	1032.2	NaN
963.98	1030.1	NaN	991.12	1028	NaN
965.25	1029.6	NaN	999.65	1021.3	NaN
969.31	1026.4	NaN	1005.3	1016.5	NaN
971.62	1024.8	NaN	1010.5	1012.4	NaN
974.55	1022.9	NaN	1017.6	1004.1	NaN
976.25	1021.7	NaN	1026	993.37	NaN
979.26	1019.7	NaN	1033.3	985.36	NaN
980.66	1018.7	NaN	1041	978.22	NaN
983.27	1017	NaN	1048.2	971.78	NaN
984.86	1016	NaN	1053.6	967.03	NaN
986.09	1014.9	NaN	1058.9	962.14	NaN
988.63	1013.3	NaN	1057.2	957.3	NaN
990.44	1012.4	NaN	1056.6	951.45	NaN
991.82	1011.4	NaN	1056.1	953.63	NaN
994.18	1009.9	NaN	1054.1	955.96	NaN
994.29	1009.7	NaN	1052.3	961.31	NaN
996.58	1008.2	NaN	1050.6	964	NaN
997.54	1007.3	NaN	1047.9	968.99	NaN
1000.8	1004.9	NaN	1043.6	974.4	NaN
1004.3	1001.7	NaN	1039.3	980.89	NaN
1007.9	998.72	NaN	1034.5	987.33	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
1021.4	989.44	NaN	1002.9	1016.2	NaN
1023.2	989.01	NaN	997.59	1020.7	NaN
1025.7	986.63	NaN	985.33	1027.4	NaN
1028	985.61	NaN	977.44	1031.2	NaN
1030.1	984.65	NaN	969.13	1036.3	NaN
1031.2	984.12	NaN	961.88	1042.1	NaN
