X1	Y1	ProbId1	X2	Y2	ProbId2	
455.74	558.65	NaN	631.91	998.16	NaN
454.88	557.63	NaN	631.23	997.74	NaN
455.74	558.65	NaN	631.91	998.16	NaN
455.74	558.65	NaN	631.91	998.16	NaN
453.98	560.83	NaN	631.08	997.71	NaN
453.98	560.83	NaN	631.08	997.71	NaN
455.74	558.65	NaN	631.91	998.16	NaN
452.88	559.94	NaN	630.99	997.61	NaN
452.72	560.8	NaN	630.12	997.01	NaN
452.31	560.4	NaN	629.9	996.85	NaN
452.17	560.92	NaN	630.49	997.3	NaN
452.12	561.49	NaN	629.85	996.88	NaN
451.94	562.03	NaN	629.4	996.53	NaN
451.9	562.83	NaN	630.37	997.24	NaN
451.27	562.24	NaN	630.12	996.95	NaN
451.28	563.71	NaN	629.88	996.82	NaN
450.9	563.33	NaN	630.04	996.88	NaN
450.27	562.66	NaN	628.76	996.3	NaN
449.81	562.87	NaN	627.74	995.92	NaN
449.48	563.29	NaN	627.79	995.97	NaN
449.01	563.23	NaN	627.49	995.84	NaN
448.9	563.98	NaN	627.37	995.71	NaN
448.55	564.22	NaN	626.8	995.38	NaN
448.81	565.44	NaN	626.64	995.26	NaN
448.64	565.94	NaN	626.47	994.95	NaN
448.6	566.64	NaN	626.11	994.64	NaN
448.06	565.54	NaN	625.98	994.67	NaN
448.01	566.89	NaN	625.43	994.4	NaN
447.3	565.56	NaN	624.92	994.05	NaN
447.27	566.26	NaN	625	994.22	NaN
447.03	566.77	NaN	624.48	993.98	NaN
446.59	566.62	NaN	624.3	993.63	NaN
446.43	567.38	NaN	624.5	993.88	NaN
446.25	568.29	NaN	623.74	993.6	NaN
445.73	567.81	NaN	624.1	993.7	NaN
445.61	568.74	NaN	623.84	993.67	NaN
444.64	567.82	NaN	622.86	993.24	NaN
444.74	568.46	NaN	622.39	992.96	NaN
444.68	568.75	NaN	621.35	992.6	NaN
444.4	569.48	NaN	619.91	991.64	NaN
444.69	570.67	NaN	619	991.02	NaN
444.06	569.99	NaN	619.49	991.41	NaN
443.58	569.82	NaN	619.02	991.15	NaN
443.88	571.31	NaN	617.7	990.27	NaN
443	570.71	NaN	617.23	990.03	NaN
442.74	570.52	NaN	617.33	990.15	NaN
442.64	570.95	NaN	616.69	989.93	NaN
442.77	571.96	NaN	615.87	989.47	NaN
441.96	571.6	NaN	614.82	988.86	NaN
442.14	572.8	NaN	613.72	988.41	NaN
441.57	572.29	NaN	613.59	988.23	NaN
441.65	573.49	NaN	613.6	988.46	NaN
440.64	572.51	NaN	613.18	988.17	NaN
440.44	572.99	NaN	612.94	987.99	NaN
440.67	573.93	NaN	612.04	987.48	NaN
439.84	573.43	NaN	609.54	986.53	NaN
439.75	573.73	NaN	608.87	986.28	NaN
440.02	575.19	NaN	609.25	986.33	NaN
438.87	574.23	NaN	608.19	985.82	NaN
438.72	574.63	NaN	606.35	984.69	NaN
438.4	574.75	NaN	605.41	984.3	NaN
438.29	575.33	NaN	604.78	983.99	NaN
438.11	575.51	NaN	604.06	983.73	NaN
437.86	575.57	NaN	603.52	983.59	NaN
437.55	575.88	NaN	603.39	983.52	NaN
437.32	576.09	NaN	602.54	983.28	NaN
437.05	576.33	NaN	602.16	983.18	NaN
437.24	577.09	NaN	600.97	982.76	NaN
436.96	577.46	NaN	600.08	982.34	NaN
436.55	577.59	NaN	598.75	981.78	NaN
436.5	578.17	NaN	598.54	981.58	NaN
435.3	577.17	NaN	598.39	981.5	NaN
435.18	577.59	NaN	597.76	981.26	NaN
435.45	578.51	NaN	596.9	980.76	NaN
434.92	579.06	NaN	596.6	980.67	NaN
434.56	578.72	NaN	595.96	980.29	NaN
