X1	Y1	ProbId1	X2	Y2	ProbId2	
678.8	354.24	NaN	511.33	563.05	NaN
678.93	354.39	NaN	511.42	562.79	NaN
678.63	354.31	NaN	511.26	563.38	NaN
678.7	354.35	NaN	511.42	563.02	NaN
678.94	354.4	NaN	511.45	562.82	NaN
678.72	354.35	NaN	511.38	563.08	NaN
679.12	354.3	NaN	511.41	562.95	NaN
680.17	354.36	NaN	511.5	562.73	NaN
679.41	354.31	NaN	511.42	563.07	NaN
678.64	354.33	NaN	511.53	562.89	NaN
679.17	354.26	NaN	511.52	563.13	NaN
678.65	354.32	NaN	511.66	562.79	NaN
678.75	354.3	NaN	511.55	563.06	NaN
679.39	354.29	NaN	511.62	562.97	NaN
678.73	354.27	NaN	511.61	563.09	NaN
678.82	354.32	NaN	511.52	563.19	NaN
678.83	354.3	NaN	511.72	562.92	NaN
679.26	354.41	NaN	511.94	562.56	NaN
678.96	354.33	NaN	512.01	562.38	NaN
678.51	354.32	NaN	512.14	561.91	NaN
679.12	354.3	NaN	512.06	562.07	NaN
678.66	354.32	NaN	512.23	561.28	NaN
679.33	354.29	NaN	512.16	561.63	NaN
678.2	354.26	NaN	512.35	560.98	NaN
678.15	354.28	NaN	512.47	560.67	NaN
678.37	354.23	NaN	512.5	560.71	NaN
679.5	354.28	NaN	512.49	560.73	NaN
678.68	354.24	NaN	512.46	560.79	NaN
679.27	354.19	NaN	512.63	560.42	NaN
678.47	354.21	NaN	512.65	560.31	NaN
678.82	354.21	NaN	512.74	560.26	NaN
679.06	354.29	NaN	512.58	560.81	NaN
678.4	354.28	NaN	512.54	560.78	NaN
678.92	354.18	NaN	512.55	560.72	NaN
678.6	354.22	NaN	512.81	560.33	NaN
678.78	354.14	NaN	512.96	560.08	NaN
678.96	354.17	NaN	512.94	560.13	NaN
678.98	354.16	NaN	513.06	559.86	NaN
678.94	354.08	NaN	513.17	559.24	NaN
678.49	354.07	NaN	513.15	559.18	NaN
678.17	354.06	NaN	513.19	558.96	NaN
