X1	Y1	ProbId1	X2	Y2	ProbId2	
678.8	354.24	1	511.33	563.05	1
678.93	354.39	1	511.42	562.79	1
678.63	354.31	1	511.26	563.38	1
678.7	354.35	1	511.42	563.02	1
678.94	354.4	1	511.45	562.82	1
678.72	354.35	1	511.38	563.08	1
679.12	354.3	1	511.41	562.95	1
680.17	354.36	1	511.5	562.73	1
679.41	354.31	1	511.42	563.07	1
678.64	354.33	1	511.53	562.89	1
679.17	354.26	1	511.52	563.13	1
678.65	354.32	1	511.66	562.79	1
678.75	354.3	1	511.55	563.06	1
679.39	354.29	1	511.62	562.97	1
678.73	354.27	1	511.61	563.09	1
678.82	354.32	1	511.52	563.19	1
678.83	354.3	1	511.72	562.92	1
679.26	354.41	1	511.94	562.56	1
678.96	354.33	1	512.01	562.38	1
678.51	354.32	1	512.14	561.91	1
679.12	354.3	1	512.06	562.07	1
678.66	354.32	1	512.23	561.28	1
679.33	354.29	1	512.16	561.63	1
678.2	354.26	1	512.35	560.98	1
678.15	354.28	1	512.47	560.67	1
678.37	354.23	1	512.5	560.71	1
679.5	354.28	1	512.49	560.73	1
678.68	354.24	1	512.46	560.79	1
679.27	354.19	1	512.63	560.42	1
678.47	354.21	1	512.65	560.31	1
678.82	354.21	1	512.74	560.26	1
679.06	354.29	1	512.58	560.81	1
678.4	354.28	1	512.54	560.78	1
678.92	354.18	1	512.55	560.72	1
678.6	354.22	1	512.81	560.33	1
678.78	354.14	1	512.96	560.08	1
678.96	354.17	1	512.94	560.13	1
678.98	354.16	1	513.06	559.86	1
678.94	354.08	1	513.17	559.24	1
678.49	354.07	1	513.15	559.18	1
678.17	354.06	1	513.19	558.96	1
678.23	354.09	1	513.17	559.14	1
678.56	354.03	1	513.2	559.16	1
678.99	354.09	1	513.2	558.99	1
679.11	354.09	1	513.14	559.23	1
678.65	354.18	1	513.24	559.22	1
678.45	354.05	1	513.19	559.33	1
678.84	354.11	1	513.12	559.53	1
677.81	353.98	1	513.34	558.75	1
678.54	354.09	1	513.19	559.47	1
678.77	354.09	1	513.48	558.98	1
678.73	354.01	1	513.59	558.68	1
678.26	353.9	1	513.62	558.5	1
678.43	354.03	1	513.65	558.35	1
678.65	354.01	1	513.91	557.61	1
678.36	353.94	1	513.83	557.76	1
678.01	353.89	1	513.89	557.69	1
678.09	354.01	1	513.88	557.84	1
677.34	353.89	1	513.95	557.7	1
677.44	353.84	1	514.03	557.67	1
677.76	353.9	1	514.03	557.33	1
677.75	353.86	1	514.06	557.56	1
678.49	354.01	1	514.11	557.26	1
677.81	353.94	1	514.07	557.31	1
677.63	353.89	1	514.18	557.43	1
677.89	353.85	1	514.19	557.24	1
677.75	353.85	1	514.25	557.09	1
677.61	353.88	1	514.15	557.42	1
678.17	353.87	1	514.19	557.47	1
677.69	353.81	1	514.27	557.59	1
677.65	353.91	1	514.28	557.32	1
678.24	353.9	1	514.23	557.48	1
677.85	353.94	1	514.46	557.53	1
677.47	353.9	1	514.78	556.7	1
677.37	353.85	1	514.83	556.35	1
677.85	353.94	1	514.89	556.03	1
677.84	353.92	1	514.97	555.74	1
677.55	353.82	1	515.02	555.53	1
678.13	353.84	1	514.98	555.53	1
677.18	353.89	1	515.07	555.66	1
678.12	353.86	1	515.09	555.47	1
677.87	353.87	1	515.17	555.23	1
678.01	353.85	1	515.17	555.21	1
677.89	353.89	1	515.22	554.97	1
