X1	Y1	ProbId1	
458.6	859.49	NaN
457.89	858.71	NaN
456.7	857.58	NaN
455.07	856.42	NaN
452.58	855.02	NaN
450.27	853.98	NaN
448.59	852.93	NaN
447.17	852.16	NaN
445.23	850.98	NaN
443.41	850.21	NaN
442.41	849.59	NaN
440.44	848.32	NaN
439.49	848.24	NaN
438.46	847.51	NaN
436.37	846.61	NaN
434.56	846.03	NaN
433.45	845.47	NaN
431.22	845	NaN
430.14	844.2	NaN
428.68	844.1	NaN
428.52	843.84	NaN
428.88	844.03	NaN
427.68	843.63	NaN
426.87	843.59	NaN
426.73	843.48	NaN
426.73	843.48	NaN
425.87	843.37	NaN
425.94	842.84	NaN
425.63	843.64	NaN
424.44	843.24	NaN
423.19	841.88	NaN
421.72	838.78	NaN
420.51	835.73	NaN
419.29	832.19	NaN
418.54	830.31	NaN
417.46	826.79	NaN
417.06	825.82	NaN
416.18	823.37	NaN
415.36	821.55	NaN
415.14	820.5	NaN
414.57	818.88	NaN
413.62	815.72	NaN
412.73	812.17	NaN
410.81	805.45	NaN
409.73	797.7	NaN
408.42	788.97	NaN
407.56	781.01	NaN
407.06	774.53	NaN
407.14	769.59	NaN
406.7	764.45	NaN
406.37	759.74	NaN
406.41	753.11	NaN
406.33	745.54	NaN
406.27	743.08	NaN
405.5	736.76	NaN
405.59	731.34	NaN
404.97	727.2	NaN
405.07	722.89	NaN
405.03	719.73	NaN
404.69	716.17	NaN
404.53	713.47	NaN
404.53	710.87	NaN
404.18	707.48	NaN
404.32	704.5	NaN
404.36	699.91	NaN
404.48	692.37	NaN
404.25	685.31	NaN
404.55	679.49	NaN
404.86	674.91	NaN
405.44	669.61	NaN
406.3	664.77	NaN
406.74	659.93	NaN
407.65	652.99	NaN
407.61	649.65	NaN
408.18	645.84	NaN
408.45	641.37	NaN
408.93	638.25	NaN
409.32	635.36	NaN
409.77	632.87	NaN
410.14	630.94	NaN
410.7	627.78	NaN
413.16	632.46	NaN
411.65	623.32	NaN
412.55	620.84	NaN
414.37	615.53	NaN
415.85	609.8	NaN
418.59	604.47	NaN
421.1	599.55	NaN
423.21	595.41	NaN
425.14	591.6	NaN
426.45	588.3	NaN
428.08	584.8	NaN
429.84	582.13	NaN
431.35	579.16	NaN
433.08	576.15	NaN
434.58	573.74	NaN
435.42	571.85	NaN
436.67	569.93	NaN
437.8	568.79	NaN
438.74	567.12	NaN
440.1	565.27	NaN
444.15	562.01	NaN
448.65	550.82	NaN
449.35	546.48	NaN
450.95	542.21	NaN
452.67	538.1	NaN
454.62	533.41	NaN
455.43	530.76	NaN
457.06	527.14	NaN
458.6	522.96	NaN
460.02	519.65	NaN
461.34	517.27	NaN
462.67	514.21	NaN
464.96	510.32	NaN
467.03	507.1	NaN
469.94	503.32	NaN
473.05	500.24	NaN
476.44	497.5	NaN
479.24	495.15	NaN
481.12	493.51	NaN
483.36	491.82	NaN
485.33	489.95	NaN
486.82	489.23	NaN
488.44	488.46	NaN
489.69	487.61	NaN
491.44	487.08	NaN
492.67	486.33	NaN
494.93	485.5	NaN
501.63	483.02	NaN
509.41	478.38	NaN
515.13	471.57	NaN
517.67	467.17	NaN
520.06	463.39	NaN
523.26	460.09	NaN
525.78	457.84	NaN
528.5	454.46	NaN
530.3	448.82	NaN
531.82	447	NaN
534.55	445.89	NaN
535.65	442.52	NaN
540.08	442.46	NaN
541.05	440.76	NaN
542.6	439.06	NaN
542.27	437.95	NaN
545.83	436.42	NaN
547.25	435.15	NaN
548.07	433.52	NaN
551.62	432.71	NaN
553.62	430.23	NaN
556.69	424.19	NaN
559.54	421.19	NaN
560.95	417.77	NaN
563.36	415.89	NaN
564.7	413.53	NaN
566.74	411.04	NaN
569.76	407.54	NaN
570.3	406.67	NaN
572.63	404.16	NaN
575.72	400.94	NaN
579.28	399.02	NaN
586.77	395.68	NaN
592.3	394.32	NaN
596.8	392.93	NaN
599.9	392.34	NaN
603.7	392.33	NaN
610.66	391.79	NaN
614.69	391.15	NaN
619.68	390.64	NaN
623.7	389.96	NaN
628.69	389.25	NaN
632.6	388.67	NaN
636.14	388	NaN
639.12	387.49	NaN
641.57	387.29	NaN
644.35	386.93	NaN
646.76	386.6	NaN
648.97	386.34	NaN
651.25	385.96	NaN
652.43	385.95	NaN
656.98	385.42	NaN
661.07	383.9	NaN
665.5	381.05	NaN
668.8	378.64	NaN
672.04	376.21	NaN
674.67	374.53	NaN
677.63	372.28	NaN
680.49	370.11	NaN
683.18	368.21	NaN
684.66	366.93	NaN
686.56	365.65	NaN
689.01	363.56	NaN
690.27	362.5	NaN
692.27	361.19	NaN
694.58	358.45	NaN
696.06	357.37	NaN
697.68	355.91	NaN
697.69	354.36	NaN
699.77	353.35	NaN
703.26	352.31	NaN
706.37	352.38	NaN
710.32	352.64	NaN
715.14	353.45	NaN
719.47	354.01	NaN
722.92	354.42	NaN
725.78	354.67	NaN
728.58	354.98	NaN
731.1	355.26	NaN
734.53	355.59	NaN
736.5	355.87	NaN
738.72	356.16	NaN
740.45	356.27	NaN
742.94	356.75	NaN
744.37	356.95	NaN
746.15	356.88	NaN
747.86	357.02	NaN
749.74	357.38	NaN
750.84	357.49	NaN
752.19	357.65	NaN
753.55	357.65	NaN
754.29	357.76	NaN
755.33	357.92	NaN
756.41	358.03	NaN
757.34	358.09	NaN
758.24	358.21	NaN
759.37	358.31	NaN
760.18	358.41	NaN
761.46	358.79	NaN
762.53	358.87	NaN
764.03	358.91	NaN
765.83	359.09	NaN
766.55	358.89	NaN
768.29	359.12	NaN
769.34	359.13	NaN
770.08	359.19	NaN
771.21	359.37	NaN
771.99	359.38	NaN
772.89	359.36	NaN
775.48	359.82	NaN
779.55	360.75	NaN
783.45	361.36	NaN
786.29	361.68	NaN
789.71	362.18	NaN
791.86	362.54	NaN
795.09	363.32	NaN
797.55	364.01	NaN
799.77	364.57	NaN
801.95	365.27	NaN
804.46	365.88	NaN
806.63	366.41	NaN
807.81	366.7	NaN
809.69	367.15	NaN
811.49	367.5	NaN
813.74	368.17	NaN
815.04	368.39	NaN
816.24	368.81	NaN
817.34	368.98	NaN
818.39	369.15	NaN
821.03	369.98	NaN
822.17	370.25	NaN
823.42	370.57	NaN
825.44	370.67	NaN
827.66	371.12	NaN
828.95	371.29	NaN
830.27	371.69	NaN
832.29	372.16	NaN
833.49	372.45	NaN
834.51	372.76	NaN
836.46	373.05	NaN
837.82	373.46	NaN
837.87	373.27	NaN
840.19	373.58	NaN
843.16	374.88	NaN
845.57	375.8	NaN
848.56	376.83	NaN
850.77	377.61	NaN
853.88	378.71	NaN
855.56	379.26	NaN
857.85	380.11	NaN
859.99	380.84	NaN
861.44	381.29	NaN
864.02	382.13	NaN
865.17	382.66	NaN
866.8	383.18	NaN
868.73	383.79	NaN
869.18	383.94	NaN
870.86	384.45	NaN
872.37	385.04	NaN
872.64	385.17	NaN
873.61	385.57	NaN
875.03	386.06	NaN
875.43	386.38	NaN
876.27	386.56	NaN
877.27	387.02	NaN
877.84	387.23	NaN
878.29	387.2	NaN
879.04	387.58	NaN
879.88	387.91	NaN
880.52	387.99	NaN
881.39	388.43	NaN
882.06	388.52	NaN
882.17	388.5	NaN
882.65	388.6	NaN
882.55	388.5	NaN
882.39	388.33	NaN
884.21	388.68	NaN
885.37	389.05	NaN
887.93	390.13	NaN
890.04	391.04	NaN
892.31	391.86	NaN
894.55	392.66	NaN
896.47	393.26	NaN
898.24	393.94	NaN
900.01	394.56	NaN
901.78	395.23	NaN
903.38	396.03	NaN
904.48	396.47	NaN
905.8	396.97	NaN
906.92	397.37	NaN
908.12	397.97	NaN
909.39	398.5	NaN
909.88	398.75	NaN
911.75	399.55	NaN
912.45	399.84	NaN
913.32	400.32	NaN
914.14	400.66	NaN
914.75	400.95	NaN
915.76	401.38	NaN
916.25	401.57	NaN
916.75	401.78	NaN
917.43	402.11	NaN
917.91	402.26	NaN
918.81	402.63	NaN
919.25	402.81	NaN
919.31	402.81	NaN
919.4	402.76	NaN
920.27	403.16	NaN
920.1	403.27	NaN
920.16	403.07	NaN
