X1	Y1	ProbId1	
825.8	790.49	NaN
830.1	778.58	NaN
830.1	778.58	NaN
832.19	772.83	NaN
834.19	767.45	NaN
835.98	763.33	NaN
838.06	757.93	NaN
839.69	754.01	NaN
841.46	749.86	NaN
843.01	746.36	NaN
844.93	742.51	NaN
846.35	740.69	NaN
848.37	737.11	NaN
849.57	733.82	NaN
848.56	720.08	NaN
850.64	698.1	NaN
852.37	677.11	NaN
855.66	658.85	NaN
859.19	643.46	NaN
862.86	628.92	NaN
865.89	617.53	NaN
868.94	606.02	NaN
871.88	595.59	NaN
874.34	586.63	NaN
876.89	577.35	NaN
879.21	569.11	NaN
881.23	561.6	NaN
883.15	554.36	NaN
884.86	547.69	NaN
886.22	541.91	NaN
889.09	535.54	NaN
900.23	533.79	NaN
914.29	535.43	NaN
927.46	536.95	NaN
939.14	538.04	NaN
948.95	538.51	NaN
958.81	539	NaN
967.89	539.25	NaN
976.5	539.38	NaN
983.29	539.35	NaN
990.01	539.24	NaN
996.44	539.12	NaN
1002.5	539.13	NaN
1007.7	539.18	NaN
1013.3	539.37	NaN
1018.4	539.53	NaN
1023.4	539.76	NaN
1028	539.8	NaN
1032.6	539.32	NaN
1038.8	532.15	NaN
1046.5	516.69	NaN
1052.3	502.68	NaN
1056.6	490.07	NaN
1060.7	478.14	NaN
1062.7	469.1	NaN
1059.7	461.56	NaN
1052.8	453.83	NaN
1046	447.91	NaN
1039.4	442.16	NaN
1034.1	437.19	NaN
1029	432.16	NaN
1024.9	428.18	NaN
1021.4	425.04	NaN
1014.1	420.82	NaN
1003.8	415.16	NaN
992.36	408.07	NaN
981.48	402.09	NaN
972.17	397.13	NaN
962.7	392.2	NaN
954.82	388.21	NaN
946.47	384.21	NaN
939.74	381.27	NaN
933.22	378.45	NaN
925.83	375.53	NaN
918.4	376.33	NaN
911.46	383.09	NaN
906.4	391.02	NaN
902.36	397.84	NaN
899.1	403.51	NaN
896.16	408.52	NaN
893.47	413.97	NaN
891.21	418.42	NaN
889.14	421.95	NaN
887.19	425.66	NaN
885.29	429.1	NaN
883.87	431.97	NaN
882.06	435.17	NaN
880.73	437.49	NaN
879.29	440.11	NaN
877.96	441.91	NaN
876.63	443.17	NaN
875.06	445.06	NaN
873.66	446.15	NaN
872.2	447.05	NaN
870.38	448.71	NaN
868.98	449.05	NaN
868.63	453.32	NaN
875.69	459.79	NaN
886.3	467.05	NaN
897.55	472.75	NaN
906.21	476.22	NaN
913.88	479.28	NaN
921.22	482.19	NaN
928.25	485.07	NaN
934.49	487.79	NaN
940.32	490.39	NaN
945.29	492.82	NaN
950.89	494.72	NaN
966.14	493.46	NaN
986.42	491.93	NaN
1004.8	488.34	NaN
1021.2	485.21	NaN
1035	482.99	NaN
1048.4	480.75	NaN
1060.5	478.84	NaN
1070	477.83	NaN
1077	480.42	NaN
1084.5	487.46	NaN
1088	492.65	NaN
1092.3	500.28	NaN
1095.4	507.35	NaN
1097	511.85	NaN
1098.5	516.95	NaN
1100.2	521.73	NaN
1101.1	525.65	NaN
1102.4	529.66	NaN
1104	533.6	NaN
1105.1	536.13	NaN
1106.3	539.13	NaN
1107.1	541.08	NaN
1107.9	542.95	NaN
1108.9	544.94	NaN
1110	546.97	NaN
1110.8	548.72	NaN
1111.2	549.87	NaN
1111.7	551.91	NaN
1112.5	556.62	NaN
1113.4	560.45	NaN
1114.4	563.58	NaN
1115	565.96	NaN
1115.9	568.71	NaN
1116.3	570.59	NaN
1117	572.72	NaN
1117.6	574.27	NaN
1118.3	576.35	NaN
1118.9	577.78	NaN
1119.4	578.82	NaN
1120.1	579.65	NaN
1120.8	581.11	NaN
1121.4	581.81	NaN
1121.9	582.8	NaN
1122.4	583.59	NaN
