X1	Y1	ProbId1	
412.74	646.08	NaN
412.74	646.08	NaN
424.28	616.68	NaN
424.28	616.68	NaN
424.28	616.68	NaN
424.28	616.68	NaN
412.74	646.08	NaN
436.18	585.21	NaN
438.32	580.08	NaN
440.44	575.63	NaN
442.56	570.92	NaN
444.34	567.11	NaN
446.41	563.4	NaN
448.13	559.86	NaN
449.68	556.99	NaN
451.39	553.77	NaN
452.68	551.2	NaN
453.83	549.17	NaN
455.07	546.75	NaN
456.81	543.87	NaN
461.96	539.62	NaN
466.96	534.18	NaN
470.74	529.95	NaN
474.99	525.57	NaN
478.53	522.11	NaN
482.13	518.67	NaN
484.96	515.78	NaN
488.1	512.86	NaN
490.96	510.12	NaN
493.31	507.71	NaN
495.9	505.45	NaN
498.39	503.14	NaN
499.57	501.96	NaN
502.54	498.45	NaN
507.13	491.83	NaN
514.31	484.47	NaN
520.27	477.79	NaN
525.36	471.95	NaN
529.5	467	NaN
534.12	461.85	NaN
538.41	457.21	NaN
542.39	452.81	NaN
546.13	449.01	NaN
549.49	445.18	NaN
552.38	442.06	NaN
555.95	438.46	NaN
558.41	435.82	NaN
560.64	433.8	NaN
563.74	428.71	NaN
569.02	420.85	NaN
574.2	414.91	NaN
580	407.9	NaN
584.53	402.37	NaN
588.99	397.28	NaN
592.66	392.78	NaN
596.23	389.49	NaN
599.41	386.61	NaN
602.68	383.87	NaN
607.02	381.05	NaN
613.81	378.57	NaN
619.99	375.69	NaN
626.69	372.57	NaN
632.35	370.16	NaN
637.78	367.82	NaN
642.41	365.94	NaN
646.57	364.43	NaN
650.78	362.92	NaN
656.98	361.4	NaN
662.15	360.24	NaN
669.13	358.34	NaN
674.86	356.79	NaN
680.66	355.49	NaN
685.23	354.31	NaN
689.6	353.49	NaN
694.94	352.66	NaN
699.11	351.94	NaN
703.12	351.71	NaN
707.67	351.26	NaN
710.64	350.97	NaN
714.69	350.5	NaN
717.54	350.31	NaN
720.81	349.88	NaN
723.31	349.76	NaN
725.88	349.32	NaN
728.01	349.32	NaN
731.8	350.12	NaN
737.37	350.51	NaN
743.14	350.2	NaN
748.48	349.63	NaN
753.56	349.85	NaN
757.44	349.88	NaN
760.51	350.03	NaN
764.2	350.11	NaN
767.13	350.08	NaN
770.4	350.17	NaN
773.16	350.1	NaN
776.15	350.16	NaN
778.43	350.17	NaN
781.5	350.33	NaN
783.84	350.32	NaN
785.96	350.31	NaN
788.51	350.64	NaN
792.32	350.47	NaN
798.45	351.26	NaN
803.5	352.37	NaN
810.17	353.65	NaN
814.85	354.58	NaN
818.46	355.36	NaN
823.2	356.12	NaN
827.35	356.89	NaN
830.1	357.52	NaN
832.53	357.95	NaN
836.14	358.59	NaN
838.68	359.03	NaN
841.7	359.88	NaN
844.93	360.55	NaN
847.52	361.23	NaN
849.06	361.56	NaN
851.75	362.16	NaN
853.67	362.67	NaN
855.13	362.82	NaN
857.41	363.08	NaN
861.9	364.07	NaN
866.69	366.02	NaN
870.89	367.25	NaN
874.73	368.26	NaN
878.38	369.23	NaN
881.95	370.19	NaN
884.11	370.61	NaN
887.58	371.28	NaN
890.67	372.14	NaN
892.69	372.42	NaN
894.28	372.75	NaN
897.52	373.31	NaN
898.92	373.63	NaN
902.17	374.31	NaN
903.78	374.63	NaN
905.28	374.63	NaN
906.61	374.94	NaN
908.17	375.09	NaN
910.07	375.3	NaN
914.74	376.14	NaN
920.54	378.62	NaN
925.35	380.83	NaN
929.42	382.48	NaN
933.36	383.89	NaN
936.85	385.61	NaN
939.86	386.87	NaN
943.41	388.62	NaN
945.69	389.54	NaN
947.86	390.43	NaN
950.1	391.46	NaN
952.49	392.55	NaN
954.79	393.54	NaN
956.34	394.14	NaN
957.84	394.98	NaN
960.42	395.67	NaN
964.11	396.82	NaN
970.15	399.86	NaN
974.65	402.37	NaN
978.66	404.34	NaN
981.74	405.84	NaN
985.35	407.58	NaN
987.89	408.76	NaN
990.81	410.1	NaN
993.37	411.28	NaN
995.8	412.18	NaN
998.27	413.35	NaN
1000.8	414.49	NaN
1003	415.21	NaN
1004.7	415.87	NaN
1008.5	417.68	NaN
1012.5	421.21	NaN
1017	425.04	NaN
1021.4	428.47	NaN
1025.5	431.48	NaN
1029	434.36	NaN
1032.3	437.16	NaN
1036	440.14	NaN
1038.8	442.27	NaN
1041.4	444.53	NaN
1043.8	446.58	NaN
1047	449.62	NaN
1050.2	454.14	NaN
1053.3	458.48	NaN
1057.6	463.57	NaN
1061.6	469.15	NaN
1064.7	473.22	NaN
1067.4	477.16	NaN
1069.7	480.64	NaN
1072	485.29	NaN
1074.1	488.86	NaN
1076.3	492.8	NaN
1078	495.4	NaN
1080.1	498.95	NaN
1081.5	501.57	NaN
1083	504.55	NaN
1084.7	507.43	NaN
1085.9	509.73	NaN
1087.4	512.35	NaN
1088	514.01	NaN
1089.3	516.46	NaN
1090	518.01	NaN
1090.9	519.54	NaN
1091.7	520.95	NaN
1095.1	526.02	NaN
1096.7	529.59	NaN
1098.4	533.19	NaN
1100.5	537.02	NaN
1101.8	539	NaN
1103.1	541.74	NaN
1104.8	544.33	NaN
1106.1	546.79	NaN
1107.4	548.88	NaN
1108.5	551	NaN
1109.8	553.22	NaN
1110.7	554.24	NaN
1112	556.81	NaN
1113.3	558.52	NaN
1114	559.47	NaN
1116.1	561.21	NaN
1119.8	565.53	NaN
1122.8	570.5	NaN
1126	575.04	NaN
1128.8	578.86	NaN
1131	582.43	NaN
1133	585.53	NaN
1134.3	587.98	NaN
1136.1	591.35	NaN
1137.3	593.88	NaN
1138.6	596.59	NaN
1139.5	598.7	NaN
1140.6	602.08	NaN
1141.5	606.5	NaN
1142.9	611.83	NaN
1145	617.97	NaN
1146.4	622.71	NaN
1147.8	627.56	NaN
1148.9	631.9	NaN
1149.9	636.69	NaN
1150.8	640.25	NaN
1151.6	644.17	NaN
1152.1	647.44	NaN
1152.8	650.56	NaN
1153.2	653.9	NaN
1153.6	656.25	NaN
1153.9	659.47	NaN
1154	663.59	NaN
1154.7	668.69	NaN
1155.3	674.23	NaN
1155.5	677.64	NaN
1156	681.95	NaN
1156.1	685.32	NaN
1156.2	689.4	NaN
1156.3	692.04	NaN
1156.3	695.58	NaN
1156.4	698.44	NaN
1156.3	700.63	NaN
1156.5	703.01	NaN
1156.4	705.43	NaN
1156.3	707.54	NaN
1156.1	710.15	NaN
1156.1	712.21	NaN
1156.3	713.68	NaN
1156.6	718.32	NaN
1155.8	723.18	NaN
1155.2	728.77	NaN
1154.9	733.56	NaN
1154.3	738.01	NaN
1154.4	741.34	NaN
1153.8	745.58	NaN
1153.2	749.28	NaN
1153	752.13	NaN
1152.4	755.42	NaN
1152.3	757.91	NaN
1151.9	760.24	NaN
1151.1	763.75	NaN
1151.1	765.42	NaN
1150.5	767.75	NaN
1150.1	769.73	NaN
1150.3	771.59	NaN
1149.7	776.13	NaN
1147.2	781.08	NaN
1145.4	786.69	NaN
1143.8	792.05	NaN
1142.4	796.76	NaN
1140.9	800.94	NaN
1139.5	804.53	NaN
1138.2	807.84	NaN
1136.9	811.24	NaN
1135.3	814.23	NaN
1134.1	817.19	NaN
1132.9	819.75	NaN
1131.6	822.39	NaN
1130.9	824.19	NaN
1129.3	827.21	NaN
1128.5	829.09	NaN
1128	830.41	NaN
1126.1	833.23	NaN
1121.6	837.53	NaN
1117.6	843.62	NaN
1114.7	848.16	NaN
1111.6	852.65	NaN
1108.7	856.76	NaN
1106.5	860.04	NaN
1104.3	863.18	NaN
1102.1	866.46	NaN
1100	869.43	NaN
1098	872.33	NaN
1096.8	874.05	NaN
1095.2	876.47	NaN
1093.3	879.05	NaN
1092.1	880.84	NaN
1090.6	884.24	NaN
1085.9	891.53	NaN
1081	898.09	NaN
1076.9	904.49	NaN
1073.5	910.45	NaN
1069.8	916.2	NaN
1066.8	921.04	NaN
1063.8	925.49	NaN
1061.1	929.34	NaN
1058.2	933.58	NaN
1055.5	937.41	NaN
1053.2	940.55	NaN
1050.8	943.75	NaN
1048.5	946.72	NaN
1046.4	949.35	NaN
1044.2	952.09	NaN
1042.3	954.58	NaN
1039.9	959.87	NaN
1033.9	968.27	NaN
1027.7	975.15	NaN
1022	982.45	NaN
1017	988.83	NaN
1012.3	994.57	NaN
1008.2	999.68	NaN
1004.2	1004.6	NaN
1000.7	1008.8	NaN
997.51	1012.9	NaN
994.54	1016.3	NaN
991.54	1020.2	NaN
988.71	1023.4	NaN
986.28	1026.5	NaN
984.28	1030.3	NaN
981.23	1035.5	NaN
978.24	1039.1	NaN
975.89	1042	NaN
972.92	1045.1	NaN
969.84	1047.3	NaN
965.57	1049.6	NaN
960.63	1051.9	NaN
956.7	1054.2	NaN
952.38	1056.5	NaN
948.12	1058.8	NaN
944.63	1060.6	NaN
941.3	1062.3	NaN
937.97	1063.9	NaN
934.85	1065.3	NaN
931.8	1066.7	NaN
929.83	1067.6	NaN
927	1068.8	NaN
922.31	1070.1	NaN
917.94	1071.5	NaN
913.69	1073.3	NaN
908.65	1075.1	NaN
903.38	1076.9	NaN
899.73	1077.9	NaN
895.93	1079	NaN
892.88	1080.1	NaN
889.41	1080.8	NaN
886.5	1081.5	NaN
883.45	1082.4	NaN
880.81	1082.9	NaN
877	1083.3	NaN
873.05	1083.4	NaN
867.96	1084.3	NaN
862.49	1084.7	NaN
857.84	1085	NaN
853.18	1085.2	NaN
847.97	1085.1	NaN
843.65	1084.9	NaN
838.77	1084.7	NaN
834.72	1084.6	NaN
831.06	1084.5	NaN
827.92	1084.5	NaN
824.77	1084.4	NaN
822.2	1083.9	NaN
818.5	1083.7	NaN
816.77	1083.3	NaN
813.42	1083.3	NaN
812.29	1082.8	NaN
809.46	1081.7	NaN
804.75	1080.5	NaN
799.65	1079.6	NaN
794.07	1078.6	NaN
789.49	1077.7	NaN
785.06	1076.9	NaN
781.7	1076.3	NaN
777.46	1075.4	NaN
774.24	1074.8	NaN
771.47	1074.3	NaN
768.22	1073.6	NaN
764.39	1073.7	NaN
757.82	1073.7	NaN
750.34	1072.3	NaN
742.73	1071.3	NaN
736.43	1070.7	NaN
730.85	1069.9	NaN
725.27	1069.3	NaN
720.1	1068.4	NaN
715.27	1067.7	NaN
711	1066.9	NaN
706.8	1066.1	NaN
703.06	1065.4	NaN
700.54	1064.9	NaN
696.35	1063.9	NaN
694.03	1063.4	NaN
690.49	1062.5	NaN
687.38	1061.4	NaN
683.96	1060.7	NaN
678.11	1061.1	NaN
670.39	1060	NaN
663.26	1058.7	NaN
657.61	1058.2	NaN
651.04	1057.6	NaN
645.62	1056.9	NaN
640.5	1056.3	NaN
635.93	1055.6	NaN
631.31	1055.2	NaN
627.06	1054.5	NaN
623.92	1054.1	NaN
620.25	1053.2	NaN
616.9	1052.8	NaN
613.19	1051.9	NaN
610.57	1051.9	NaN
605.78	1051.3	NaN
599.7	1049.1	NaN
594.88	1047	NaN
590.3	1045.2	NaN
585.85	1043.2	NaN
581.03	1041.2	NaN
577.09	1039.4	NaN
573.31	1037.3	NaN
569.35	1033.3	NaN
565.12	1029.5	NaN
560.52	1026	NaN
556.25	1022.7	NaN
551.87	1019.3	NaN
548.44	1016.4	NaN
545.33	1013.8	NaN
542.18	1011.2	NaN
539.41	1008.9	NaN
536.99	1006.9	NaN
534.3	1004.6	NaN
532.13	1002.8	NaN
529.57	1000.6	NaN
527.85	998.83	NaN
525.6	995.93	NaN
522.51	992.71	NaN
518.55	988.9	NaN
515.32	985.49	NaN
512.2	982.06	NaN
509.93	979.31	NaN
507.44	976.41	NaN
505.62	974.37	NaN
503.45	971.27	NaN
501.92	969.39	NaN
500.19	966.9	NaN
498.36	964.46	NaN
496.8	962.27	NaN
495.36	960.28	NaN
493.84	957.32	NaN
492.57	956.33	NaN
490.13	953.49	NaN
486.29	946.22	NaN
483.61	941.2	NaN
480.84	936.36	NaN
478.5	932.42	NaN
476.09	928.36	NaN
474.02	924.96	NaN
472.34	921.86	NaN
470.66	918.63	NaN
468.91	915.06	NaN
467.31	912.52	NaN
465.83	909.45	NaN
464.51	906.27	NaN
463.51	904.2	NaN
462.04	901.37	NaN
461.41	900.31	NaN
459.6	897.62	NaN
457.22	892.13	NaN
455.39	887.11	NaN
453.03	882.03	NaN
451	878.03	NaN
448.87	873.74	NaN
447.2	869.96	NaN
445.58	866.5	NaN
444.16	862.91	NaN
442.59	859.66	NaN
441.35	856.49	NaN
440.39	853.69	NaN
439.24	850.52	NaN
438.13	847.42	NaN
437.42	845.13	NaN
436.46	842.43	NaN
435.44	840.07	NaN
433.54	837.74	NaN
430.3	832.07	NaN
427.87	825.89	NaN
425.34	820.4	NaN
423.07	815.74	NaN
421.03	811.34	NaN
419.02	807.19	NaN
416.93	802.75	NaN
415.15	799.47	NaN
413.75	796.39	NaN
412.42	793.08	NaN
411.25	789.76	NaN
410.46	786.37	NaN
