X1	Y1	ProbId1	
944.81	828.88	NaN
945.43	829.24	NaN
946.27	829.81	NaN
946.96	830.11	NaN
947.5	830.37	NaN
948.3	830.94	NaN
948.76	830.82	NaN
949.17	831.15	NaN
949.95	832.25	NaN
950.29	832.97	NaN
951.19	834.59	NaN
952.05	835.77	NaN
952.87	836.74	NaN
953.89	838.02	NaN
954.5	838.98	NaN
955.26	840.1	NaN
955.4	840.86	NaN
955.51	841.14	NaN
956.18	842.01	NaN
956.49	842.19	NaN
957.27	842.72	NaN
957.96	843.54	NaN
958.48	844.51	NaN
958.65	844.88	NaN
959.04	846.1	NaN
959.44	846.89	NaN
960.08	847.82	NaN
960.98	848.86	NaN
961.86	849.66	NaN
962.26	849.76	NaN
963.02	850.54	NaN
963.33	850.87	NaN
963.59	851.08	NaN
963.88	851.22	NaN
964.58	852.4	NaN
964.88	852.41	NaN
965.47	852.91	NaN
965.83	852.77	NaN
966.39	853.29	NaN
966.54	853.25	NaN
966.77	853.6	NaN
966.65	853.94	NaN
966.43	854.18	NaN
966.34	854.24	NaN
966.54	855.12	NaN
966.67	856.21	NaN
966.8	856.91	NaN
967.04	858.3	NaN
967.2	859.64	NaN
967.33	860.38	NaN
967.57	861.14	NaN
967.93	861.59	NaN
968.34	861.67	NaN
968.79	862.53	NaN
968.81	862.62	NaN
968.71	862.74	NaN
968.44	863.98	NaN
968.25	865.54	NaN
968.25	866.39	NaN
968.27	867.18	NaN
968.27	868.11	NaN
968.33	868.56	NaN
968.37	869.14	NaN
968.5	869.2	NaN
968.47	870.01	NaN
968.61	870.4	NaN
968.72	870.7	NaN
968.97	870.97	NaN
968.92	871.01	NaN
968.73	871.14	NaN
968.46	870.99	NaN
967.76	872.2	NaN
967.02	873.85	NaN
966.87	874.32	NaN
966.22	875.89	NaN
965.96	876.85	NaN
965.76	877.55	NaN
965.51	878.18	NaN
965.2	878.86	NaN
964.41	880.56	NaN
964.2	881.03	NaN
964.55	880.49	NaN
964.35	881.25	NaN
964.12	881.84	NaN
963.82	882.46	NaN
963.13	883.34	NaN
963.01	883.3	NaN
962.55	884.18	NaN
962.24	885.22	NaN
962.21	885.44	NaN
962.1	886.6	NaN
962.4	886.12	NaN
962.42	886.44	NaN
962.31	886.78	NaN
961.9	887.93	NaN
961.91	888.23	NaN
961.9	888.54	NaN
962.47	887.82	NaN
962.55	888.04	NaN
962.83	887.7	NaN
962.43	888.48	NaN
962.32	888.92	NaN
962.16	889.15	NaN
961.74	890.01	NaN
961.61	890.18	NaN
961.28	890.89	NaN
961.13	891.22	NaN
961.06	891.53	NaN
960.94	891.98	NaN
960.89	892.57	NaN
960.89	893.13	NaN
960.95	893.29	NaN
960.97	893.97	NaN
961.32	893.33	NaN
961.5	893.99	NaN
961.95	894	NaN
962.04	895.88	NaN
962.08	896.69	NaN
961.88	897.54	NaN
961.67	898.02	NaN
961.58	898.46	NaN
961.56	898.93	NaN
961.62	899.27	NaN
961.72	899.8	NaN
961.82	899.67	NaN
961.79	900.12	NaN
961.82	900.31	NaN
962.02	900.2	NaN
962.25	900.23	NaN
962.81	899.87	NaN
963.23	900.93	NaN
963.67	901.64	NaN
963.83	902.05	NaN
963.88	902.56	NaN
963.93	903.33	NaN
963.84	903.43	NaN
963.99	904.15	NaN
964.02	904.69	NaN
964.01	904.51	NaN
964.15	904.71	NaN
964.17	904.47	NaN
964.24	905.07	NaN
964.87	907.17	NaN
965.2	908.38	NaN
965.74	909.55	NaN
966.15	910.79	NaN
966.58	911.59	NaN
966.75	911.98	NaN
967.11	912.61	NaN
967.22	912.82	NaN
967.53	913.56	NaN
967.46	912.86	NaN
967.59	913.14	NaN
968.61	914.65	NaN
969.67	915.53	NaN
970.52	916.17	NaN
971.46	916.73	NaN
972.41	917.4	NaN
973.09	917.69	NaN
974.13	918.52	NaN
975.01	919.03	NaN
975.17	918.64	NaN
975.76	918.39	NaN
977.93	919.05	NaN
980.4	919.71	NaN
981.91	920.06	NaN
983.5	920.55	NaN
985.36	921.01	NaN
986.96	921.33	NaN
988.05	921.52	NaN
989.64	921.75	NaN
990.44	921.82	NaN
991.73	921.96	NaN
992.91	922.07	NaN
993.48	922.1	NaN
994.71	922.17	NaN
995.93	922.29	NaN
997.04	922.42	NaN
997.98	922.48	NaN
998.98	922.63	NaN
999.93	922.73	NaN
1000.8	922.75	NaN
1001.1	922.46	NaN
1003.2	922.85	NaN
1005.2	923.37	NaN
1007	923.86	NaN
1008.7	924.08	NaN
1010.3	924.16	NaN
1011.7	924.07	NaN
1013	923.89	NaN
1014.3	923.64	NaN
1015.8	923.39	NaN
1017.2	923.1	NaN
1018.3	922.81	NaN
1019.8	922.69	NaN
1021	922.37	NaN
1022.3	922.01	NaN
1023.7	921.71	NaN
1024.3	920.94	NaN
1026.1	920.51	NaN
1028.6	920.53	NaN
1029.9	920.54	NaN
1032.1	920.67	NaN
1033.5	920.52	NaN
1034.9	920.47	NaN
1036.6	920.27	NaN
1037.7	920.16	NaN
1039.3	920	NaN
1040.4	919.62	NaN
1045.8	918.27	NaN
1047	918.01	NaN
1047.8	917.62	NaN
1050	917.03	NaN
1052.5	916.64	NaN
1054.7	916.39	NaN
1057.1	916.08	NaN
1058.4	915.65	NaN
1061.1	915.21	NaN
1063.1	914.81	NaN
1064.2	914.08	NaN
1067.7	913.5	NaN
1069.2	912.84	NaN
1070.5	912.28	NaN
1070.5	911.65	NaN
1072.8	911.18	NaN
1075	910.75	NaN
1074.9	910.4	NaN
1077.5	909.93	NaN
1078.6	908.95	NaN
1080.9	907.55	NaN
1085.2	905.8	NaN
1088.5	904.48	NaN
1093.8	902.96	NaN
1095.7	902.02	NaN
1100.2	900.83	NaN
1101.5	899.95	NaN
1105.8	896.66	NaN
1108.5	893.69	NaN
1110.8	890.95	NaN
1112.9	888.22	NaN
1114.8	885.42	NaN
1116.9	882	NaN
1119.2	877.17	NaN
1120.7	872.07	NaN
1121.6	867.54	NaN
1122.5	863.42	NaN
1123.2	860.11	NaN
1123.6	857.69	NaN
1124.1	855.27	NaN
1124.5	852.45	NaN
1125.1	849	NaN
1125.4	845.64	NaN
1125.5	842.9	NaN
1126.1	839.31	NaN
1126.6	835.9	NaN
1126.8	833.13	NaN
1127.2	830.46	NaN
1127.3	828.12	NaN
1127.2	826.27	NaN
1127.6	824.54	NaN
1127.9	822.5	NaN
1128.4	819.51	NaN
1128.3	818.53	NaN
1128.5	816.78	NaN
1128.6	815.66	NaN
1128.8	813.97	NaN
1129.1	812.89	NaN
1129.4	811.56	NaN
1130.9	805.98	NaN
1131.6	800.93	NaN
1131.8	797.16	NaN
1132.5	793.75	NaN
1132.6	791.07	NaN
1133.4	787.02	NaN
1133.8	784.06	NaN
1134.5	781.08	NaN
1134.8	779.17	NaN
1135.1	776.6	NaN
1135.7	773.61	NaN
1135.8	772.18	NaN
1136.6	768.63	NaN
1136.8	767.22	NaN
1137.2	764.52	NaN
1137.6	761.92	NaN
1137.8	759.95	NaN
1138.3	757.85	NaN
1138.5	756.39	NaN
1138.1	753.26	NaN
1138	749.19	NaN
1138.3	743.55	NaN
1138.9	737.34	NaN
1139.3	733.68	NaN
1139.8	728.56	NaN
1140.6	724.54	NaN
1140.9	721.83	NaN
1141.6	717.8	NaN
1141.9	715	NaN
1142.2	712.07	NaN
1142.8	707.68	NaN
1143.1	705.11	NaN
1143.5	701.4	NaN
1143.7	699.25	NaN
1143.8	697.47	NaN
1144.4	693.11	NaN
1144.7	691.07	NaN
1144.9	688.62	NaN
1145.5	685.7	NaN
1145.4	684.96	NaN
1145.7	682.7	NaN
1146.8	676.62	NaN
1146.4	669.45	NaN
1145.3	663.45	NaN
1144.2	658.13	NaN
1142.9	651.79	NaN
1141.7	646.13	NaN
1140.3	639.1	NaN
1139.2	634.69	NaN
1138	629.48	NaN
1136.7	624.31	NaN
1135.6	620.22	NaN
1134.6	616.31	NaN
1133.7	612.52	NaN
1132.7	608.84	NaN
1131.6	605.4	NaN
1130.9	602.99	NaN
1129.8	599.4	NaN
1129.2	597.35	NaN
1128.4	595.14	NaN
1125.4	588.42	NaN
1118.8	580.58	NaN
1111	570.95	NaN
1105.4	563.69	NaN
1099.1	559.57	NaN
1095.5	563.35	NaN
1096.9	575.01	NaN
1101.5	589.05	NaN
1104.3	600.36	NaN
1106.1	610.27	NaN
1108	619.35	NaN
1116	629.55	NaN
1132.1	646.13	NaN
1144.2	661.79	NaN
1149	676.42	NaN
1149.6	695.43	NaN
1150.6	711.57	NaN
1150.9	726.1	NaN
1150.7	739.35	NaN
1150.2	751.02	NaN
1149.6	760.89	NaN
1148.7	769.94	NaN
1147.7	777.93	NaN
1144.2	791.91	NaN
1141.8	800.62	NaN
1139.1	812.04	NaN
1136.5	822.58	NaN
1133.7	832.81	NaN
1131	841.32	NaN
1128.4	848.86	NaN
1125.6	856.07	NaN
1122.9	862.46	NaN
1120.3	868.56	NaN
1117.2	875.33	NaN
1114.9	880.87	NaN
1112.7	886.19	NaN
1110.5	890.96	NaN
1108.3	895.65	NaN
1106.2	899.94	NaN
1104.1	903.98	NaN
1102.5	907.3	NaN
1100.7	910.8	NaN
1098.9	914.32	NaN
1097.3	917.45	NaN
1095.5	920.67	NaN
1091.8	925.66	NaN
1086.6	930.6	NaN
1082.7	934.43	NaN
1076.2	940.83	NaN
1072.1	945.19	NaN
1067.9	950.11	NaN
1064.8	953.71	NaN
1061.8	957.27	NaN
1058.8	960.87	NaN
1055.8	964.57	NaN
1053.6	967.25	NaN
1051.1	970.37	NaN
1048.9	973.22	NaN
1046.9	975.8	NaN
1045.1	978.13	NaN
1043.5	980.6	NaN
1041.8	982.89	NaN
1040.1	985.41	NaN
1038.6	987.97	NaN
1036.9	990.54	NaN
1036.1	991.57	NaN
1035.2	993.05	NaN
1033.2	995.34	NaN
1028	1000.1	NaN
1023.6	1004.8	NaN
1020	1009	NaN
1016.6	1012.8	NaN
1013.4	1016.1	NaN
1006.6	1021.6	NaN
999.14	1025.3	NaN
994.65	1027.6	NaN
990.21	1029.8	NaN
985.27	1031.9	NaN
979.07	1034.4	NaN
974.19	1036.4	NaN
969.35	1038.6	NaN
965.47	1040.2	NaN
961.04	1042.1	NaN
957.09	1043.8	NaN
954.17	1045	NaN
951.05	1046.2	NaN
947.69	1047.4	NaN
945.54	1048.2	NaN
942.32	1049.3	NaN
939.84	1050.1	NaN
937.76	1050.7	NaN
935.68	1051.4	NaN
933.11	1052.3	NaN
930.35	1053	NaN
928.45	1053.5	NaN
926.08	1054.2	NaN
924.08	1054.8	NaN
922.83	1055.3	NaN
920.14	1056	NaN
918.7	1056.5	NaN
918.48	1056.6	NaN
913.99	1059	NaN
908.19	1061.9	NaN
902.74	1064	NaN
898.63	1065.6	NaN
894.82	1067.2	NaN
891.08	1068.5	NaN
886.37	1070.3	NaN
882.81	1071.9	NaN
879.02	1073.4	NaN
876.47	1074.4	NaN
873.03	1075.6	NaN
870.48	1076.7	NaN
867.5	1077.7	NaN
864.76	1079	NaN
862.23	1079.8	NaN
860.09	1080.7	NaN
857.55	1081.6	NaN
854.94	1082.6	NaN
852.97	1083.2	NaN
851.1	1083.8	NaN
849.53	1084.3	NaN
847.27	1085.1	NaN
845.39	1085.8	NaN
844.22	1086.2	NaN
842.83	1086.8	NaN
841.55	1087.6	NaN
837.36	1090.2	NaN
832.68	1092.7	NaN
828.66	1094.6	NaN
824.51	1096.9	NaN
821.79	1097.9	NaN
819.41	1098.9	NaN
816.89	1099.8	NaN
814.68	1100.7	NaN
812.63	1101.3	NaN
810.41	1102	NaN
806.86	1102.8	NaN
802.32	1102.8	NaN
797.89	1102.8	NaN
795.04	1102.8	NaN
792.12	1102.7	NaN
788.74	1102.5	NaN
785.27	1102.5	NaN
782.18	1102.2	NaN
779.01	1102.3	NaN
775.45	1101.5	NaN
772.14	1101.1	NaN
768.97	1100.9	NaN
767.05	1100.8	NaN
764.95	1101.2	NaN
759.17	1099.4	NaN
751.77	1096.1	NaN
746.18	1094.4	NaN
740.88	1093.1	NaN
736.15	1091.8	NaN
731.9	1090.7	NaN
727.75	1089.7	NaN
722.98	1088.3	NaN
720.04	1087.8	NaN
716.98	1087.1	NaN
713.98	1086.3	NaN
710.47	1085.6	NaN
708.35	1085	NaN
704.94	1084.1	NaN
702.56	1083.4	NaN
700.48	1083	NaN
698.1	1082.5	NaN
695.12	1081.8	NaN
694.13	1081.8	NaN
