X1	Y1	ProbId1	
478.13	487.8	NaN
484.36	480.13	NaN
499.23	464.2	NaN
513.45	449.75	NaN
523.65	439.04	NaN
532.99	430.29	NaN
540.79	423.39	NaN
548.82	417.32	NaN
555.5	412.16	NaN
562.08	406.99	NaN
568.23	402.44	NaN
574.43	398.25	NaN
579.66	394.86	NaN
584.89	391.87	NaN
589.71	389.78	NaN
600.95	383.73	NaN
613.7	377.71	NaN
626.42	370.55	NaN
637.41	365.43	NaN
646.8	361.54	NaN
656.05	358.49	NaN
663.48	355.94	NaN
671.44	354.7	NaN
694.38	348.28	NaN
719.53	341.87	NaN
739.63	339.34	NaN
754.91	338.69	NaN
769.72	339.44	NaN
782.5	339.21	NaN
792.12	339.49	NaN
800.24	339.91	NaN
807.57	340.57	NaN
814.94	341.07	NaN
822.03	341.7	NaN
829.57	342.58	NaN
834.19	343.09	NaN
840.44	344.09	NaN
846.5	347.39	NaN
849.38	354.01	NaN
844.86	362.33	NaN
828.37	367.42	NaN
812.07	370.24	NaN
799.85	371.83	NaN
789.14	373.54	NaN
779.18	375.43	NaN
771.2	376.98	NaN
762.55	379.4	NaN
755.42	381.73	NaN
747.42	384.56	NaN
728.73	382.18	NaN
701.47	381.01	NaN
679.81	376.42	NaN
660.75	371.63	NaN
645.79	367.91	NaN
620.78	376.69	NaN
595.27	388.8	NaN
573.47	398.43	NaN
556.06	409.23	NaN
546.69	417.54	NaN
539.83	423.91	NaN
532.58	430.89	NaN
526.68	436.64	NaN
520.42	445.87	NaN
516.8	453.31	NaN
515.24	459.17	NaN
514.53	464.74	NaN
512.91	482.7	NaN
509.13	489.21	NaN
504.75	483.09	NaN
502.79	474.86	NaN
503.17	469.24	NaN
504.53	466.9	NaN
505.92	462.58	NaN
508.02	458.15	NaN
511.29	453.61	NaN
514.76	449.8	NaN
517.86	447.14	NaN
520.14	444.5	NaN
521.97	442.79	NaN
523.83	441.07	NaN
525.76	439.26	NaN
527.78	437.48	NaN
529.55	435.73	NaN
530.84	434.79	NaN
531.92	433.72	NaN
533	432.5	NaN
537.93	429.89	NaN
547.83	419.31	NaN
555.94	412.72	NaN
